Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
4;30.0598;29.8603;-256.747;-256.269;-256.708;-256.903;-256.95;-256.003;11:30:01
5;30.0598;29.8603;-256.747;-256.269;-256.708;-256.903;-256.95;-256.003;11:30:01
6;30.0676;29.8564;-256.747;-256.269;-256.7;-256.903;-256.958;-256.003;11:30:01
7;30.0755;29.8603;-256.747;-256.269;-256.708;-256.903;-256.942;-256.011;11:30:01
8;30.0598;29.8564;-256.747;-256.269;-256.708;-256.903;-256.958;-256.003;11:30:02
9;30.0676;29.8564;-256.747;-256.269;-256.7;-256.895;-256.95;-255.996;11:30:02
10;30.0598;29.8564;-256.747;-256.269;-256.715;-256.903;-256.95;-256.003;11:30:03
11;30.0676;29.8564;-256.743;-256.269;-256.708;-256.911;-256.95;-256.003;11:30:03
12;30.0676;29.8564;-256.747;-256.269;-256.715;-256.903;-256.95;-256.003;11:30:04
13;30.0676;29.8603;-256.743;-256.269;-256.7;-256.895;-256.958;-255.996;11:30:04
14;30.0676;29.8564;-256.747;-256.262;-256.715;-256.903;-256.95;-256.003;11:30:05
15;30.0676;29.8603;-256.743;-256.269;-256.708;-256.903;-256.958;-256.003;11:30:05
16;30.0676;29.8525;-256.747;-256.262;-256.708;-256.903;-256.95;-256.003;11:30:06
17;30.0676;29.8603;-256.747;-256.254;-256.708;-256.903;-256.942;-256.003;11:30:06
18;30.0755;29.8642;-256.747;-256.254;-256.708;-256.903;-256.942;-256.003;11:30:07
19;30.0676;29.8564;-256.751;-256.254;-256.7;-256.903;-256.942;-255.996;11:30:07
20;30.0755;29.8603;-256.747;-256.254;-256.7;-256.895;-256.942;-256.003;11:30:08
21;30.0676;29.8564;-256.743;-256.262;-256.708;-256.903;-256.95;-255.996;11:30:08
22;30.0755;29.8564;-256.747;-256.254;-256.708;-256.903;-256.95;-256.003;11:30:09
23;30.0676;29.8564;-256.747;-256.262;-256.708;-256.895;-256.95;-255.996;11:30:09
24;30.0598;29.8603;-256.743;-256.262;-256.708;-256.903;-256.958;-255.996;11:30:10
25;30.0598;29.8564;-256.743;-256.262;-256.7;-256.903;-256.95;-255.996;11:30:10
26;30.0598;29.8525;-256.743;-256.262;-256.708;-256.903;-256.95;-255.996;11:30:11
27;30.0598;29.8564;-256.743;-256.262;-256.708;-256.903;-256.958;-256.003;11:30:11
28;30.052;29.8564;-256.743;-256.262;-256.715;-256.903;-256.95;-255.996;11:30:12
29;30.0598;29.8564;-256.735;-256.262;-256.708;-256.903;-256.95;-255.996;11:30:12
30;30.0676;29.8564;-256.735;-256.269;-256.708;-256.903;-256.95;-256.003;11:30:13
31;30.0598;29.8564;-256.743;-256.262;-256.708;-256.895;-256.942;-255.996;11:30:13
32;30.052;29.8564;-256.735;-256.262;-256.708;-256.903;-256.942;-256.003;11:30:14
33;30.052;29.8603;-256.751;-256.269;-256.715;-256.911;-256.95;-255.996;11:30:14
34;30.052;29.8525;-256.747;-256.262;-256.715;-256.903;-256.942;-256.003;11:30:15
35;30.0442;29.8564;-256.747;-256.269;-256.708;-256.903;-256.942;-255.996;11:30:15
36;30.052;29.8525;-256.751;-256.262;-256.7;-256.903;-256.95;-256.003;11:30:16
37;30.0442;29.8525;-256.751;-256.269;-256.708;-256.903;-256.942;-256.011;11:30:16
38;30.0442;29.8525;-256.751;-256.269;-256.715;-256.903;-256.942;-255.996;11:30:17
39;30.0442;29.8564;-256.747;-256.262;-256.708;-256.903;-256.95;-256.003;11:30:17
40;30.0403;29.8485;-256.751;-256.269;-256.708;-256.903;-256.942;-256.003;11:30:18
41;30.0363;29.8485;-256.755;-256.262;-256.715;-256.903;-256.935;-256.003;11:30:18
42;30.0403;29.8525;-256.751;-256.262;-256.708;-256.911;-256.95;-256.003;11:30:19
43;30.0363;29.8485;-256.751;-256.269;-256.708;-256.903;-256.95;-256.003;11:30:19
44;30.0363;29.8407;-256.751;-256.269;-256.708;-256.911;-256.95;-256.011;11:30:20
45;30.0324;29.8407;-256.751;-256.269;-256.708;-256.911;-256.942;-255.996;11:30:20
46;30.0324;29.8407;-256.751;-256.262;-256.708;-256.903;-256.942;-256.003;11:30:21
47;30.0324;29.8329;-256.751;-256.269;-256.708;-256.903;-256.95;-255.996;11:30:21
48;30.0285;29.8329;-256.751;-256.262;-256.7;-256.911;-256.935;-256.003;11:30:22
49;30.0285;29.8329;-256.751;-256.269;-256.708;-256.903;-256.95;-256.003;11:30:22
50;30.0285;29.8329;-256.751;-256.262;-256.7;-256.903;-256.942;-255.996;11:30:23
51;30.0285;29.8329;-256.747;-256.262;-256.708;-256.895;-256.942;-255.996;11:30:23
52;30.0246;29.8329;-256.747;-256.269;-256.708;-256.903;-256.942;-255.996;11:30:24
53;30.0168;29.8251;-256.755;-256.262;-256.692;-256.895;-256.942;-256.003;11:30:24
54;30.0168;29.8251;-256.747;-256.262;-256.708;-256.895;-256.942;-256.003;11:30:25
55;30.0168;29.8251;-256.751;-256.262;-256.708;-256.895;-256.935;-256.003;11:30:25
56;30.0168;29.8251;-256.751;-256.262;-256.708;-256.895;-256.942;-255.996;11:30:26
57;30.0168;29.8172;-256.751;-256.262;-256.708;-256.895;-256.942;-256.003;11:30:26
58;30.009;29.8329;-256.751;-256.262;-256.708;-256.895;-256.942;-255.996;11:30:27
59;30.009;29.8172;-256.751;-256.262;-256.7;-256.895;-256.935;-256.003;11:30:27
60;30.009;29.8172;-256.747;-256.262;-256.708;-256.895;-256.942;-255.996;11:30:28
61;30.0168;29.8172;-256.751;-256.262;-256.7;-256.895;-256.942;-255.988;11:30:28
62;30.0011;29.8172;-256.751;-256.254;-256.7;-256.903;-256.942;-255.996;11:30:29
63;30.0011;29.8172;-256.751;-256.262;-256.708;-256.888;-256.942;-255.996;11:30:29
64;30.0011;29.8094;-256.747;-256.254;-256.708;-256.903;-256.935;-256.003;11:30:30
65;29.9933;29.8016;-256.755;-256.262;-256.7;-256.895;-256.942;-256.003;11:30:30
66;29.9933;29.8094;-256.751;-256.262;-256.715;-256.895;-256.95;-256.003;11:30:31
67;29.9855;29.8094;-256.747;-256.262;-256.708;-256.903;-256.942;-255.996;11:30:31
68;29.9933;29.8094;-256.751;-256.262;-256.7;-256.903;-256.95;-255.996;11:30:32
69;29.9933;29.8016;-256.755;-256.254;-256.708;-256.895;-256.942;-256.003;11:30:32
70;29.9855;29.8016;-256.751;-256.262;-256.715;-256.903;-256.942;-256.011;11:30:33
71;29.9855;29.8016;-256.755;-256.262;-256.7;-256.903;-256.95;-255.996;11:30:33
72;29.9777;29.7938;-256.751;-256.254;-256.708;-256.895;-256.942;-256.003;11:30:34
73;29.9855;29.7938;-256.755;-256.262;-256.708;-256.903;-256.95;-255.996;11:30:34
74;29.9777;29.7938;-256.751;-256.254;-256.708;-256.903;-256.95;-255.996;11:30:35
75;29.9777;29.7859;-256.755;-256.262;-256.7;-256.895;-256.942;-256.003;11:30:35
76;29.9777;29.7938;-256.751;-256.254;-256.708;-256.903;-256.942;-256.003;11:30:36
77;29.9777;29.7781;-256.755;-256.262;-256.708;-256.895;-256.942;-255.996;11:30:36
78;29.9698;29.7859;-256.751;-256.262;-256.7;-256.895;-256.942;-256.003;11:30:37
79;29.962;29.7859;-256.755;-256.254;-256.708;-256.895;-256.958;-255.996;11:30:37
80;29.9698;29.7859;-256.755;-256.262;-256.7;-256.895;-256.95;-255.996;11:30:38
81;29.9698;29.7859;-256.755;-256.262;-256.7;-256.895;-256.942;-255.996;11:30:38
82;29.9777;29.7859;-256.755;-256.262;-256.7;-256.895;-256.95;-256.003;11:30:39
83;29.9698;29.7781;-256.751;-256.269;-256.7;-256.895;-256.95;-255.996;11:30:39
84;29.9698;29.7859;-256.751;-256.262;-256.708;-256.888;-256.942;-256.003;11:30:40
85;29.9777;29.7781;-256.755;-256.269;-256.7;-256.895;-256.942;-256.003;11:30:40
86;29.962;29.7859;-256.751;-256.262;-256.708;-256.895;-256.95;-255.996;11:30:41
87;29.9698;29.7781;-256.751;-256.262;-256.708;-256.895;-256.95;-256.003;11:30:41
88;29.9777;29.7859;-256.751;-256.269;-256.7;-256.895;-256.958;-256.003;11:30:42
89;29.9698;29.7781;-256.751;-256.262;-256.7;-256.895;-256.95;-256.003;11:30:42
90;29.9777;29.7781;-256.747;-256.262;-256.715;-256.895;-256.942;-256.003;11:30:43
91;29.9698;29.7781;-256.747;-256.269;-256.7;-256.888;-256.95;-255.996;11:30:43
92;29.9777;29.7781;-256.747;-256.262;-256.7;-256.895;-256.942;-256.003;11:30:44
93;29.9777;29.7781;-256.747;-256.262;-256.7;-256.895;-256.942;-256.003;11:30:44
94;29.9698;29.7781;-256.747;-256.262;-256.708;-256.895;-256.942;-256.003;11:30:45
95;29.9777;29.7781;-256.751;-256.262;-256.708;-256.895;-256.95;-256.003;11:30:45
96;29.962;29.7703;-256.751;-256.269;-256.7;-256.895;-256.942;-256.003;11:30:46
97;29.9698;29.7703;-256.751;-256.269;-256.708;-256.895;-256.942;-255.996;11:30:46
