Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
5;26.9063;26.8907;-256.755;-256.262;-256.723;-256.888;-256.942;-255.964;14:30:10
6;26.9142;26.8907;-256.751;-256.269;-256.723;-256.895;-256.942;-255.964;14:30:10
7;26.9142;26.8985;-256.751;-256.269;-256.723;-256.888;-256.942;-255.972;14:30:11
8;26.9181;26.8907;-256.751;-256.269;-256.731;-256.888;-256.95;-255.964;14:30:11
9;26.9181;26.8907;-256.751;-256.269;-256.731;-256.888;-256.95;-255.964;14:30:12
10;26.9181;26.8907;-256.751;-256.269;-256.723;-256.895;-256.958;-255.964;14:30:12
11;26.922;26.8907;-256.751;-256.269;-256.723;-256.888;-256.95;-255.972;14:30:13
12;26.922;26.8907;-256.747;-256.269;-256.731;-256.888;-256.95;-255.972;14:30:13
13;26.9142;26.8829;-256.751;-256.269;-256.723;-256.888;-256.95;-255.964;14:30:14
14;26.9181;26.8829;-256.751;-256.269;-256.723;-256.888;-256.95;-255.972;14:30:14
15;26.922;26.875;-256.751;-256.269;-256.715;-256.895;-256.95;-255.964;14:30:15
16;26.9181;26.8907;-256.751;-256.269;-256.723;-256.888;-256.95;-255.964;14:30:15
17;26.922;26.8829;-256.755;-256.262;-256.723;-256.888;-256.95;-255.972;14:30:16
18;26.922;26.8829;-256.751;-256.269;-256.723;-256.888;-256.958;-255.964;14:30:16
19;26.9181;26.8829;-256.751;-256.277;-256.723;-256.895;-256.95;-255.972;14:30:17
20;26.9181;26.8907;-256.751;-256.269;-256.723;-256.888;-256.942;-255.964;14:30:17
21;26.9181;26.8829;-256.751;-256.277;-256.723;-256.888;-256.95;-255.972;14:30:18
22;26.9142;26.8829;-256.755;-256.269;-256.723;-256.888;-256.95;-255.956;14:30:18
23;26.9181;26.8829;-256.751;-256.277;-256.723;-256.895;-256.942;-255.972;14:30:19
24;26.9181;26.8829;-256.751;-256.277;-256.723;-256.888;-256.95;-255.972;14:30:19
25;26.9181;26.8829;-256.751;-256.269;-256.723;-256.895;-256.942;-255.972;14:30:20
26;26.9181;26.8907;-256.755;-256.277;-256.723;-256.888;-256.958;-255.972;14:30:20
27;26.9142;26.8907;-256.751;-256.269;-256.723;-256.888;-256.95;-255.972;14:30:21
28;26.9142;26.8907;-256.751;-256.269;-256.715;-256.88;-256.942;-255.972;14:30:21
29;26.9181;26.8907;-256.755;-256.277;-256.723;-256.888;-256.95;-255.972;14:30:22
30;26.9181;26.8907;-256.751;-256.269;-256.723;-256.895;-256.942;-255.972;14:30:22
31;26.9142;26.8829;-256.747;-256.277;-256.723;-256.895;-256.942;-255.972;14:30:23
32;26.9181;26.875;-256.747;-256.269;-256.715;-256.895;-256.942;-255.972;14:30:23
33;26.9063;26.8829;-256.747;-256.269;-256.723;-256.895;-256.95;-255.972;14:30:24
