Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
69;28.1427;28.037;-256.755;-256.254;-256.692;-256.895;-256.942;-255.988;10:11:15
70;28.1505;28.0331;-256.751;-256.262;-256.684;-256.903;-256.942;-256.003;10:11:15
71;28.1427;28.037;-256.755;-256.254;-256.692;-256.895;-256.935;-255.996;10:11:16
72;28.1427;28.041;-256.751;-256.254;-256.692;-256.903;-256.942;-256.003;10:11:16
73;28.1505;28.037;-256.751;-256.254;-256.7;-256.895;-256.935;-255.996;10:11:17
74;28.1505;28.041;-256.755;-256.254;-256.692;-256.903;-256.942;-256.003;10:11:17
75;28.1505;28.037;-256.751;-256.254;-256.684;-256.895;-256.935;-256.003;10:11:18
76;28.1505;28.0331;-256.747;-256.262;-256.7;-256.888;-256.942;-256.003;10:11:18
77;28.1662;28.037;-256.751;-256.254;-256.692;-256.895;-256.942;-256.003;10:11:19
78;28.1583;28.041;-256.755;-256.254;-256.692;-256.888;-256.935;-256.011;10:11:19
79;28.1701;28.041;-256.751;-256.258;-256.692;-256.895;-256.942;-255.996;10:11:20
80;28.1662;28.041;-256.751;-256.262;-256.692;-256.888;-256.942;-256.003;10:11:20
81;28.1662;28.041;-256.751;-256.254;-256.7;-256.888;-256.935;-256.003;10:11:21
82;28.1701;28.0449;-256.755;-256.254;-256.684;-256.895;-256.935;-255.996;10:11:21
83;28.1662;28.041;-256.751;-256.254;-256.692;-256.895;-256.935;-256.003;10:11:22
84;28.1701;28.0449;-256.751;-256.254;-256.692;-256.895;-256.942;-256.003;10:11:22
85;28.1701;28.037;-256.751;-256.254;-256.684;-256.895;-256.942;-256.003;10:11:23
86;28.1701;28.0449;-256.755;-256.254;-256.684;-256.888;-256.942;-256.003;10:11:23
87;28.1662;28.041;-256.751;-256.262;-256.684;-256.895;-256.95;-256.011;10:11:24
88;28.174;28.041;-256.755;-256.25;-256.684;-256.88;-256.95;-256.003;10:11:24
