Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
2;26.3899;26.4407;17.8958;-256.277;-256.676;-256.903;-256.935;-255.956;0;None;1000;None;16:13:26
3;26.3899;26.4368;17.888;-256.269;-256.684;-256.895;-256.935;-255.964;0;None;1000;None;16:13:26
4;26.3899;26.4407;17.888;-256.277;-256.676;-256.903;-256.935;-255.956;0;None;1000;None;16:13:26
5;26.3899;26.4368;17.8802;-256.277;-256.684;-256.903;-256.942;-255.956;0;None;1000;None;16:13:26
6;26.3899;26.4447;17.8723;-256.277;-256.676;-256.903;-256.935;-255.964;0;None;1000;None;16:13:27
7;26.3977;26.4407;17.8723;-256.277;-256.684;-256.903;-256.935;-255.964;0;None;1000;None;16:13:27
8;26.3899;26.4407;17.8723;-256.269;-256.668;-256.903;-256.927;-255.964;0;None;1000;None;16:13:28
9;26.3899;26.4407;17.8645;-256.277;-256.676;-256.903;-256.927;-255.956;0;None;1000;None;16:13:28
10;26.3821;26.4368;17.8567;-256.277;-256.676;-256.895;-256.935;-255.964;0;None;1000;None;16:13:29
11;26.3899;26.4368;17.8567;-256.277;-256.676;-256.895;-256.942;-255.956;0;None;1000;None;16:13:29
