Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
1;26.4681;26.5777;-256.156;-208.067;-312.582;-343.111;-343.385;-203.736;0;None;1000;None;16:11:19
2;26.4681;26.5855;-256.156;-198.756;-329.739;-343.111;-343.385;-186.697;0;None;1000;None;16:11:20
3;26.4525;26.5777;-256.156;-189.901;-343.518;-343.111;-343.385;-169.349;0;None;1000;None;16:11:20
4;26.4525;26.5699;-256.16;-181.4;-345.029;-343.111;-343.385;-151.766;0;None;1000;None;16:11:21
5;26.4525;26.5777;-256.156;-173.187;-345.029;-343.111;-343.385;-133.921;0;None;1000;None;16:11:21
6;26.4681;26.5699;-256.148;-165.135;-345.029;-343.111;-343.385;-115.771;0;None;1000;None;16:11:22
7;26.4603;26.5699;-256.148;-157.181;-345.029;-343.111;-343.385;-97.2298;0;None;1000;None;16:11:22
8;26.4681;26.562;-256.148;-149.251;-345.029;-343.111;-343.385;-78.5006;0;None;1000;None;16:11:23
9;26.4681;26.5699;-256.16;-216.135;-302.664;-343.111;-258.355;-144.27;0;None;1000;None;16:11:23
