Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
5;25.0753;25.0127;-256.747;-256.254;-256.7;-256.911;-256.95;-255.972;15:45:25
6;25.0714;25.0127;-256.751;-256.262;-256.7;-256.903;-256.958;-255.964;15:45:26
7;25.0753;25.0127;-256.747;-256.254;-256.7;-256.911;-256.942;-255.972;15:45:26
8;25.0753;25.0127;-256.751;-256.262;-256.7;-256.903;-256.958;-255.964;15:45:27
9;25.0675;25.0127;-256.747;-256.254;-256.708;-256.903;-256.95;-255.972;15:45:27
10;25.0714;25.0127;-256.751;-256.262;-256.708;-256.911;-256.958;-255.972;15:45:28
11;25.0714;25.0166;-256.747;-256.254;-256.708;-256.911;-256.95;-255.972;15:45:28
12;25.0714;25.0127;-256.747;-256.254;-256.7;-256.911;-256.958;-255.972;15:45:29
13;25.0714;25.0166;-256.747;-256.262;-256.708;-256.911;-256.95;-255.964;15:45:29
14;25.0714;25.0166;-256.747;-256.262;-256.7;-256.911;-256.958;-255.972;15:45:30
15;25.0714;25.0166;-256.747;-256.254;-256.708;-256.911;-256.95;-255.964;15:45:30
16;25.0714;25.0166;-256.751;-256.254;-256.7;-256.919;-256.95;-255.972;15:45:31
17;25.0714;25.0166;-256.747;-256.254;-256.7;-256.903;-256.95;-255.964;15:45:31
18;25.0714;25.0166;-256.747;-256.254;-256.7;-256.911;-256.958;-255.964;15:45:32
19;25.0714;25.0166;-256.751;-256.254;-256.7;-256.903;-256.958;-255.964;15:45:32
20;25.0714;25.0127;-256.751;-256.254;-256.708;-256.911;-256.958;-255.972;15:45:33
21;25.0714;25.0166;-256.747;-256.25;-256.7;-256.911;-256.966;-255.972;15:45:33
22;25.0753;25.0127;-256.751;-256.25;-256.708;-256.911;-256.958;-255.972;15:45:34
23;25.0714;25.0127;-256.747;-256.25;-256.708;-256.911;-256.958;-255.972;15:45:34
24;25.0753;25.0166;-256.751;-256.25;-256.7;-256.911;-256.958;-255.972;15:45:35
