Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
2;27.8101;27.8727;27.4463;-256.269;-256.676;-256.88;-256.95;-255.937;0;None;1000;None;12:57:39.768
3;27.8101;27.8805;27.4463;-256.262;-256.676;-256.88;-256.95;-255.941;0;None;1000;None;12:57:39.805
4;27.8101;27.8805;27.4463;-256.262;-256.684;-256.88;-256.95;-255.937;0;None;1000;None;12:57:40.304
5;27.8101;27.8727;27.4384;-256.269;-256.676;-256.88;-256.958;-255.937;0;None;1000;None;12:57:40.805
6;27.8101;27.8727;27.4463;-256.269;-256.676;-256.88;-256.942;-255.937;0;None;1000;None;12:57:41.302
7;27.8101;27.8727;27.4384;-256.269;-256.668;-256.88;-256.942;-255.937;0;None;1000;None;12:57:41.806
8;27.8101;27.8805;27.4463;-256.269;-256.676;-256.88;-256.95;-255.937;0;None;1000;None;12:57:42.307
9;27.8101;27.8727;27.4384;-256.262;-256.676;-256.888;-256.942;-255.937;0;None;1000;None;12:57:42.806
10;27.8101;27.8805;27.4384;-256.269;-256.676;-256.88;-256.95;-255.937;0;None;1000;None;12:57:43.306
11;27.8101;27.8805;27.4306;-256.269;-256.676;-256.88;-256.942;-255.937;0;None;1000;None;12:57:43.806
12;27.8101;27.8727;27.4384;-256.277;-256.676;-256.88;-256.95;-255.933;0;None;1000;None;12:57:44.303
13;27.8179;27.8884;27.4463;-256.269;-256.676;-256.88;-256.942;-255.933;0;None;1000;None;12:57:44.805
14;27.8179;27.8727;27.4463;-256.262;-256.676;-256.88;-256.942;-255.937;0;None;1000;None;12:57:45.307
15;27.8101;27.8805;27.4541;-256.269;-256.668;-256.88;-256.95;-255.933;0;None;1000;None;12:57:45.807
16;27.8179;27.8805;27.4463;-256.269;-256.668;-256.88;-256.95;-255.937;0;None;1000;None;12:57:46.307
17;27.8258;27.8805;27.4463;-256.269;-256.676;-256.88;-256.95;-255.933;0;None;1000;None;12:57:46.805
