Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
1;27.6654;27.7593;27.4463;-181.177;-345.029;-343.111;-343.385;-162.041;0;None;1000;None;12:53:25.376
2;27.6732;27.7593;27.4384;-172.706;-345.029;-343.111;-343.385;-144.841;0;None;1000;None;12:53:25.399
3;27.6732;27.7749;27.4463;-164.455;-345.029;-343.111;-343.385;-127.329;0;None;1000;None;12:53:25.900
4;27.6732;27.7671;27.4384;-156.371;-345.029;-343.111;-343.385;-109.366;0;None;1000;None;12:53:26.392
5;27.6732;27.7671;27.4463;-148.433;-345.029;-343.111;-343.385;-90.9893;0;None;1000;None;12:53:26.898
6;27.6732;27.7671;27.4384;-153.28;-345.029;-343.111;-303.756;-50.9057;0;None;1000;None;12:53:27.396
7;27.6732;27.7749;27.4384;-256.387;-260.749;-321.726;-256.852;-256.093;0;None;1000;None;12:53:27.893
8;27.6732;27.7593;27.4463;-256.324;-256.614;-256.805;-256.903;-256.035;0;None;1000;None;12:53:28.398
9;27.6732;27.7671;27.4384;-256.309;-256.629;-256.841;-256.911;-256.019;0;None;1000;None;12:53:28.894
10;27.681;27.7671;27.4306;-256.293;-256.637;-256.856;-256.919;-256.011;0;None;1000;None;12:53:29.393
11;27.6732;27.7671;27.4384;-256.285;-256.637;-256.872;-256.927;-256.003;0;None;1000;None;12:53:29.900
12;27.6732;27.7671;27.4384;-256.285;-256.637;-256.872;-256.927;-255.996;0;None;1000;None;12:53:30.392
13;27.6732;27.7671;27.4384;-256.285;-256.637;-256.872;-256.927;-256.003;0;None;1000;None;12:53:30.898
14;27.681;27.7593;27.4384;-256.277;-256.645;-256.88;-256.935;-256.003;0;None;1000;None;12:53:31.401
15;27.6732;27.7671;27.4384;-256.277;-256.645;-256.88;-256.927;-255.996;0;None;1000;None;12:53:31.899
16;27.681;27.7749;27.4384;-256.277;-256.645;-256.888;-256.935;-256.003;0;None;1000;None;12:53:32.400
17;27.6888;27.7671;27.4384;-256.277;-256.653;-256.88;-256.935;-255.996;0;None;1000;None;12:53:32.900
18;27.6888;27.7671;27.4384;-256.269;-256.653;-256.88;-256.935;-255.996;0;None;1000;None;12:53:33.398
19;27.6967;27.7827;27.4384;-256.269;-256.653;-256.888;-256.942;-255.996;0;None;1000;None;12:53:33.898
20;27.7045;27.7749;27.4306;-256.269;-256.653;-256.88;-256.935;-255.988;0;None;1000;None;12:53:34.399
21;27.7201;27.7827;27.4384;-256.277;-256.653;-256.88;-256.935;-255.98;0;None;1000;None;12:53:34.894
22;27.7123;27.7984;27.4384;-256.269;-256.661;-256.88;-256.935;-255.988;0;None;1000;None;12:53:35.399
23;27.728;27.8062;27.4384;-256.269;-256.653;-256.872;-256.942;-255.98;0;None;1000;None;12:53:35.899
24;27.7358;27.8062;27.4384;-256.269;-256.661;-256.88;-256.942;-255.988;0;None;1000;None;12:53:36.399
25;27.7514;27.8179;27.4306;-256.262;-256.653;-256.88;-256.95;-255.988;0;None;1000;None;12:53:36.899
26;27.7593;27.8219;27.4384;-256.262;-256.653;-256.872;-256.942;-255.988;0;None;1000;None;12:53:37.400
27;27.7593;27.8219;27.4384;-256.254;-256.653;-256.88;-256.942;-255.98;0;None;1000;None;12:53:37.899
28;27.7749;27.8375;27.4384;-256.262;-256.653;-256.88;-256.95;-255.988;0;None;1000;None;12:53:38.395
29;27.7788;27.8297;27.4384;-256.262;-256.653;-256.872;-256.95;-255.988;0;None;1000;None;12:53:38.899
30;27.7866;27.8414;27.4463;-256.269;-256.661;-256.88;-256.942;-255.996;0;None;1000;None;12:53:39.395
31;27.7866;27.8414;27.4384;-256.262;-256.653;-256.872;-256.95;-255.988;0;None;1000;None;12:53:39.898
32;27.7945;27.8492;27.4384;-256.262;-256.653;-256.88;-256.942;-255.988;0;None;1000;None;12:53:40.400
33;27.7945;27.8492;27.4384;-256.262;-256.661;-256.88;-256.95;-255.996;0;None;1000;None;12:53:40.900
34;27.8101;27.8571;27.4384;-256.269;-256.661;-256.888;-256.95;-255.988;0;None;1000;None;12:53:41.398
35;27.8101;27.8649;27.4463;-256.262;-256.653;-256.888;-256.935;-255.996;0;None;1000;None;12:53:41.894
36;27.8179;27.8571;27.4384;-256.262;-256.653;-256.888;-256.95;-255.988;0;None;1000;None;12:53:42.400
37;27.8101;27.8649;27.4463;-256.262;-256.661;-256.888;-256.95;-255.988;0;None;1000;None;12:53:42.899
38;27.8101;27.8649;27.4384;-256.262;-256.653;-256.88;-256.935;-255.996;0;None;1000;None;12:53:43.400
39;27.8179;27.8649;27.4384;-256.262;-256.653;-256.888;-256.942;-255.988;0;None;1000;None;12:53:43.898
40;27.8258;27.8649;27.4384;-256.262;-256.661;-256.88;-256.942;-255.988;0;None;1000;None;12:53:44.399
41;27.8258;27.8727;27.4384;-256.262;-256.653;-256.888;-256.935;-255.996;0;None;1000;None;12:53:44.900
42;27.8336;27.8805;27.4384;-256.262;-256.661;-256.888;-256.942;-255.988;0;None;1000;None;12:53:45.400
43;27.8336;27.8805;27.4463;-256.254;-256.653;-256.888;-256.935;-255.988;0;None;1000;None;12:53:45.899
44;27.8336;27.8805;27.4306;-256.262;-256.668;-256.888;-256.95;-255.988;0;None;1000;None;12:53:46.392
45;27.8336;27.8805;27.4384;-256.262;-256.653;-256.88;-256.942;-255.988;0;None;1000;None;12:53:46.900
46;27.8414;27.8805;27.4384;-256.254;-256.661;-256.888;-256.942;-255.996;0;None;1000;None;12:53:47.399
