Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
24;25.936;-256.41;25.9008;-256.41;-256.755;-256.41;-256.277;-256.41;-256.708;-256.41;-256.911;-256.41;-256.935;-256.41;-255.988;-256.41;14:25:59
25;25.9282;-256.41;25.9008;-256.41;-256.755;-256.41;-256.277;-256.41;-256.708;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:25:59
26;25.9282;-256.41;25.9008;-256.41;-256.755;-256.41;-256.269;-256.41;-256.7;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:00
27;25.936;-256.41;25.893;-256.41;-256.751;-256.41;-256.269;-256.41;-256.7;-256.41;-256.919;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:00
28;25.936;-256.41;25.9008;-256.41;-256.755;-256.41;-256.277;-256.41;-256.7;-256.41;-256.911;-256.41;-256.927;-256.41;-255.988;-256.41;14:26:01
29;25.936;-256.41;25.893;-256.41;-256.755;-256.41;-256.277;-256.41;-256.7;-256.41;-256.919;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:01
30;25.936;-256.41;25.893;-256.41;-256.751;-256.41;-256.277;-256.41;-256.7;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:02
31;25.936;-256.41;25.8852;-256.41;-256.755;-256.41;-256.269;-256.41;-256.7;-256.41;-256.919;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:02
32;25.936;-256.41;25.893;-256.41;-256.747;-256.41;-256.277;-256.41;-256.7;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:03
33;25.936;-256.41;25.893;-256.41;-256.751;-256.41;-256.269;-256.41;-256.708;-256.41;-256.919;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:03
34;25.936;-256.41;25.8852;-256.41;-256.755;-256.41;-256.269;-256.41;-256.708;-256.41;-256.911;-256.41;-256.927;-256.41;-255.988;-256.41;14:26:04
35;25.936;-256.41;25.8852;-256.41;-256.755;-256.41;-256.269;-256.41;-256.708;-256.41;-256.919;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:04
36;25.936;-256.41;25.893;-256.41;-256.751;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:05
37;25.936;-256.41;25.8852;-256.41;-256.755;-256.41;-256.269;-256.41;-256.7;-256.41;-256.919;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:05
38;25.9282;-256.41;25.8852;-256.41;-256.751;-256.41;-256.269;-256.41;-256.7;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:26:06
39;25.9282;-256.41;25.893;-256.41;-256.755;-256.41;-256.269;-256.41;-256.7;-256.41;-256.903;-256.41;-256.942;-256.41;-255.996;-256.41;14:26:06
40;25.936;-256.41;25.893;-256.41;-256.755;-256.41;-256.269;-256.41;-256.7;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;14:26:07
41;25.936;-256.41;25.8852;-256.41;-256.755;-256.41;-256.269;-256.41;-256.7;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:26:07
42;25.936;-256.41;25.8852;-256.41;-256.755;-256.41;-256.269;-256.41;-256.7;-256.41;-256.911;-256.41;-256.942;-256.41;-255.996;-256.41;14:26:08
