Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
26;-115.351;0;-115.47;0;-256.843;0;-256.129;0;0;-1.84699e-310;4.94066e-324;1.13635e-322;8.06614e-308;8.34425e-308;1.50197e-307;9.45695e-308;15:28:22
27;-115.354;0;-115.466;0;-256.839;0;-256.129;0;0;-3.80148e-270;6.95297e-310;3.39519e-313;1.62969e-311;4.24399e-314;0;1.71935e-321;15:28:22
28;-115.347;0;-115.462;0;-256.841;0;-256.125;0;1.01211e-311;-1.2932e-231;1.01219e-308;1.01212e-311;1.01212e-311;9.88131e-324;2.122e-313;1.4854e-311;15:28:22
29;-115.351;0;-115.474;0;-256.841;0;-256.129;0;0;-3.82181e-270;6.95297e-310;3.39519e-313;5.43231e-312;4.24399e-314;0;2.86558e-322;15:28:23
30;-115.347;0;-115.47;0;-256.839;0;-256.125;0;0;-1.3027e-231;0;0;2.96439e-323;0;3.39519e-313;3.55727e-322;15:28:23
31;-115.354;0;-115.462;0;-256.839;0;-256.125;0;0;-1.3027e-231;0;0;1.7655e-311;0;3.39519e-313;2.37152e-322;15:28:24
32;-115.347;0;-115.47;0;-256.837;0;-256.129;0;0;-1.29892e-231;0;0;1.01007e-311;0;3.39519e-313;4.74303e-322;15:28:24
33;-115.354;0;-115.466;0;-256.843;0;-256.125;0;0;-1.2917e-231;4.94066e-324;2.96439e-323;1.01212e-311;0;2.5;5;15:28:25
34;-115.354;0;-115.47;0;-256.837;0;-256.129;0;0;-1.3027e-231;0;0;2.96439e-323;0;3.39519e-313;3.55727e-322;15:28:25
35;-115.347;0;-115.47;0;-256.843;0;-256.129;0;8.06358e-313;-3.79131e-270;6.95297e-310;3.39519e-313;5.43231e-312;4.24399e-314;0;2.91499e-322;15:28:26
36;-115.354;0;-115.47;0;-256.839;0;-256.129;0;1.54906e-312;-1.30092e-231;4.94066e-324;2.96439e-323;1.01212e-311;1.01212e-311;1.01212e-311;1.01212e-311;15:28:26
37;-115.351;0;-115.47;0;-256.837;0;-256.136;0;0;-3.81904e-270;6.95297e-310;6.17501e-312;1.58101e-322;2.54639e-313;0;3.45846e-323;15:28:27
38;-115.347;0;-115.47;0;-256.839;0;-256.129;0;0;-1.29892e-231;0;0;1.01007e-311;0;3.39519e-313;4.74303e-322;15:28:27
39;-115.351;0;-115.47;0;-256.835;0;-256.132;0;0;-1.29232e-231;-9.97814e+104;nan;1.01212e-311;6.95297e-310;6.95297e-310;6.95297e-310;15:28:28
40;-115.343;0;-115.478;0;-256.833;0;-256.129;0;0;-1.29829e-231;3.99147e-311;0;0;0;2.122e-314;4.03179e-313;15:28:28
41;-115.351;0;-115.478;0;-256.833;0;-256.129;0;0;-1.29515e-231;0;0;2.96439e-323;0;3.39519e-313;8.3003e-322;15:28:29
