Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
31;26.0378;-256.41;25.9791;-256.41;-256.751;-256.41;-256.262;-256.41;-256.715;-256.41;-256.895;-256.41;-256.942;-256.41;-255.98;-256.41;15:52:09
32;26.0378;-256.41;25.9712;-256.41;-256.751;-256.41;-256.262;-256.41;-256.708;-256.41;-256.903;-256.41;-256.935;-256.41;-255.988;-256.41;15:52:10
33;26.0378;-256.41;25.9712;-256.41;-256.755;-256.41;-256.262;-256.41;-256.7;-256.41;-256.903;-256.41;-256.935;-256.41;-255.988;-256.41;15:52:10
34;26.0299;-256.41;25.9791;-256.41;-256.755;-256.41;-256.254;-256.41;-256.715;-256.41;-256.903;-256.41;-256.942;-256.41;-255.98;-256.41;15:52:11
35;26.0378;-256.41;25.9791;-256.41;-256.751;-256.41;-256.254;-256.41;-256.7;-256.41;-256.895;-256.41;-256.942;-256.41;-255.988;-256.41;15:52:11
36;26.0378;-256.41;25.9791;-256.41;-256.755;-256.41;-256.262;-256.41;-256.708;-256.41;-256.903;-256.41;-256.942;-256.41;-255.98;-256.41;15:52:12
37;26.0378;-256.41;25.9791;-256.41;-256.758;-256.41;-256.254;-256.41;-256.708;-256.41;-256.903;-256.41;-256.942;-256.41;-255.988;-256.41;15:52:12
38;26.0456;-256.41;25.9712;-256.41;-256.758;-256.41;-256.262;-256.41;-256.7;-256.41;-256.903;-256.41;-256.942;-256.41;-255.988;-256.41;15:52:13
