Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
33;26.0612;-256.41;25.9791;-256.41;-256.755;-256.41;-256.262;-256.41;-256.715;-256.41;-256.903;-256.41;-256.942;-256.41;-255.996;-256.41;15:55:38
34;26.0534;-256.41;25.9712;-256.41;-256.755;-256.41;-256.262;-256.41;-256.715;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;15:55:38
35;26.0534;-256.41;25.9791;-256.41;-256.751;-256.41;-256.262;-256.41;-256.723;-256.41;-256.903;-256.41;-256.942;-256.41;-256.003;-256.41;15:55:39
36;26.0534;-256.41;25.9712;-256.41;-256.758;-256.41;-256.254;-256.41;-256.715;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;15:55:39
37;26.0612;-256.41;25.9791;-256.41;-256.755;-256.41;-256.262;-256.41;-256.715;-256.41;-256.895;-256.41;-256.935;-256.41;-255.988;-256.41;15:55:40
38;26.0612;-256.41;25.9791;-256.41;-256.751;-256.41;-256.262;-256.41;-256.715;-256.41;-256.903;-256.41;-256.95;-256.41;-256.003;-256.41;15:55:40
39;26.0456;-256.41;25.9791;-256.41;-256.755;-256.41;-256.254;-256.41;-256.715;-256.41;-256.903;-256.41;-256.935;-256.41;-255.996;-256.41;15:55:41
40;26.0534;-256.41;25.9791;-256.41;-256.751;-256.41;-256.269;-256.41;-256.723;-256.41;-256.903;-256.41;-256.935;-256.41;-255.996;-256.41;15:55:41
