Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
21;25.9204;-256.41;25.8617;-256.41;-256.755;-256.41;-256.277;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:15:36
22;25.9204;-256.41;25.8617;-256.41;-256.755;-256.41;-256.269;-256.41;-256.692;-256.41;-256.903;-256.41;-256.931;-256.41;-256.011;-256.41;14:15:46
23;25.9204;-256.41;25.8617;-256.41;-256.751;-256.41;-256.269;-256.41;-256.692;-256.41;-256.903;-256.41;-256.919;-256.41;-256.003;-256.41;14:16:37
24;25.9204;-256.41;25.8539;-256.41;-256.755;-256.41;-256.277;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:20:55
