Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
20;25.9126;-256.41;25.8617;-256.41;-256.751;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:38
21;25.9204;-256.41;25.8695;-256.41;-256.755;-256.41;-256.269;-256.41;-256.684;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:39
22;25.9126;-256.41;25.8695;-256.41;-256.755;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:39
23;25.9204;-256.41;25.8695;-256.41;-256.755;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:40
24;25.9204;-256.41;25.8695;-256.41;-256.747;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:40
25;25.9204;-256.41;25.8617;-256.41;-256.751;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:41
26;25.9204;-256.41;25.8695;-256.41;-256.755;-256.41;-256.262;-256.41;-256.684;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:41
27;25.9204;-256.41;25.8617;-256.41;-256.751;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:42
28;25.9126;-256.41;25.8695;-256.41;-256.755;-256.41;-256.269;-256.41;-256.692;-256.41;-256.903;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:42
29;25.9282;-256.41;25.8695;-256.41;-256.758;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:43
30;25.9204;-256.41;25.8617;-256.41;-256.758;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:43
31;25.9126;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.684;-256.41;-256.911;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:44
32;25.9204;-256.41;25.8617;-256.41;-256.758;-256.41;-256.254;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:44
33;25.9204;-256.41;25.8617;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:45
34;25.9204;-256.41;25.8617;-256.41;-256.755;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.935;-256.41;-256.003;-256.41;14:14:45
35;25.9204;-256.41;25.8617;-256.41;-256.762;-256.41;-256.262;-256.41;-256.684;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:46
36;25.9204;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.935;-256.41;-255.996;-256.41;14:14:46
37;25.9204;-256.41;25.8617;-256.41;-256.758;-256.41;-256.262;-256.41;-256.7;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:47
38;25.9204;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.919;-256.41;-256.003;-256.41;14:14:47
39;25.9047;-256.41;25.8617;-256.41;-256.758;-256.41;-256.269;-256.41;-256.7;-256.41;-256.911;-256.41;-256.919;-256.41;-255.988;-256.41;14:14:48
40;25.9126;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:48
