Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
28;-115.347;-256.41;-115.47;-256.41;-256.843;-256.41;-256.125;-256.41;0;-1.29106e-231;2.122e-314;2.96439e-323;22;178.8;335.6;492.4;15:31:08
29;-115.347;-256.41;-115.47;-256.41;-256.841;-256.41;-256.132;-256.41;0;-1.19525e-310;4.94066e-324;1.13635e-322;8.06614e-308;8.34425e-308;1.50197e-307;1.22384e-307;15:31:09
30;-115.343;-256.41;-115.47;-256.41;-256.847;-256.41;-256.129;-256.41;0;-1.292e-231;1.0842e-19;nan;1.38491e-311;6.95297e-310;6.95297e-310;6.95297e-310;15:31:09
31;-115.347;-256.41;-115.47;-256.41;-256.841;-256.41;-256.132;-256.41;0;-1.30144e-231;4.94066e-324;2.96439e-323;-1154.7;-115.47;-115.47;-115.47;15:31:10
32;-115.347;-256.41;-115.466;-256.41;-256.841;-256.41;-256.125;-256.41;0;-3.81442e-270;6.95309e-310;2.12556e-314;1.60219e-306;1.38496e-311;1.38496e-311;0;15:31:10
33;-115.347;-256.41;-115.466;-256.41;-256.845;-256.41;-256.129;-256.41;-5.48613e+303;-3.80148e-270;6.95297e-310;3.39519e-313;1.62969e-311;4.24399e-314;0;2.37152e-322;15:31:11
34;-115.343;-256.41;-115.474;-256.41;-256.841;-256.41;-256.129;-256.41;0;-5.43374e-311;0;1.13635e-322;1.05695e-307;9.34566e-307;1.27946e-307;1.4854e-311;15:31:11
35;-115.339;-256.41;-115.466;-256.41;-256.837;-256.41;-256.129;-256.41;1;-1.95577e-310;0;1.13635e-322;1.39071e-307;1.27946e-307;9.457e-308;1.22384e-307;15:31:12
36;-115.347;-256.41;-115.47;-256.41;-256.841;-256.41;-256.125;-256.41;0;-1.29861e-231;4.94066e-324;1.13635e-322;8.90079e-308;8.9007e-308;1.50197e-307;1.22384e-307;15:31:12
37;-115.343;-256.41;-115.478;-256.41;-256.837;-256.41;-256.132;-256.41;-2.37746e+305;-1.29421e-231;4.94066e-324;9.88131e-324;1.38491e-311;1.38491e-311;3.95253e-323;nan;15:31:13
38;-115.343;-256.41;-115.482;-256.41;-256.837;-256.41;-256.125;-256.41;0;-3.81442e-270;6.95309e-310;2.12556e-314;1.60219e-306;1.38496e-311;1.38496e-311;0;15:31:13
