Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
12;110.08;0;110.057;0;-0.140381;0;0.0640869;0;-0.115967;0;-0.192261;0;-0.204468;0;0.164795;0;13:30:16
13;110.08;0;110.057;0;-0.137329;0;0.062561;0;-0.112915;0;-0.195313;0;-0.20752;0;0.164795;0;13:30:16
14;110.08;0;110.057;0;-0.137329;0;0.062561;0;-0.112915;0;-0.192261;0;-0.20752;0;0.167847;0;13:30:17
15;110.08;0;110.054;0;-0.135803;0;0.062561;0;-0.115967;0;-0.189209;0;-0.204468;0;0.164795;0;13:30:17
16;110.077;0;110.057;0;-0.137329;0;0.062561;0;-0.112915;0;-0.192261;0;-0.20752;0;0.164795;0;13:30:18
17;110.077;0;110.057;0;-0.135803;0;0.0610352;0;-0.112915;0;-0.195313;0;-0.20752;0;0.167847;0;13:30:18
18;110.077;0;110.057;0;-0.135803;0;0.062561;0;-0.115967;0;-0.192261;0;-0.20752;0;0.164795;0;13:30:19
19;110.077;0;110.057;0;-0.137329;0;0.062561;0;-0.112915;0;-0.195313;0;-0.20752;0;0.164795;0;13:30:19
20;110.077;0;110.057;0;-0.135803;0;0.0610352;0;-0.112915;0;-0.192261;0;-0.204468;0;0.164795;0;13:30:20
21;110.077;0;110.057;0;-0.135803;0;0.062561;0;-0.112915;0;-0.195313;0;-0.204468;0;0.167847;0;13:30:20
22;110.08;0;110.057;0;-0.137329;0;0.0610352;0;-0.112915;0;-0.192261;0;-0.20752;0;0.164795;0;13:30:21
23;110.08;0;110.057;0;-0.137329;0;0.0610352;0;-0.112915;0;-0.192261;0;-0.204468;0;0.167847;0;13:30:21
24;110.08;0;110.057;0;-0.135803;0;0.062561;0;-0.109863;0;-0.192261;0;-0.20752;0;0.167847;0;13:30:22
25;110.077;0;110.057;0;-0.137329;0;0.0610352;0;-0.112915;0;-0.192261;0;-0.204468;0;0.164795;0;13:30:22
26;110.08;0;110.06;0;-0.135803;0;0.0610352;0;-0.112915;0;-0.195313;0;-0.204468;0;0.164795;0;13:30:23
27;110.077;0;110.057;0;-0.134277;0;0.0579834;0;-0.112915;0;-0.192261;0;-0.204468;0;0.164795;0;13:30:23
28;110.077;0;110.06;0;-0.137329;0;0.0610352;0;-0.115967;0;-0.192261;0;-0.20752;0;0.164795;0;13:30:24
29;110.08;0;110.054;0;-0.135803;0;0.0579834;0;-0.109863;0;-0.192261;0;-0.204468;0;0.167847;0;13:30:24
30;110.077;0;110.057;0;-0.137329;0;0.0610352;0;-0.112915;0;-0.192261;0;-0.20752;0;0.167847;0;13:30:25
