Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
2;26.3508;26.2608;25.6191;-256.262;-256.661;-256.872;-256.915;-255.988;0;None;1000;None;11:25:27
3;26.3586;26.2529;25.6348;-256.269;-256.668;-256.872;-256.915;-255.98;0;None;1000;None;11:25:27
4;26.3508;26.2451;25.6269;-256.269;-256.661;-256.864;-256.915;-255.988;0;None;1000;None;11:25:28
5;26.3508;26.2529;25.6269;-256.269;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:25:28
6;26.3508;26.2451;25.6269;-256.262;-256.661;-256.872;-256.911;-255.988;0;None;1000;None;11:25:29
7;26.3429;26.2451;25.6191;-256.269;-256.661;-256.872;-256.915;-255.98;0;None;1000;None;11:25:29
8;26.3429;26.2451;25.6269;-256.262;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:25:30
9;26.3508;26.2451;25.6191;-256.269;-256.668;-256.872;-256.911;-255.98;0;None;1000;None;11:25:30
10;26.3429;26.2451;25.6191;-256.262;-256.668;-256.872;-256.911;-255.988;0;None;1000;None;11:25:31
11;26.3429;26.2451;25.6269;-256.262;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:31
12;26.3429;26.2529;25.6191;-256.269;-256.668;-256.872;-256.915;-255.988;0;None;1000;None;11:25:32
13;26.3429;26.2451;25.6269;-256.269;-256.668;-256.872;-256.923;-255.98;0;None;1000;None;11:25:32
14;26.3429;26.2451;25.6269;-256.262;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:25:33
15;26.3351;26.2451;25.6269;-256.262;-256.668;-256.872;-256.915;-255.988;0;None;1000;None;11:25:33
16;26.3351;26.2451;25.6269;-256.269;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:34
17;26.3351;26.2373;25.6269;-256.262;-256.661;-256.872;-256.919;-255.98;0;None;1000;None;11:25:34
18;26.3273;26.2373;25.6348;-256.277;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:25:35
19;26.3273;26.2295;25.6269;-256.269;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:25:35
20;26.3351;26.2373;25.6348;-256.262;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:25:36
21;26.3273;26.2373;25.6269;-256.269;-256.661;-256.864;-256.919;-255.988;0;None;1000;None;11:25:36
22;26.3273;26.2373;25.6348;-256.269;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:37
23;26.3273;26.2373;25.6348;-256.262;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:25:37
24;26.3234;26.2373;25.6269;-256.262;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:25:38
25;26.3273;26.2373;25.6348;-256.262;-256.668;-256.872;-256.915;-255.98;0;None;1000;None;11:25:38
26;26.3351;26.2295;25.6348;-256.269;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:39
27;26.3273;26.2295;25.6348;-256.262;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:25:39
28;26.3234;26.2295;25.6348;-256.262;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:40
29;26.3273;26.2373;25.6348;-256.269;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:25:40
30;26.3273;26.2295;25.6348;-256.269;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:25:41
31;26.3234;26.2373;25.6426;-256.262;-256.668;-256.872;-256.911;-255.988;0;None;1000;None;11:25:41
32;26.3273;26.2256;25.6426;-256.269;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:25:42
33;26.3234;26.2295;25.6269;-256.262;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:25:42
34;26.3195;26.2295;25.6348;-256.269;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:43
35;26.3234;26.2295;25.6269;-256.262;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:25:43
36;26.3234;26.2295;25.6269;-256.269;-256.668;-256.856;-256.923;-255.988;0;None;1000;None;11:25:44
37;26.3195;26.2295;25.6348;-256.262;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:44
38;26.3195;26.2295;25.6348;-256.262;-256.661;-256.864;-256.919;-255.988;0;None;1000;None;11:25:45
39;26.3195;26.2256;25.6348;-256.262;-256.668;-256.856;-256.915;-255.988;0;None;1000;None;11:25:45
40;26.3195;26.2256;25.6269;-256.262;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:46
41;26.3234;26.2256;25.6348;-256.262;-256.661;-256.856;-256.911;-255.98;0;None;1000;None;11:25:46
42;26.3234;26.2256;25.6348;-256.269;-256.668;-256.856;-256.915;-255.98;0;None;1000;None;11:25:47
43;26.3234;26.2216;25.6348;-256.262;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:25:47
44;26.3234;26.2256;25.6269;-256.262;-256.661;-256.856;-256.919;-255.98;0;None;1000;None;11:25:48
45;26.3195;26.2216;25.6269;-256.262;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:25:48
46;26.3195;26.2256;25.6348;-256.262;-256.668;-256.848;-256.915;-255.988;0;None;1000;None;11:25:49
47;26.3195;26.2216;25.6269;-256.262;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:25:49
48;26.3195;26.2216;25.6269;-256.262;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:25:50
49;26.3195;26.2256;25.6269;-256.269;-256.661;-256.856;-256.919;-255.98;0;None;1000;None;11:25:50
50;26.3155;26.2256;25.6269;-256.262;-256.668;-256.864;-256.927;-255.98;0;None;1000;None;11:25:51
51;26.3195;26.2256;25.6348;-256.262;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:25:51
52;26.3155;26.2216;25.6269;-256.262;-256.668;-256.856;-256.919;-255.98;0;None;1000;None;11:25:52
53;26.3195;26.2216;25.6269;-256.262;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:25:52
54;26.3155;26.2216;25.6348;-256.262;-256.668;-256.856;-256.919;-255.98;0;None;1000;None;11:25:53
55;26.3155;26.2216;25.6348;-256.262;-256.668;-256.856;-256.915;-255.988;0;None;1000;None;11:25:53
56;26.3155;26.2256;25.6269;-256.269;-256.661;-256.856;-256.919;-255.972;0;None;1000;None;11:25:54
57;26.3155;26.2216;25.6348;-256.262;-256.668;-256.864;-256.915;-255.98;0;None;1000;None;11:25:54
58;26.3155;26.2295;25.6348;-256.262;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:25:55
59;26.3155;26.2216;25.6269;-256.262;-256.661;-256.856;-256.915;-255.98;0;None;1000;None;11:25:55
60;26.3155;26.2216;25.6348;-256.262;-256.668;-256.872;-256.915;-255.988;0;None;1000;None;11:25:56
61;26.3155;26.2256;25.6348;-256.262;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:25:56
62;26.3155;26.2216;25.6269;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:25:57
63;26.3155;26.2256;25.6348;-256.262;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:25:57
64;26.3116;26.2216;25.6191;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:25:58
65;26.3155;26.2256;25.6269;-256.269;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:25:58
66;26.3116;26.2216;25.6269;-256.262;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:25:59
67;26.3116;26.2256;25.6348;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:25:59
68;26.3116;26.2256;25.6269;-256.262;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:26:00
69;26.3155;26.2216;25.6269;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:00
70;26.3155;26.2216;25.6269;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:01
71;26.3116;26.2216;25.6426;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:01
72;26.3116;26.2177;25.6426;-256.262;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:26:02
73;26.3155;26.2216;25.6426;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:02
74;26.3077;26.2177;25.6504;-256.269;-256.661;-256.864;-256.919;-255.988;0;None;1000;None;11:26:03
75;26.3116;26.2177;25.6504;-256.262;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:03
76;26.3116;26.2216;25.6504;-256.262;-256.661;-256.864;-256.919;-255.972;0;None;1000;None;11:26:04
77;26.3155;26.2177;25.6426;-256.262;-256.668;-256.864;-256.927;-255.98;0;None;1000;None;11:26:04
78;26.3116;26.2216;25.6348;-256.269;-256.661;-256.864;-256.927;-255.988;0;None;1000;None;11:26:05
79;26.3077;26.2177;25.6348;-256.262;-256.668;-256.864;-256.923;-255.98;0;None;1000;None;11:26:05
80;26.3116;26.2216;25.6348;-256.269;-256.668;-256.872;-256.919;-255.988;0;None;1000;None;11:26:06
81;26.3116;26.2177;25.6348;-256.277;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:26:06
82;26.3155;26.2177;25.6348;-256.262;-256.661;-256.864;-256.919;-255.988;0;None;1000;None;11:26:07
83;26.3116;26.2177;25.6348;-256.269;-256.653;-256.864;-256.919;-255.988;0;None;1000;None;11:26:07
84;26.3116;26.2138;25.6348;-256.269;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:08
85;26.3077;26.2177;25.6426;-256.269;-256.661;-256.864;-256.919;-255.988;0;None;1000;None;11:26:08
86;26.3077;26.2138;25.6269;-256.269;-256.661;-256.856;-256.915;-255.98;0;None;1000;None;11:26:09
87;26.3077;26.2177;25.6348;-256.277;-256.661;-256.856;-256.919;-255.988;0;None;1000;None;11:26:09
88;26.2999;26.2177;25.6426;-256.269;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:26:10
89;26.2999;26.2138;25.6348;-256.269;-256.661;-256.856;-256.919;-255.988;0;None;1000;None;11:26:10
90;26.2921;26.2177;25.6348;-256.269;-256.661;-256.856;-256.919;-255.98;0;None;1000;None;11:26:11
91;26.2921;26.2177;25.6348;-256.269;-256.668;-256.864;-256.927;-255.988;0;None;1000;None;11:26:11
92;26.2999;26.2138;25.6269;-256.269;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:26:12
93;26.2921;26.2138;25.6348;-256.269;-256.668;-256.856;-256.919;-255.98;0;None;1000;None;11:26:12
94;26.2999;26.2138;25.6426;-256.269;-256.668;-256.864;-256.927;-255.98;0;None;1000;None;11:26:13
95;26.2921;26.2138;25.6348;-256.269;-256.661;-256.872;-256.927;-255.98;0;None;1000;None;11:26:13
96;26.2999;26.2138;25.6426;-256.269;-256.668;-256.864;-256.927;-255.988;0;None;1000;None;11:26:14
97;26.2921;26.2138;25.6348;-256.269;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:14
98;26.2999;26.2138;25.6348;-256.269;-256.661;-256.872;-256.919;-255.98;0;None;1000;None;11:26:15
99;26.2921;26.2177;25.6426;-256.269;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:15
100;26.2999;26.2138;25.6348;-256.269;-256.668;-256.872;-256.919;-255.988;0;None;1000;None;11:26:16
101;26.2921;26.2138;25.6426;-256.269;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:26:16
102;26.2921;26.2177;25.6348;-256.269;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:26:17
103;26.2842;26.2138;25.6348;-256.269;-256.668;-256.864;-256.927;-255.98;0;None;1000;None;11:26:17
104;26.2842;26.2138;25.6426;-256.269;-256.661;-256.856;-256.919;-255.988;0;None;1000;None;11:26:18
105;26.2921;26.2177;25.6269;-256.269;-256.676;-256.856;-256.927;-255.98;0;None;1000;None;11:26:18
106;26.2764;26.2138;25.6426;-256.277;-256.668;-256.856;-256.927;-255.988;0;None;1000;None;11:26:19
107;26.2921;26.2138;25.6348;-256.269;-256.668;-256.856;-256.931;-255.98;0;None;1000;None;11:26:19
108;26.2764;26.2138;25.6269;-256.269;-256.668;-256.856;-256.919;-255.98;0;None;1000;None;11:26:20
109;26.2921;26.2138;25.6426;-256.269;-256.668;-256.856;-256.919;-255.996;0;None;1000;None;11:26:20
110;26.2842;26.2177;25.6348;-256.269;-256.676;-256.864;-256.927;-255.98;0;None;1000;None;11:26:21
111;26.2764;26.2138;25.6348;-256.269;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:26:21
112;26.2842;26.2177;25.6426;-256.269;-256.668;-256.856;-256.927;-255.98;0;None;1000;None;11:26:22
113;26.2842;26.2138;25.6426;-256.269;-256.668;-256.856;-256.915;-255.988;0;None;1000;None;11:26:22
114;26.2842;26.2138;25.6348;-256.269;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:26:23
115;26.2764;26.2138;25.6348;-256.269;-256.676;-256.856;-256.919;-255.98;0;None;1000;None;11:26:23
116;26.2842;26.2138;25.6348;-256.269;-256.668;-256.856;-256.927;-255.988;0;None;1000;None;11:26:24
117;26.2842;26.2099;25.6348;-256.262;-256.661;-256.856;-256.927;-255.988;0;None;1000;None;11:26:24
118;26.2764;26.2138;25.6348;-256.269;-256.676;-256.864;-256.927;-255.988;0;None;1000;None;11:26:25
119;26.2764;26.2099;25.6348;-256.262;-256.668;-256.856;-256.923;-255.996;0;None;1000;None;11:26:25
120;26.2764;26.2138;25.6426;-256.277;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:26:26
121;26.2842;26.2099;25.6348;-256.262;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:26
122;26.2764;26.2138;25.6269;-256.269;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:26:27
123;26.2764;26.2099;25.6269;-256.262;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:26:27
124;26.2764;26.2099;25.6348;-256.269;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:26:28
125;26.2764;26.2138;25.6269;-256.269;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:26:28
126;26.2764;26.2099;25.6348;-256.269;-256.661;-256.864;-256.927;-255.972;0;None;1000;None;11:26:29
127;26.2764;26.2138;25.6269;-256.269;-256.668;-256.856;-256.915;-255.98;0;None;1000;None;11:26:29
128;26.2764;26.2099;25.6348;-256.277;-256.661;-256.864;-256.919;-255.972;0;None;1000;None;11:26:30
129;26.2764;26.2099;25.6269;-256.262;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:30
130;26.2842;26.2099;25.6348;-256.269;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:31
131;26.2842;26.2099;25.6348;-256.269;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:31
132;26.2842;26.2099;25.6348;-256.269;-256.661;-256.872;-256.919;-255.972;0;None;1000;None;11:26:32
133;26.2842;26.206;25.6348;-256.269;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:32
134;26.2764;26.206;25.6191;-256.269;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:33
135;26.2764;26.2099;25.6269;-256.277;-256.661;-256.856;-256.919;-255.98;0;None;1000;None;11:26:33
136;26.2842;26.2021;25.6269;-256.269;-256.668;-256.864;-256.919;-255.972;0;None;1000;None;11:26:34
137;26.2764;26.2099;25.6191;-256.269;-256.668;-256.864;-256.927;-255.98;0;None;1000;None;11:26:34
138;26.2764;26.2021;25.6269;-256.269;-256.676;-256.872;-256.919;-255.98;0;None;1000;None;11:26:35
139;26.2686;26.2021;25.6269;-256.269;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:35
140;26.2764;26.1943;25.6191;-256.269;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:36
141;26.2686;26.2099;25.6191;-256.269;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:36
142;26.2686;26.1943;25.6269;-256.269;-256.668;-256.872;-256.915;-255.98;0;None;1000;None;11:26:37
143;26.2686;26.2021;25.6269;-256.269;-256.668;-256.872;-256.919;-255.98;0;None;1000;None;11:26:37
144;26.2686;26.1943;25.6191;-256.262;-256.661;-256.872;-256.919;-255.972;0;None;1000;None;11:26:38
145;26.2764;26.2021;25.6269;-256.269;-256.668;-256.872;-256.919;-255.98;0;None;1000;None;11:26:38
146;26.2686;26.1943;25.6269;-256.262;-256.668;-256.872;-256.919;-255.98;0;None;1000;None;11:26:39
147;26.2686;26.2021;25.6269;-256.269;-256.676;-256.872;-256.927;-255.98;0;None;1000;None;11:26:39
148;26.2686;26.1943;25.6348;-256.262;-256.668;-256.872;-256.915;-255.98;0;None;1000;None;11:26:40
149;26.2608;26.1943;25.6269;-256.269;-256.668;-256.872;-256.919;-255.988;0;None;1000;None;11:26:40
150;26.2686;26.2021;25.6348;-256.262;-256.668;-256.872;-256.919;-255.98;0;None;1000;None;11:26:41
151;26.2686;26.1864;25.6269;-256.269;-256.661;-256.872;-256.919;-255.988;0;None;1000;None;11:26:41
152;26.2608;26.1943;25.6348;-256.277;-256.668;-256.872;-256.919;-255.988;0;None;1000;None;11:26:42
153;26.2608;26.1864;25.6348;-256.269;-256.661;-256.88;-256.919;-255.98;0;None;1000;None;11:26:42
154;26.2608;26.1943;25.6348;-256.269;-256.668;-256.872;-256.919;-255.98;0;None;1000;None;11:26:43
155;26.2608;26.1943;25.6348;-256.269;-256.668;-256.864;-256.927;-255.988;0;None;1000;None;11:26:43
156;26.2608;26.1864;25.6269;-256.269;-256.661;-256.872;-256.927;-255.98;0;None;1000;None;11:26:44
157;26.2529;26.1786;25.6348;-256.269;-256.668;-256.88;-256.919;-255.988;0;None;1000;None;11:26:44
158;26.2529;26.1864;25.6426;-256.262;-256.668;-256.872;-256.927;-255.98;0;None;1000;None;11:26:45
159;26.2608;26.1864;25.6348;-256.269;-256.668;-256.872;-256.919;-255.98;0;None;1000;None;11:26:45
160;26.2451;26.1864;25.6348;-256.269;-256.668;-256.872;-256.927;-255.98;0;None;1000;None;11:26:46
161;26.2451;26.1786;25.6426;-256.269;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:46
162;26.2373;26.1864;25.6348;-256.277;-256.668;-256.872;-256.927;-255.988;0;None;1000;None;11:26:47
163;26.2451;26.1786;25.6348;-256.269;-256.668;-256.872;-256.919;-255.98;0;None;1000;None;11:26:47
164;26.2451;26.1864;25.6426;-256.269;-256.668;-256.864;-256.927;-255.972;0;None;1000;None;11:26:48
165;26.2451;26.1786;25.6348;-256.269;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:48
166;26.2373;26.1864;25.6348;-256.269;-256.661;-256.872;-256.919;-255.98;0;None;1000;None;11:26:49
167;26.2451;26.1708;25.6348;-256.277;-256.668;-256.864;-256.927;-255.98;0;None;1000;None;11:26:49
168;26.2451;26.1786;25.6348;-256.269;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:26:50
169;26.2451;26.1786;25.6426;-256.269;-256.661;-256.864;-256.919;-255.98;0;None;1000;None;11:26:50
170;26.2451;26.1864;25.6426;-256.277;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:51
171;26.2295;26.1786;25.6348;-256.277;-256.668;-256.856;-256.915;-255.98;0;None;1000;None;11:26:51
172;26.2451;26.1786;25.6348;-256.269;-256.653;-256.864;-256.919;-255.98;0;None;1000;None;11:26:52
173;26.2373;26.1786;25.6348;-256.269;-256.661;-256.856;-256.919;-255.98;0;None;1000;None;11:26:52
174;26.2451;26.1708;25.6426;-256.269;-256.653;-256.864;-256.919;-255.988;0;None;1000;None;11:26:53
175;26.2451;26.1786;25.6269;-256.269;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:26:53
176;26.2373;26.1708;25.6269;-256.269;-256.661;-256.856;-256.927;-255.988;0;None;1000;None;11:26:54
177;26.2451;26.1864;25.6269;-256.277;-256.661;-256.864;-256.927;-255.98;0;None;1000;None;11:26:54
178;26.2451;26.1786;25.6269;-256.269;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:26:55
179;26.2373;26.1708;25.6269;-256.269;-256.661;-256.864;-256.927;-255.988;0;None;1000;None;11:26:55
180;26.2451;26.1786;25.6269;-256.269;-256.661;-256.856;-256.935;-255.988;0;None;1000;None;11:26:56
181;26.2451;26.1708;25.6269;-256.277;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:26:56
182;26.2373;26.163;25.6348;-256.269;-256.668;-256.864;-256.927;-255.98;0;None;1000;None;11:26:57
183;26.2451;26.1786;25.6348;-256.262;-256.661;-256.856;-256.919;-255.988;0;None;1000;None;11:26:57
184;26.2373;26.1708;25.6426;-256.269;-256.668;-256.856;-256.919;-255.988;0;None;1000;None;11:26:58
185;26.2451;26.1708;25.6348;-256.262;-256.668;-256.864;-256.919;-255.98;0;None;1000;None;11:26:58
186;26.2373;26.1786;25.6348;-256.269;-256.676;-256.856;-256.927;-255.988;0;None;1000;None;11:26:59
187;26.2451;26.1708;25.6348;-256.262;-256.661;-256.856;-256.923;-255.98;0;None;1000;None;11:26:59
188;26.2373;26.1708;25.6348;-256.269;-256.668;-256.864;-256.919;-255.988;0;None;1000;None;11:27:00
189;26.2373;26.1708;25.6426;-256.262;-256.668;-256.856;-256.915;-255.988;0;None;1000;None;11:27:00
190;26.2451;26.1708;25.6348;-256.262;-256.661;-256.864;-256.915;-255.98;0;None;1000;None;11:27:01
191;26.2451;26.1708;25.6348;-256.269;-256.668;-256.864;-256.915;-255.988;0;None;1000;None;11:27:01
192;26.2373;26.163;25.6348;-256.269;-256.668;-256.872;-256.919;-255.988;0;None;1000;None;11:27:02
