Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
2;27.2428;27.1841;-256.727;-256.25;-256.684;-256.895;-256.95;-255.988;15:38:53
3;27.2428;27.1763;-256.727;-256.25;-256.676;-256.888;-256.95;-255.996;15:38:53
4;27.2506;27.1763;-256.735;-256.25;-256.684;-256.895;-256.95;-256.003;15:38:53
5;27.2428;27.1763;-256.727;-256.246;-256.676;-256.888;-256.95;-255.996;15:38:53
6;27.2428;27.1685;-256.727;-256.246;-256.684;-256.888;-256.95;-255.996;15:38:53
7;27.2428;27.1606;-256.727;-256.25;-256.684;-256.888;-256.958;-255.988;15:38:53
8;27.2428;27.1606;-256.727;-256.254;-256.684;-256.895;-256.95;-255.996;15:38:53
9;27.2428;27.1606;-256.727;-256.25;-256.684;-256.888;-256.942;-255.988;15:38:53
10;27.2428;27.1606;-256.727;-256.25;-256.684;-256.888;-256.95;-255.996;15:38:53
11;27.2428;27.145;-256.727;-256.25;-256.676;-256.895;-256.942;-255.996;15:38:53
12;27.235;27.1528;-256.727;-256.25;-256.684;-256.888;-256.942;-255.996;15:38:54
13;27.2428;27.1528;-256.727;-256.25;-256.684;-256.888;-256.95;-255.996;15:38:54
14;27.235;27.145;-256.727;-256.25;-256.684;-256.888;-256.95;-255.996;15:38:55
15;27.2272;27.145;-256.743;-256.25;-256.676;-256.888;-256.95;-255.996;15:38:55
16;27.235;27.1372;-256.743;-256.254;-256.676;-256.888;-256.95;-256.003;15:38:56
17;27.235;27.1372;-256.735;-256.25;-256.684;-256.888;-256.942;-255.996;15:38:56
18;27.235;27.1372;-256.743;-256.25;-256.676;-256.895;-256.95;-256.003;15:38:57
19;27.2272;27.1372;-256.735;-256.25;-256.676;-256.888;-256.942;-255.988;15:38:57
20;27.235;27.1293;-256.743;-256.25;-256.684;-256.895;-256.942;-256.003;15:38:58
21;27.2272;27.1293;-256.743;-256.25;-256.684;-256.895;-256.942;-255.996;15:38:58
22;27.235;27.1293;-256.735;-256.25;-256.684;-256.895;-256.95;-256.003;15:38:59
23;27.2272;27.1293;-256.743;-256.25;-256.684;-256.895;-256.942;-255.996;15:38:59
24;27.2272;27.1215;-256.743;-256.246;-256.692;-256.895;-256.95;-256.003;15:39:00
25;27.2272;27.1215;-256.747;-256.246;-256.676;-256.895;-256.958;-256.003;15:39:00
