Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
7;30.7445;30.6076;-256.747;-256.254;-256.692;-256.903;-256.974;-255.949;0;None;1000;None;12:13:33
8;30.7367;30.5997;-256.743;-256.25;-256.7;-256.903;-256.966;-255.956;0;None;1000;None;12:13:34
9;30.721;30.5919;-256.747;-256.25;-256.7;-256.903;-256.974;-255.949;0;None;1000;None;12:13:34
10;30.7289;30.5919;-256.743;-256.25;-256.7;-256.911;-256.974;-255.949;0;None;1000;None;12:13:34
11;30.7132;30.5841;-256.747;-256.254;-256.7;-256.903;-256.974;-255.956;0;None;1000;None;12:13:35
12;30.7132;30.5841;-256.743;-256.25;-256.708;-256.903;-256.966;-255.949;0;None;1000;None;12:13:35
13;30.7132;30.5763;-256.747;-256.254;-256.708;-256.903;-256.974;-255.949;0;None;1000;None;12:13:36
14;30.6976;30.5684;-256.743;-256.254;-256.7;-256.903;-256.966;-255.949;0;None;1000;None;12:13:37
15;30.6976;30.5763;-256.743;-256.254;-256.708;-256.903;-256.974;-255.956;0;None;1000;None;12:13:37
16;30.6976;30.5606;-256.743;-256.25;-256.7;-256.903;-256.958;-255.941;0;None;1000;None;12:13:37
17;30.6858;30.5606;-256.747;-256.254;-256.7;-256.903;-256.966;-255.956;0;None;1000;None;12:13:38
18;30.6858;30.5606;-256.747;-256.254;-256.7;-256.911;-256.966;-255.956;0;None;1000;None;12:13:38
19;30.6858;30.545;-256.743;-256.25;-256.708;-256.903;-256.958;-255.949;0;None;1000;None;12:13:39
20;30.6819;30.545;-256.739;-256.254;-256.7;-256.911;-256.958;-255.956;0;None;1000;None;12:13:39
21;30.6741;30.545;-256.743;-256.254;-256.708;-256.903;-256.958;-255.949;0;None;1000;None;12:13:40
22;30.6741;30.545;-256.747;-256.254;-256.692;-256.903;-256.958;-255.949;0;None;1000;None;12:13:41
23;30.6741;30.5371;-256.743;-256.25;-256.7;-256.911;-256.958;-255.949;0;None;1000;None;12:13:41
24;30.6702;30.5371;-256.743;-256.25;-256.7;-256.911;-256.966;-255.952;0;None;1000;None;12:13:41
25;30.6623;30.5371;-256.735;-256.254;-256.708;-256.911;-256.958;-255.949;0;None;1000;None;12:13:42
26;30.6623;30.5215;-256.743;-256.254;-256.7;-256.903;-256.95;-255.949;0;None;1000;None;12:13:42
27;30.6623;30.5215;-256.735;-256.25;-256.708;-256.895;-256.95;-255.949;0;None;1000;None;12:13:43
28;30.6467;30.5215;-256.743;-256.254;-256.7;-256.911;-256.958;-255.956;0;None;1000;None;12:13:44
29;30.6545;30.5137;-256.743;-256.25;-256.708;-256.903;-256.95;-255.949;0;None;1000;None;12:13:44
30;30.6389;30.5215;-256.735;-256.254;-256.7;-256.895;-256.958;-255.956;0;None;1000;None;12:13:44
31;30.6467;30.5137;-256.743;-256.25;-256.708;-256.911;-256.958;-255.949;0;None;1000;None;12:13:45
32;30.631;30.5058;-256.743;-256.254;-256.7;-256.903;-256.95;-255.956;0;None;1000;None;12:13:46
33;30.631;30.5058;-256.727;-256.25;-256.7;-256.911;-256.966;-255.949;0;None;1000;None;12:13:46
34;30.6232;30.5058;-256.743;-256.25;-256.7;-256.903;-256.95;-255.949;0;None;1000;None;12:13:46
35;30.6232;30.498;-256.735;-256.25;-256.708;-256.895;-256.966;-255.956;0;None;1000;None;12:13:47
36;30.6076;30.498;-256.743;-256.25;-256.7;-256.895;-256.966;-255.949;37.599;None;37.35;30;12:14:16
37;30.6076;30.498;-256.743;-256.25;-256.708;-256.911;-256.966;-255.949;37.599;None;37.35;30;12:14:16
38;30.5997;30.4902;-256.747;-256.25;-256.7;-256.903;-256.966;-255.941;37.599;None;37.35;30;12:14:16
39;30.5919;30.4902;-256.743;-256.246;-256.708;-256.911;-256.974;-255.956;37.599;None;37.35;30;12:14:16
40;30.5841;30.4745;-256.743;-256.246;-256.7;-256.911;-256.966;-255.949;37.599;None;37.35;30;12:14:16
