Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
8;29.6529;29.5786;-256.743;-256.25;-256.692;-256.911;-256.974;-255.956;0;None;1000;None;12:15:49
9;29.6529;29.5708;-256.747;-256.246;-256.7;-256.919;-256.974;-255.964;0;None;1000;None;12:15:50
10;29.6529;29.5629;-256.747;-256.25;-256.7;-256.911;-256.974;-255.949;0;None;1000;None;12:15:50
11;29.6607;29.5629;-256.747;-256.246;-256.7;-256.911;-256.974;-255.956;0;None;1000;None;12:15:51
12;29.6451;29.5551;-256.751;-256.246;-256.7;-256.903;-256.966;-255.956;0;None;1000;None;12:15:51
13;29.649;29.5551;-256.747;-256.246;-256.708;-256.911;-256.966;-255.949;0;None;1000;None;12:15:52
14;29.6451;29.5551;-256.747;-256.246;-256.708;-256.903;-256.966;-255.956;0;None;1000;None;12:15:52
15;29.6412;29.5473;-256.751;-256.246;-256.708;-256.903;-256.966;-255.949;0;None;1000;None;12:15:53
16;29.6412;29.5395;-256.747;-256.246;-256.7;-256.911;-256.974;-255.956;0;None;1000;None;12:15:53
17;29.6373;29.5473;-256.751;-256.246;-256.692;-256.903;-256.974;-255.949;0;None;1000;None;12:15:54
18;29.6334;29.5395;-256.747;-256.246;-256.7;-256.903;-256.974;-255.949;0;None;1000;None;12:15:54
19;29.6334;29.5395;-256.755;-256.246;-256.7;-256.911;-256.966;-255.949;0;None;1000;None;12:15:55
20;29.6255;29.5316;-256.747;-256.246;-256.692;-256.903;-256.966;-255.956;0;None;1000;None;12:15:55
21;29.6099;29.5238;-256.751;-256.246;-256.7;-256.911;-256.966;-255.956;0;None;1000;None;12:15:56
22;29.6177;29.516;-256.747;-256.246;-256.7;-256.903;-256.966;-255.956;0;None;1000;None;12:15:56
23;29.6099;29.516;-256.751;-256.25;-256.692;-256.895;-256.966;-255.956;0;None;1000;None;12:15:57
24;29.6177;29.516;-256.743;-256.25;-256.692;-256.911;-256.966;-255.956;0;None;1000;None;12:15:57
25;29.6021;29.5082;-256.747;-256.246;-256.7;-256.903;-256.958;-255.964;0;None;1000;None;12:15:58
26;29.6099;29.5082;-256.743;-256.25;-256.692;-256.903;-256.966;-255.956;0;None;1000;None;12:15:58
27;29.6021;29.5003;-256.751;-256.25;-256.7;-256.903;-256.958;-255.949;0;None;1000;None;12:15:59
28;29.6021;29.5003;-256.743;-256.25;-256.692;-256.903;-256.966;-255.956;0;None;1000;None;12:15:59
29;29.5942;29.4925;-256.743;-256.246;-256.7;-256.903;-256.958;-255.949;0;None;1000;None;12:16:00
30;29.5942;29.4925;-256.747;-256.25;-256.692;-256.903;-256.958;-255.949;0;None;1000;None;12:16:00
