Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P now;T imp;K_prop;Time
2;23.209;23.2051;-256.758;-256.242;-256.692;-256.927;-256.966;-255.949;0;None;1000;11:45:22
3;23.209;23.2012;-256.762;-256.242;-256.684;-256.935;-256.966;-255.956;0;None;1000;11:45:22
4;23.209;23.2051;-256.758;-256.246;-256.692;-256.927;-256.974;-255.949;0;None;1000;11:45:23
5;23.209;23.1973;-256.758;-256.246;-256.692;-256.935;-256.974;-255.964;0;None;1000;11:45:23
6;23.209;23.2012;-256.758;-256.246;-256.684;-256.927;-256.974;-255.956;0;None;1000;11:45:24
7;23.2051;23.2051;-256.758;-256.246;-256.7;-256.935;-256.974;-255.956;0;None;1000;11:45:24
8;23.209;23.1973;-256.758;-256.242;-256.692;-256.935;-256.966;-255.949;0;None;1000;11:45:25
9;23.2051;23.2051;-256.762;-256.242;-256.684;-256.927;-256.966;-255.956;0;None;1000;11:45:25
10;23.209;23.1973;-256.762;-256.246;-256.7;-256.927;-256.966;-255.949;0;None;1000;11:45:26
11;23.2051;23.1973;-256.758;-256.246;-256.692;-256.927;-256.974;-255.956;0;None;1000;11:45:26
12;23.209;23.2051;-256.755;-256.246;-256.684;-256.935;-256.974;-255.956;0;None;1000;11:45:27
13;23.209;23.2051;-256.755;-256.246;-256.692;-256.927;-256.974;-255.949;0;None;1000;11:45:27
14;23.2129;23.1973;-256.758;-256.242;-256.692;-256.935;-256.966;-255.956;0;None;1000;11:45:28
15;23.209;23.2051;-256.755;-256.246;-256.692;-256.927;-256.966;-255.956;0;None;1000;11:45:28
16;23.2129;23.2051;-256.755;-256.246;-256.692;-256.927;-256.966;-255.956;0;None;1000;11:45:29
17;23.209;23.1973;-256.755;-256.242;-256.692;-256.935;-256.974;-255.949;0;None;1000;11:45:29
18;23.2129;23.2051;-256.755;-256.246;-256.692;-256.927;-256.966;-255.956;0;None;1000;11:45:30
19;23.2129;23.2051;-256.751;-256.242;-256.7;-256.927;-256.966;-255.949;0;None;1000;11:45:30
20;23.209;23.1973;-256.755;-256.246;-256.7;-256.935;-256.966;-255.956;0;None;1000;11:45:31
21;23.209;23.1973;-256.755;-256.242;-256.7;-256.927;-256.966;-255.956;0;None;1000;11:45:31
22;23.2129;23.2051;-256.755;-256.242;-256.7;-256.935;-256.958;-255.949;0;None;1000;11:45:32
23;23.209;23.1973;-256.758;-256.246;-256.692;-256.927;-256.966;-255.956;0;None;1000;11:45:32
24;23.209;23.2051;-256.755;-256.242;-256.692;-256.927;-256.958;-255.956;0;None;1000;11:45:33
25;23.209;23.1973;-256.758;-256.246;-256.684;-256.927;-256.958;-255.956;0;None;1000;11:45:33
26;23.209;23.2051;-256.755;-256.246;-256.692;-256.927;-256.974;-255.949;0;None;1000;11:45:34
27;23.209;23.1973;-256.758;-256.242;-256.692;-256.927;-256.974;-255.956;0;None;1000;11:45:34
28;23.209;23.2051;-256.755;-256.242;-256.684;-256.927;-256.974;-255.949;0;None;1000;11:45:35
29;23.2051;23.1973;-256.755;-256.242;-256.692;-256.935;-256.974;-255.949;0;None;1000;11:45:35
30;23.2129;23.2051;-256.755;-256.246;-256.692;-256.927;-256.966;-255.949;0;None;1000;11:45:36
