Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P now;T imp;K_prop;Time
4;23.2873;23.252;-256.751;-256.246;-256.684;-256.927;-256.966;-255.964;0;None;1000;11:51:15
5;23.2794;23.2442;-256.751;-256.246;-256.692;-256.927;-256.958;-255.964;0;None;1000;11:51:15
6;23.2794;23.2442;-256.751;-256.246;-256.684;-256.927;-256.958;-255.964;0;None;1000;11:51:15
7;23.2873;23.2442;-256.751;-256.246;-256.684;-256.927;-256.958;-255.964;0;None;1000;11:51:16
8;23.2873;23.2442;-256.755;-256.246;-256.684;-256.927;-256.966;-255.964;0;None;1000;11:51:16
9;23.2794;23.252;-256.755;-256.246;-256.692;-256.927;-256.966;-255.964;0;None;1000;11:51:17
10;23.2873;23.2599;-256.755;-256.246;-256.684;-256.927;-256.958;-255.964;0;None;1000;11:51:17
11;23.2873;23.252;-256.758;-256.242;-256.684;-256.927;-256.958;-255.964;0;None;1000;11:51:18
12;23.2794;23.2599;-256.755;-256.246;-256.684;-256.919;-256.958;-255.956;0;None;1000;11:51:18
13;23.2794;23.252;-256.755;-256.246;-256.692;-256.927;-256.958;-255.972;0;None;1000;11:51:19
14;23.2716;23.252;-256.751;-256.246;-256.684;-256.927;-256.966;-255.964;0;None;1000;11:51:19
15;23.2873;23.2599;-256.755;-256.246;-256.692;-256.927;-256.95;-255.964;0;None;1000;11:51:20
16;23.2794;23.2599;-256.755;-256.246;-256.692;-256.927;-256.958;-255.964;0;None;1000;11:51:20
17;23.2794;23.2599;-256.755;-256.242;-256.692;-256.927;-256.95;-255.964;0;None;1000;11:51:21
18;23.2794;23.2599;-256.755;-256.246;-256.692;-256.927;-256.958;-255.964;0;None;1000;11:51:21
19;23.2794;23.252;-256.755;-256.246;-256.684;-256.919;-256.95;-255.956;0;None;1000;11:51:22
20;23.2794;23.2599;-256.755;-256.242;-256.684;-256.927;-256.958;-255.964;0;None;1000;11:51:22
21;23.2794;23.2599;-256.755;-256.246;-256.684;-256.935;-256.958;-255.964;0;None;1000;11:51:23
22;23.2873;23.2599;-256.751;-256.246;-256.684;-256.919;-256.95;-255.964;0;None;1000;11:51:23
23;23.2794;23.2599;-256.755;-256.246;-256.684;-256.927;-256.95;-255.964;0;None;1000;11:51:24
24;23.2716;23.252;-256.747;-256.246;-256.684;-256.927;-256.95;-255.964;37.599;None;1;11:51:24
25;23.2794;23.2599;-256.751;-256.246;-256.684;-256.927;-256.958;-255.964;37.599;71;1;11:51:25
26;23.2794;23.252;-256.751;-256.246;-256.692;-256.927;-256.958;-255.964;37.599;71;1;11:51:25
27;23.2716;23.2599;-256.747;-256.246;-256.692;-256.927;-256.966;-255.964;37.599;71;1;11:51:26
28;23.2716;23.2599;-256.751;-256.242;-256.692;-256.935;-256.958;-255.956;37.599;71;1;11:51:26
