Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P now;T imp;K_prop;Time
1;23.0408;23.1464;-256.719;-256.254;-256.692;-256.911;-256.974;-255.988;0;None;1000;11:33:49
2;23.0408;23.1542;-256.719;-256.254;-256.692;-256.911;-256.974;-255.988;0;None;1000;11:33:49
3;23.0329;23.1464;-256.727;-256.25;-256.692;-256.911;-256.974;-255.996;0;None;1000;11:33:50
4;23.0408;23.1464;-256.735;-256.25;-256.692;-256.911;-256.981;-255.996;0;None;1000;11:33:50
5;23.0329;23.1542;-256.719;-256.25;-256.7;-256.911;-256.974;-255.988;0;None;1000;11:33:51
6;23.0329;23.1464;-256.735;-256.246;-256.7;-256.919;-256.981;-255.996;0;None;1000;11:33:51
7;23.0329;23.1464;-256.743;-256.246;-256.7;-256.911;-256.981;-255.988;0;None;1000;11:33:52
8;23.0251;23.1464;-256.727;-256.246;-256.692;-256.919;-256.981;-255.996;0;None;1000;11:33:52
9;23.0251;23.1464;-256.743;-256.246;-256.7;-256.911;-256.989;-255.996;0;None;1000;11:33:53
10;23.0329;23.1464;-256.735;-256.246;-256.7;-256.919;-256.981;-255.988;0;None;1000;11:33:53
11;23.0251;23.1386;-256.735;-256.242;-256.692;-256.911;-256.981;-255.988;0;None;1000;11:33:54
12;23.0329;23.1542;-256.735;-256.246;-256.7;-256.919;-256.974;-255.996;0;None;1000;11:33:54
13;23.0329;23.1464;-256.743;-256.242;-256.7;-256.911;-256.981;-255.988;0;None;1000;11:33:55
14;23.0408;23.1386;-256.735;-256.246;-256.7;-256.919;-256.981;-255.988;0;None;1000;11:33:55
15;23.0251;23.1464;-256.743;-256.246;-256.7;-256.911;-256.989;-255.996;0;None;1000;11:33:56
16;23.0329;23.1464;-256.735;-256.246;-256.708;-256.919;-256.981;-255.988;0;None;1000;11:33:56
17;23.0408;23.1386;-256.743;-256.242;-256.7;-256.911;-256.981;-255.996;0;None;1000;11:33:57
18;23.0329;23.1464;-256.735;-256.246;-256.708;-256.919;-256.989;-255.98;0;None;1000;11:33:57
19;23.0329;23.1308;-256.743;-256.242;-256.7;-256.919;-256.981;-255.988;0;None;1000;11:33:58
20;23.0329;23.1464;-256.743;-256.246;-256.7;-256.911;-256.981;-255.98;0;None;1000;11:33:58
21;23.0329;23.1308;-256.735;-256.246;-256.708;-256.911;-256.981;-255.98;0;None;1000;11:33:59
22;23.0408;23.1386;-256.735;-256.246;-256.7;-256.919;-256.989;-255.98;0;None;1000;11:33:59
23;23.0329;23.1464;-256.735;-256.242;-256.7;-256.911;-256.981;-255.988;0;None;1000;11:34:00
24;23.0329;23.1386;-256.743;-256.246;-256.7;-256.911;-256.989;-255.98;0;None;1000;11:34:00
25;23.0408;23.1386;-256.735;-256.242;-256.708;-256.919;-256.981;-255.98;0;None;1000;11:34:01
26;23.0329;23.1386;-256.743;-256.242;-256.7;-256.911;-256.981;-255.98;0;None;1000;11:34:01
27;23.0329;23.1386;-256.739;-256.246;-256.7;-256.919;-256.974;-255.98;0;None;1000;11:34:02
28;23.0408;23.1464;-256.735;-256.246;-256.7;-256.911;-256.981;-255.98;0;None;1000;11:34:02
29;23.0329;23.1386;-256.735;-256.242;-256.708;-256.919;-256.974;-255.98;0;None;1000;11:34:03
30;23.0329;23.1386;-256.743;-256.242;-256.7;-256.911;-256.974;-255.98;0;None;1000;11:34:03
31;23.0408;23.1464;-256.743;-256.242;-256.7;-256.919;-256.981;-255.98;0;None;1000;11:34:04
32;23.0329;23.1464;-256.739;-256.246;-256.7;-256.919;-256.974;-255.98;0;None;1000;11:34:04
33;23.0329;23.1464;-256.743;-256.246;-256.708;-256.919;-256.981;-255.98;0;None;1000;11:34:05
34;23.0329;23.1464;-256.743;-256.246;-256.715;-256.919;-256.981;-255.988;0;None;1000;11:34:05
35;23.0408;23.1386;-256.743;-256.246;-256.7;-256.927;-256.974;-255.972;0;None;1000;11:34:06
36;23.0329;23.1464;-256.743;-256.242;-256.708;-256.919;-256.981;-255.988;0;None;1000;11:34:06
37;23.0329;23.1464;-256.747;-256.246;-256.7;-256.919;-256.974;-255.98;0;None;1000;11:34:07
38;23.0329;23.1464;-256.743;-256.246;-256.708;-256.919;-256.974;-255.98;0;None;1000;11:34:07
39;23.0408;23.1386;-256.743;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;1000;11:34:08
40;23.0329;23.1386;-256.743;-256.246;-256.7;-256.919;-256.989;-255.988;0;None;1000;11:34:08
41;23.0408;23.1464;-256.747;-256.246;-256.708;-256.911;-256.981;-255.988;0;None;1000;11:34:09
42;23.0329;23.1464;-256.735;-256.246;-256.7;-256.911;-256.974;-255.98;0;None;1000;11:34:09
43;23.0329;23.1542;-256.747;-256.25;-256.7;-256.911;-256.981;-255.98;0;None;1000;11:34:10
44;23.0329;23.1464;-256.747;-256.246;-256.7;-256.919;-256.981;-255.988;0;None;1000;11:34:10
45;23.0251;23.1464;-256.747;-256.246;-256.7;-256.919;-256.981;-255.988;0;None;1000;11:34:11
46;23.0329;23.1464;-256.747;-256.246;-256.7;-256.919;-256.989;-255.98;0;None;1000;11:34:11
47;23.0251;23.1464;-256.751;-256.246;-256.692;-256.919;-256.981;-255.98;0;None;1000;11:34:12
48;23.0329;23.1464;-256.747;-256.242;-256.708;-256.919;-256.989;-255.988;0;None;1000;11:34:12
49;23.0329;23.1464;-256.747;-256.246;-256.7;-256.911;-256.981;-255.988;0;None;1000;11:34:13
50;23.0408;23.1464;-256.751;-256.246;-256.708;-256.919;-256.989;-255.98;0;None;1000;11:34:13
51;23.0329;23.1542;-256.747;-256.246;-256.7;-256.919;-256.974;-255.988;0;None;1000;11:34:14
52;23.0408;23.1464;-256.743;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;1000;11:34:14
53;23.0408;23.1542;-256.747;-256.25;-256.692;-256.919;-256.981;-255.98;0;None;1000;11:34:15
54;23.0329;23.1542;-256.747;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:15
55;23.0329;23.1464;-256.747;-256.25;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:16
56;23.0408;23.1464;-256.747;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:16
57;23.0408;23.1542;-256.747;-256.246;-256.692;-256.919;-256.981;-255.988;0;None;37.35;11:34:17
