Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
5;31.0379;30.7915;-256.747;-256.25;-256.708;-256.911;-256.966;-255.964;0;None;1000;None;12:09:18
6;31.0458;30.7915;-256.747;-256.254;-256.7;-256.919;-256.966;-255.972;0;None;1000;None;12:09:19
7;31.0379;30.7915;-256.747;-256.25;-256.7;-256.911;-256.974;-255.972;0;None;1000;None;12:09:19
8;31.0458;30.7993;-256.747;-256.25;-256.708;-256.919;-256.974;-255.972;0;None;1000;None;12:09:20
9;31.0379;30.7915;-256.747;-256.25;-256.7;-256.911;-256.974;-255.964;0;None;1000;None;12:09:20
10;31.0379;30.7915;-256.747;-256.25;-256.708;-256.911;-256.966;-255.964;0;None;1000;None;12:09:21
11;31.0379;30.7993;-256.747;-256.25;-256.7;-256.919;-256.974;-255.972;0;None;1000;None;12:09:21
12;31.0458;30.7915;-256.747;-256.25;-256.708;-256.911;-256.966;-255.972;0;None;0;None;12:09:22
13;31.0458;30.7993;-256.747;-256.25;-256.708;-256.911;-256.966;-255.972;0;None;0;None;12:09:22
14;31.0379;30.7993;-256.747;-256.25;-256.708;-256.911;-256.966;-255.972;0;None;0;None;12:09:23
15;31.0458;30.7993;-256.743;-256.25;-256.708;-256.919;-256.958;-255.964;0;None;0;None;12:09:23
