Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
1;27.8492;27.7906;27.4776;-256.277;-256.684;-256.872;-256.927;-255.956;0;None;1000;1000;None;24.04.2025 13:39:13.3913
2;27.8492;27.7984;27.4776;-256.285;-256.684;-256.88;-256.927;-255.949;0;None;1000;1000;None;25.04.2025 13:39:13.3913
3;27.8571;27.7984;27.4776;-256.277;-256.692;-256.88;-256.927;-255.956;0;None;1000;1000;None;26.04.2025 13:39:13.3913
4;27.8492;27.7906;27.4776;-256.285;-256.684;-256.872;-256.927;-255.949;0;None;1000;1000;None;27.04.2025 13:39:13.3913
5;27.8571;27.7906;27.4776;-256.277;-256.684;-256.88;-256.919;-255.956;0;None;1000;1000;None;28.04.2025 13:39:13.3913
6;27.8571;27.7984;27.4776;-256.277;-256.684;-256.88;-256.927;-255.956;0;None;1000;1000;None;29.04.2025 13:39:13.3913
