Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
1;27.5793;27.5049;27.3015;-256.277;-256.684;-256.872;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:03.773
2;27.5793;27.5128;27.3015;-256.285;-256.684;-256.88;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:04.006
3;27.5793;27.5128;27.3015;-256.277;-256.684;-256.872;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:04.507
4;27.5793;27.5049;27.2937;-256.277;-256.684;-256.872;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:05.007
5;27.5793;27.5128;27.2937;-256.285;-256.684;-256.872;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:05.506
6;27.5754;27.5128;27.2937;-256.277;-256.684;-256.872;-256.927;-255.996;0;None;1000;1000;None;2025-04-24 15:38:06.006
7;27.5793;27.5128;27.2937;-256.277;-256.684;-256.88;-256.935;-255.988;0;None;1000;1000;None;2025-04-24 15:38:06.507
8;27.5754;27.5128;27.3015;-256.277;-256.676;-256.88;-256.927;-255.996;0;None;1000;1000;None;2025-04-24 15:38:07.006
9;27.5793;27.5128;27.2937;-256.269;-256.684;-256.872;-256.935;-255.988;0;None;1000;1000;None;2025-04-24 15:38:07.506
10;27.5793;27.5128;27.2937;-256.277;-256.676;-256.88;-256.935;-255.996;0;None;1000;1000;None;2025-04-24 15:38:08.011
11;27.5793;27.5128;27.2937;-256.277;-256.684;-256.872;-256.935;-255.988;0;None;1000;1000;None;2025-04-24 15:38:08.510
12;27.5793;27.5128;27.2937;-256.277;-256.676;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:09.011
13;27.5754;27.5128;27.3015;-256.277;-256.684;-256.872;-256.935;-255.996;0;None;1000;1000;None;2025-04-24 15:38:09.506
14;27.5871;27.5128;27.3015;-256.277;-256.684;-256.88;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:10.007
15;27.5793;27.5049;27.2937;-256.277;-256.684;-256.872;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:10.510
16;27.5793;27.5128;27.2937;-256.269;-256.692;-256.88;-256.927;-255.996;0;None;1000;1000;None;2025-04-24 15:38:11.006
17;27.5793;27.5049;27.2937;-256.277;-256.684;-256.872;-256.919;-255.988;0;None;1000;1000;None;2025-04-24 15:38:11.506
18;27.5871;27.5128;27.2858;-256.277;-256.684;-256.88;-256.919;-255.98;0;None;1000;1000;None;2025-04-24 15:38:12.006
19;27.5871;27.5049;27.3015;-256.269;-256.684;-256.88;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:12.506
20;27.5793;27.5049;27.3015;-256.277;-256.692;-256.88;-256.919;-255.988;0;None;1000;1000;None;2025-04-24 15:38:13.007
21;27.5871;27.4971;27.2937;-256.277;-256.692;-256.872;-256.919;-255.988;0;None;1000;1000;None;2025-04-24 15:38:13.506
22;27.5793;27.5049;27.2858;-256.262;-256.692;-256.88;-256.935;-255.988;0;None;1000;1000;None;2025-04-24 15:38:14.006
23;27.5871;27.5128;27.2858;-256.277;-256.692;-256.88;-256.935;-255.988;0;None;1000;1000;None;2025-04-24 15:38:14.506
24;27.5754;27.5128;27.2858;-256.269;-256.692;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:15.006
25;27.5793;27.5049;27.2937;-256.277;-256.692;-256.88;-256.942;-255.988;0;None;1000;1000;None;2025-04-24 15:38:15.508
26;27.5793;27.5128;27.2937;-256.277;-256.692;-256.872;-256.935;-255.988;0;None;1000;1000;None;2025-04-24 15:38:16.013
27;27.5832;27.5049;27.2937;-256.277;-256.684;-256.88;-256.935;-255.988;0;None;1000;1000;None;2025-04-24 15:38:16.506
28;27.5793;27.5049;27.2937;-256.277;-256.692;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:17.006
29;27.5754;27.4971;27.2858;-256.262;-256.684;-256.872;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:17.511
30;27.5793;27.4971;27.2937;-256.269;-256.684;-256.88;-256.919;-255.988;0;None;1000;1000;None;2025-04-24 15:38:18.006
31;27.5871;27.5049;27.2858;-256.269;-256.684;-256.88;-256.927;-255.972;0;None;1000;1000;None;2025-04-24 15:38:18.506
32;27.5871;27.5049;27.2858;-256.269;-256.692;-256.872;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:19.006
33;27.5949;27.5049;27.2937;-256.277;-256.676;-256.872;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:19.506
34;27.5793;27.5049;27.2937;-256.269;-256.676;-256.88;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:20.006
35;27.5793;27.5049;27.2858;-256.269;-256.684;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:20.506
36;27.5754;27.5128;27.2858;-256.277;-256.684;-256.88;-256.919;-255.988;0;None;1000;1000;None;2025-04-24 15:38:21.006
37;27.5871;27.5128;27.2858;-256.269;-256.684;-256.88;-256.919;-255.98;0;None;1000;1000;None;2025-04-24 15:38:21.506
38;27.5832;27.5049;27.278;-256.277;-256.684;-256.872;-256.919;-255.98;0;None;1000;1000;None;2025-04-24 15:38:22.007
39;27.5871;27.5049;27.2858;-256.277;-256.684;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:22.506
40;27.5871;27.5206;27.2702;-256.277;-256.684;-256.88;-256.927;-255.972;0;None;1000;1000;None;2025-04-24 15:38:23.006
41;27.5871;27.5128;27.2624;-256.269;-256.684;-256.872;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 15:38:23.506
42;27.5793;27.5206;27.2624;-256.277;-256.684;-256.88;-256.919;-255.972;0;None;1000;1000;None;2025-04-24 15:38:24.006
43;27.5793;27.5128;27.2624;-256.269;-256.684;-256.88;-256.919;-255.98;0;None;1000;1000;None;2025-04-24 15:38:24.507
44;27.5871;27.5206;27.2624;-256.277;-256.684;-256.872;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 15:38:25.008
45;27.5832;27.5206;27.2545;-256.269;-256.676;-256.88;-256.919;-255.98;0;None;1000;1000;None;2025-04-24 15:38:25.507
46;27.5793;27.5128;27.2624;-256.269;-256.684;-256.872;-256.919;-255.98;0;None;1000;1000;None;2025-04-24 15:38:26.011
