Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
1;27.8336;27.7671;27.4306;-256.262;-256.684;-256.888;-256.935;-255.949;0;None;1000;1000;None;2025-04-24 13:51:09.814
2;27.8258;27.7671;27.4306;-256.277;-256.676;-256.88;-256.927;-255.949;0;None;1000;1000;None;2025-04-24 13:51:10.309
3;27.8336;27.7671;27.4306;-256.269;-256.676;-256.88;-256.927;-255.949;0;None;1000;1000;None;2025-04-24 13:51:10.810
4;27.8336;27.7749;27.4384;-256.262;-256.676;-256.88;-256.927;-255.956;0;None;1000;1000;None;2025-04-24 13:51:11.310
5;27.8336;27.7593;27.4306;-256.269;-256.676;-256.88;-256.927;-255.956;0;None;1000;1000;None;2025-04-24 13:51:11.813
6;27.8336;27.7671;27.4384;-256.269;-256.668;-256.88;-256.927;-255.949;0;None;1000;1000;None;2025-04-24 13:51:12.310
7;27.8414;27.7749;27.4384;-256.269;-256.676;-256.88;-256.935;-255.964;0;None;1000;1000;None;2025-04-24 13:51:12.814
8;27.8336;27.7749;27.4384;-256.269;-256.676;-256.88;-256.935;-255.956;0;None;1000;1000;None;2025-04-24 13:51:13.311
9;27.8258;27.7671;27.4306;-256.269;-256.668;-256.88;-256.935;-255.964;0;None;1000;1000;None;2025-04-24 13:51:13.806
10;27.8336;27.7671;27.4384;-256.269;-256.676;-256.88;-256.927;-255.956;0;None;1000;1000;None;2025-04-24 13:51:14.304
11;27.8258;27.7671;27.4384;-256.269;-256.676;-256.88;-256.927;-255.956;0;None;1000;1000;None;2025-04-24 13:51:14.813
12;27.8258;27.7671;27.4306;-256.269;-256.668;-256.88;-256.935;-255.956;0;None;1000;1000;None;2025-04-24 13:51:15.309
