Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
1;27.8649;27.814;27.5049;-256.277;-256.684;-256.88;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 13:44:44.439
2;27.8727;27.814;27.5128;-256.277;-256.692;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 13:44:44.716
3;27.8649;27.8179;27.5089;-256.277;-256.692;-256.872;-256.935;-255.98;0;None;1000;1000;None;2025-04-24 13:44:45.213
4;27.8727;27.8101;27.5049;-256.269;-256.684;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 13:44:45.715
5;27.8649;27.814;27.5049;-256.277;-256.692;-256.88;-256.919;-255.988;0;None;1000;1000;None;2025-04-24 13:44:46.215
6;27.8571;27.814;27.5089;-256.269;-256.684;-256.872;-256.935;-255.98;0;None;1000;1000;None;2025-04-24 13:44:46.718
7;27.8649;27.814;27.5128;-256.277;-256.684;-256.88;-256.927;-255.98;0;None;1000;1000;None;2025-04-24 13:44:47.215
8;27.8649;27.814;27.5128;-256.269;-256.684;-256.88;-256.927;-255.988;0;None;1000;1000;None;2025-04-24 13:44:47.715
