Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
1;21.1589;21.2645;21.2136;-134.489;-345.029;-343.111;-326.088;-38.3426;0;None;1000;None;09:44:17.777
2;21.1667;21.2723;21.2136;-256.406;-283.497;-342.411;-256.852;-192.182;0;None;1000;None;09:44:17.913
3;21.1589;21.2645;21.2215;-256.324;-256.606;-256.798;-256.911;-256.011;0;None;1000;None;09:44:18.414
4;21.1589;21.2645;21.2136;-256.293;-256.629;-256.864;-256.919;-255.996;0;None;1000;None;09:44:18.908
5;21.1589;21.2645;21.2215;-256.285;-256.637;-256.88;-256.935;-255.988;0;None;1000;None;09:44:19.404
6;21.151;21.2645;21.2215;-256.277;-256.645;-256.888;-256.95;-255.972;0;None;1000;None;09:44:19.913
7;21.1589;21.2723;21.2215;-256.262;-256.645;-256.888;-256.95;-255.98;0;None;1000;None;09:44:20.409
8;21.1589;21.2567;21.2136;-256.269;-256.645;-256.895;-256.95;-255.972;0;None;1000;None;09:44:20.903
9;21.1589;21.2723;21.2136;-256.262;-256.661;-256.903;-256.966;-255.972;0;None;1000;None;09:44:21.399
10;21.1667;21.2645;21.2136;-256.262;-256.653;-256.903;-256.958;-255.964;0;None;1000;None;09:44:21.910
11;21.1589;21.2645;21.2136;-256.262;-256.653;-256.903;-256.958;-255.964;0;None;1000;None;09:44:22.405
12;21.1589;21.2645;21.2215;-256.262;-256.661;-256.903;-256.966;-255.956;0;None;1000;None;09:44:22.903
13;21.1589;21.2723;21.2254;-256.262;-256.661;-256.911;-256.966;-255.964;0;None;1000;None;09:44:23.413
14;21.1667;21.2645;21.2254;-256.254;-256.653;-256.903;-256.981;-255.972;0;None;1000;None;09:44:23.905
15;21.1667;21.2645;21.2254;-256.254;-256.661;-256.903;-256.974;-255.964;0;None;1000;None;09:44:24.400
16;21.1667;21.2645;21.2293;-256.262;-256.653;-256.903;-256.974;-255.956;0;None;1000;None;09:44:24.910
17;21.1589;21.2723;21.2254;-256.254;-256.661;-256.911;-256.974;-255.964;0;None;1000;None;09:44:25.404
18;21.1745;21.2723;21.2293;-256.254;-256.653;-256.903;-256.974;-255.964;0;None;1000;None;09:44:25.897
19;21.1667;21.2723;21.2293;-256.254;-256.661;-256.911;-256.981;-255.964;0;None;1000;None;09:44:26.406
20;21.1589;21.2723;21.2254;-256.258;-256.653;-256.911;-256.981;-255.956;0;None;1000;None;09:44:26.910
21;21.1667;21.2645;21.2332;-256.254;-256.653;-256.903;-256.981;-255.964;0;None;1000;None;09:44:27.408
22;21.1589;21.2723;21.2254;-256.254;-256.653;-256.903;-256.989;-255.964;0;None;1000;None;09:44:27.903
23;21.1589;21.2723;21.2293;-256.254;-256.661;-256.911;-256.974;-255.956;0;None;1000;None;09:44:28.398
24;21.1667;21.2723;21.2332;-256.254;-256.653;-256.903;-256.981;-255.964;0;None;1000;None;09:44:28.892
25;21.1589;21.2723;21.2293;-256.25;-256.653;-256.911;-256.966;-255.964;0;None;1000;None;09:44:29.402
26;21.1589;21.2801;21.2332;-256.254;-256.661;-256.911;-256.974;-255.956;0;None;1000;None;09:44:29.898
27;21.1667;21.2801;21.2332;-256.25;-256.645;-256.911;-256.974;-255.964;0;None;1000;None;09:44:30.391
28;21.1667;21.288;21.2293;-256.254;-256.653;-256.911;-256.981;-255.956;0;None;1000;None;09:44:30.902
29;21.1745;21.2801;21.2293;-256.25;-256.653;-256.911;-256.974;-255.949;0;None;1000;None;09:44:31.400
30;21.1745;21.2958;21.2293;-256.254;-256.661;-256.911;-256.974;-255.964;0;None;1000;None;09:44:31.892
31;21.1823;21.3036;21.2293;-256.25;-256.661;-256.919;-256.974;-255.956;0;None;1000;None;09:44:32.399
32;21.198;21.3114;21.2293;-256.254;-256.661;-256.911;-256.981;-255.949;0;None;1000;None;09:44:32.894
33;21.198;21.3193;21.2293;-256.25;-256.668;-256.911;-256.974;-255.956;0;None;1000;None;09:44:33.388
34;21.2215;21.3349;21.2293;-256.254;-256.661;-256.911;-256.974;-255.964;0;None;1000;None;09:44:33.899
35;21.2293;21.3506;21.2293;-256.254;-256.668;-256.911;-256.974;-255.949;0;None;1000;None;09:44:34.392
36;21.2528;21.3623;21.2293;-256.254;-256.668;-256.911;-256.981;-255.964;0;None;1000;None;09:44:34.886
37;21.2606;21.3662;21.2293;-256.254;-256.668;-256.911;-256.981;-255.956;0;None;1000;None;09:44:35.397
38;21.2684;21.3701;21.2293;-256.254;-256.668;-256.911;-256.974;-255.956;0;None;1000;None;09:44:35.891
39;21.2919;21.378;21.2293;-256.254;-256.668;-256.911;-256.974;-255.956;0;None;1000;None;09:44:36.383
40;21.3075;21.3858;21.2293;-256.254;-256.661;-256.911;-256.974;-255.956;0;None;1000;None;09:44:36.892
41;21.3154;21.3936;21.2293;-256.254;-256.668;-256.911;-256.974;-255.956;0;None;1000;None;09:44:37.381
42;21.3388;21.4014;21.2293;-256.254;-256.661;-256.911;-256.974;-255.956;0;None;1000;None;09:44:37.891
43;21.3506;21.4249;21.2293;-256.25;-256.668;-256.919;-256.974;-255.949;0;None;1000;None;09:44:38.385
44;21.3623;21.4406;21.2254;-256.262;-256.668;-256.911;-256.981;-255.964;0;None;1000;None;09:44:38.876
45;21.374;21.4484;21.2254;-256.254;-256.668;-256.919;-256.981;-255.949;0;None;1000;None;09:44:39.383
46;21.3975;21.464;21.2293;-256.262;-256.676;-256.911;-256.981;-255.964;0;None;1000;None;09:44:39.885
47;21.4053;21.4719;21.2293;-256.262;-256.668;-256.911;-256.966;-255.956;0;None;1000;None;09:44:40.376
48;21.4288;21.4875;21.2254;-256.262;-256.668;-256.919;-256.974;-255.956;0;None;1000;None;09:44:40.881
49;21.4366;21.5032;21.2293;-256.262;-256.668;-256.911;-256.974;-255.956;0;None;1000;None;09:44:41.370
50;21.4601;21.511;21.2254;-256.262;-256.676;-256.911;-256.974;-255.956;0;None;1000;None;09:44:41.876
51;21.4758;21.5188;21.2254;-256.254;-256.668;-256.911;-256.966;-255.949;0;None;1000;None;09:44:42.384
52;21.4992;21.5345;21.2293;-256.258;-256.668;-256.911;-256.974;-255.956;0;None;1000;None;09:44:42.878
53;21.5071;21.5579;21.2254;-256.262;-256.676;-256.911;-256.981;-255.956;0;None;1000;None;09:44:43.370
54;21.5384;21.5658;21.2254;-256.254;-256.668;-256.911;-256.981;-255.956;0;None;1000;None;09:44:43.876
