Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
3;28.0957;28.037;27.6301;-256.285;-256.661;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:24.454
4;28.0957;28.041;27.638;-256.269;-256.653;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:24.459
5;28.0957;28.037;27.638;-256.285;-256.661;-256.856;-256.907;-255.925;0;None;1000;1000;None;2025-00-22 17:00:24.913
6;28.0957;28.041;27.638;-256.269;-256.668;-256.856;-256.907;-255.925;0;None;1000;1000;None;2025-00-22 17:00:25.419
7;28.1036;28.041;27.638;-256.285;-256.668;-256.856;-256.911;-255.921;0;None;1000;1000;None;2025-00-22 17:00:25.913
8;28.0879;28.041;27.6301;-256.285;-256.668;-256.856;-256.919;-255.925;0;None;1000;1000;None;2025-00-22 17:00:26.412
9;28.0957;28.041;27.638;-256.285;-256.668;-256.864;-256.911;-255.921;0;None;1000;1000;None;2025-00-22 17:00:26.913
10;28.0957;28.037;27.638;-256.277;-256.661;-256.856;-256.915;-255.921;0;None;1000;1000;None;2025-00-22 17:00:27.412
11;28.0879;28.041;27.638;-256.285;-256.676;-256.864;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:27.906
12;28.1036;28.041;27.638;-256.277;-256.661;-256.856;-256.919;-255.925;0;None;1000;1000;None;2025-00-22 17:00:28.413
13;28.0957;28.041;27.6301;-256.277;-256.668;-256.864;-256.915;-255.925;0;None;1000;1000;None;2025-00-22 17:00:28.912
14;28.1036;28.041;27.638;-256.277;-256.668;-256.856;-256.915;-255.925;0;None;1000;1000;None;2025-00-22 17:00:29.412
15;28.0957;28.041;27.638;-256.277;-256.668;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:29.914
16;28.0957;28.041;27.638;-256.269;-256.668;-256.864;-256.915;-255.925;0;None;1000;1000;None;2025-00-22 17:00:30.412
17;28.0957;28.0449;27.638;-256.277;-256.668;-256.856;-256.911;-255.921;0;None;1000;1000;None;2025-00-22 17:00:30.912
18;28.1036;28.0449;27.638;-256.277;-256.661;-256.856;-256.911;-255.921;0;None;1000;1000;None;2025-00-22 17:00:31.412
19;28.1036;28.0449;27.638;-256.277;-256.668;-256.856;-256.911;-255.921;0;None;1000;1000;None;2025-00-22 17:00:31.912
20;28.0879;28.0449;27.6458;-256.277;-256.661;-256.864;-256.915;-255.921;0;None;1000;1000;None;2025-00-22 17:00:32.413
21;28.0957;28.0449;27.6458;-256.269;-256.668;-256.856;-256.911;-255.921;0;None;1000;1000;None;2025-00-22 17:00:32.912
22;28.0879;28.0449;27.6458;-256.277;-256.668;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:33.412
23;28.0879;28.041;27.6458;-256.277;-256.668;-256.856;-256.911;-255.921;0;None;1000;1000;None;2025-00-22 17:00:33.912
24;28.0957;28.041;27.638;-256.269;-256.668;-256.864;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:34.414
25;28.0957;28.041;27.6458;-256.277;-256.661;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:34.914
26;28.0957;28.041;27.6458;-256.269;-256.661;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:35.412
27;28.0957;28.0488;27.6301;-256.269;-256.668;-256.864;-256.907;-255.929;0;None;1000;1000;None;2025-00-22 17:00:35.913
28;28.0957;28.0449;27.638;-256.269;-256.661;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:36.412
29;28.0957;28.0449;27.638;-256.269;-256.668;-256.856;-256.907;-255.929;0;None;1000;1000;None;2025-00-22 17:00:36.909
30;28.0957;28.041;27.638;-256.262;-256.676;-256.864;-256.915;-255.925;0;None;1000;1000;None;2025-00-22 17:00:37.404
31;28.1036;28.0449;27.638;-256.269;-256.661;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:37.913
32;28.1036;28.0449;27.638;-256.269;-256.668;-256.864;-256.915;-255.929;0;None;1000;1000;None;2025-00-22 17:00:38.406
33;28.1036;28.0449;27.638;-256.269;-256.668;-256.856;-256.907;-255.925;0;None;1000;1000;None;2025-00-22 17:00:38.914
34;28.1036;28.0449;27.638;-256.269;-256.668;-256.864;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:39.413
35;28.0957;28.0449;27.6458;-256.277;-256.668;-256.856;-256.915;-255.929;0;None;1000;1000;None;2025-00-22 17:00:39.909
36;28.0957;28.0449;27.6536;-256.269;-256.668;-256.864;-256.911;-255.925;0;None;1000;1000;None;2025-00-22 17:00:40.412
37;28.0957;28.0449;27.638;-256.269;-256.668;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-00-22 17:00:40.913
38;28.1036;28.0449;27.6458;-256.269;-256.668;-256.864;-256.915;-255.925;0;None;1000;1000;None;2025-00-22 17:00:41.413
39;28.0957;28.0449;27.6458;-256.269;-256.668;-256.856;-256.915;-255.929;0;None;1000;1000;None;2025-00-22 17:00:41.912
40;28.1036;28.041;27.638;-256.269;-256.668;-256.864;-256.915;-255.925;0;None;1000;1000;None;2025-00-22 17:00:42.412
41;28.0957;28.0449;27.6458;-256.269;-256.668;-256.864;-256.915;-255.929;0;None;1000;1000;None;2025-00-22 17:00:42.912
42;28.1036;28.041;27.638;-256.269;-256.668;-256.864;-256.915;-255.929;0;None;1000;1000;None;2025-00-22 17:00:43.412
43;28.0957;28.037;27.638;-256.277;-256.661;-256.864;-256.915;-255.929;6.363;None;200;100;35;2025-00-22 17:00:43.912
44;28.1036;28.041;27.6301;-256.269;-256.661;-256.864;-256.915;-255.929;6.363;400;200;100;35;2025-00-22 17:00:59.636
45;28.0957;28.041;27.638;-256.277;-256.668;-256.856;-256.915;-255.929;6.363;400;200;100;35;2025-00-22 17:00:59.652
46;28.0957;28.041;27.638;-256.277;-256.668;-256.848;-256.915;-255.925;6.363;400;200;100;35;2025-00-22 17:00:59.678
47;28.1036;28.0449;27.638;-256.269;-256.661;-256.856;-256.915;-255.929;6.363;400;200;100;35;2025-00-22 17:00:59.684
48;28.0957;28.041;27.6301;-256.269;-256.668;-256.856;-256.911;-255.929;6.363;400;200;100;35;2025-00-22 17:00:59.691
49;28.0879;28.0449;27.6458;-256.277;-256.668;-256.856;-256.915;-255.929;6.363;400;200;100;35;2025-00-22 17:00:59.696
50;28.0957;28.041;27.638;-256.277;-256.668;-256.856;-256.911;-255.925;6.363;400;200;100;35;2025-00-22 17:00:59.699
51;28.0957;28.041;27.638;-256.269;-256.668;-256.856;-256.915;-255.925;6.363;400;200;100;35;2025-00-22 17:00:59.702
52;28.0957;28.041;27.6301;-256.277;-256.668;-256.856;-256.915;-255.925;6.363;400;200;100;35;2025-00-22 17:00:59.705
53;28.1036;28.041;27.638;-256.277;-256.668;-256.864;-256.911;-255.929;6.363;400;200;100;35;2025-00-22 17:00:59.708
54;28.0879;28.041;27.6458;-256.277;-256.668;-256.864;-256.915;-255.929;6.363;400;200;100;35;2025-01-22 17:01:13.895
