Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
4;28.1036;28.0449;27.6458;-256.269;-256.653;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:21.007
5;28.1036;28.041;27.6536;-256.277;-256.668;-256.856;-256.907;-255.925;0;None;1000;1000;None;2025-02-22 17:02:21.012
6;28.1036;28.0449;27.6458;-256.269;-256.661;-256.856;-256.907;-255.929;0;None;1000;1000;None;2025-02-22 17:02:21.294
7;28.1036;28.0449;27.638;-256.269;-256.661;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:21.794
8;28.1036;28.041;27.638;-256.269;-256.668;-256.856;-256.911;-255.925;0;None;1000;1000;None;2025-02-22 17:02:22.294
9;28.0879;28.0449;27.638;-256.262;-256.668;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:22.795
10;28.0879;28.0449;27.638;-256.269;-256.668;-256.856;-256.907;-255.929;0;None;1000;1000;None;2025-02-22 17:02:23.294
11;28.0801;28.0488;27.638;-256.277;-256.668;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:23.793
12;28.0879;28.0449;27.638;-256.269;-256.668;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:24.294
13;28.0879;28.0488;27.638;-256.269;-256.661;-256.864;-256.915;-255.933;0;None;1000;1000;None;2025-02-22 17:02:24.795
14;28.0801;28.0449;27.6301;-256.269;-256.668;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:25.292
15;28.0879;28.0566;27.638;-256.269;-256.668;-256.864;-256.915;-255.929;0;None;1000;1000;None;2025-02-22 17:02:25.793
16;28.0801;28.0488;27.6301;-256.277;-256.661;-256.864;-256.915;-255.933;0;None;1000;1000;None;2025-02-22 17:02:26.294
17;28.0879;28.0488;27.6458;-256.277;-256.661;-256.856;-256.911;-255.933;0;None;1000;1000;None;2025-02-22 17:02:26.795
18;28.0879;28.0566;27.638;-256.269;-256.668;-256.864;-256.915;-255.929;0;None;1000;1000;None;2025-02-22 17:02:27.293
19;28.0879;28.0488;27.6301;-256.277;-256.661;-256.864;-256.907;-255.929;0;None;1000;1000;None;2025-02-22 17:02:27.793
20;28.0879;28.0488;27.6458;-256.269;-256.668;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:28.294
21;28.0879;28.0449;27.638;-256.277;-256.676;-256.856;-256.911;-255.933;0;None;1000;1000;None;2025-02-22 17:02:28.793
22;28.0957;28.0488;27.638;-256.269;-256.661;-256.856;-256.907;-255.929;0;None;1000;1000;None;2025-02-22 17:02:29.294
23;28.0957;28.0449;27.6301;-256.277;-256.668;-256.856;-256.911;-255.933;0;None;1000;1000;None;2025-02-22 17:02:29.789
24;28.0801;28.0488;27.638;-256.269;-256.661;-256.856;-256.911;-255.933;0;None;1000;1000;None;2025-02-22 17:02:30.294
25;28.0957;28.0488;27.638;-256.277;-256.668;-256.864;-256.911;-255.933;0;None;1000;1000;None;2025-02-22 17:02:30.793
26;28.0879;28.0449;27.638;-256.269;-256.668;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-02-22 17:02:31.291
