Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
2;28.0644;28.0136;27.6614;-222.152;-331.417;-343.111;-341.23;-217.035;0;None;1000;1000;None;2025-55-22 16:55:33.113
3;28.0723;27.9979;27.638;-211.992;-344.254;-343.111;-343.385;-202.828;0;None;1000;1000;None;2025-55-22 16:55:33.118
4;28.0801;28.0057;27.6223;-202.332;-345.029;-343.111;-343.385;-188.102;0;None;1000;1000;None;2025-55-22 16:55:33.120
5;28.0801;28.0057;27.6301;-192.93;-345.029;-343.111;-343.385;-172.835;0;None;1000;1000;None;2025-55-22 16:55:33.407
6;28.0801;28.0057;27.6223;-183.833;-345.029;-343.111;-343.385;-156.978;0;None;1000;1000;None;2025-55-22 16:55:33.903
7;28.0644;28.0057;27.6223;-174.905;-345.029;-343.111;-343.385;-140.361;0;None;1000;1000;None;2025-55-22 16:55:34.400
8;28.0723;28.0136;27.638;-166.121;-345.029;-343.111;-343.385;-122.822;0;None;1000;1000;None;2025-55-22 16:55:34.908
9;28.0566;28.0136;27.6301;-136.058;-345.029;-343.111;-331.757;-99.5343;0;None;1000;1000;None;2025-55-22 16:55:35.407
10;28.0644;28.0214;27.638;-255.808;-285.954;-341.668;-256.798;-198.615;0;None;1000;1000;None;2025-55-22 16:55:35.907
11;28.0644;28.0136;27.6301;-256.355;-256.598;-256.77;-256.868;-255.964;0;None;1000;1000;None;2025-55-22 16:55:36.407
12;28.0644;28.0136;27.6301;-256.332;-256.606;-256.817;-256.903;-255.949;0;None;1000;1000;None;2025-55-22 16:55:36.907
13;28.0644;28.0136;27.6301;-256.316;-256.622;-256.825;-256.907;-255.949;0;None;1000;1000;None;2025-55-22 16:55:37.408
14;28.0644;28.0136;27.6301;-256.309;-256.622;-256.841;-256.907;-255.937;0;None;1000;1000;None;2025-55-22 16:55:37.903
15;28.0566;28.0057;27.6301;-256.301;-256.629;-256.841;-256.911;-255.933;0;None;1000;1000;None;2025-55-22 16:55:38.404
16;28.0644;28.0136;27.6301;-256.301;-256.637;-256.841;-256.915;-255.933;0;None;1000;1000;None;2025-55-22 16:55:38.908
17;28.0723;28.0057;27.6301;-256.301;-256.629;-256.848;-256.911;-255.937;0;None;1000;1000;None;2025-55-22 16:55:39.402
18;28.0723;28.0136;27.6301;-256.293;-256.637;-256.848;-256.919;-255.933;0;None;1000;1000;None;2025-55-22 16:55:39.905
