Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
5;28.1114;28.0488;27.638;-256.269;-256.661;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:14.839
6;28.1192;28.0566;27.638;-256.277;-256.668;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:14.841
7;28.1114;28.0566;27.638;-256.269;-256.661;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:15.185
8;28.1192;28.0566;27.638;-256.277;-256.668;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:15.684
9;28.1114;28.0566;27.638;-256.269;-256.668;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:16.185
10;28.1192;28.0566;27.638;-256.277;-256.668;-256.864;-256.911;-255.933;0;None;1000;1000;None;2025-03-22 17:03:16.686
11;28.1114;28.0566;27.6301;-256.277;-256.668;-256.864;-256.915;-255.933;0;None;1000;1000;None;2025-03-22 17:03:17.185
12;28.1114;28.0488;27.6458;-256.277;-256.668;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:17.686
13;28.1114;28.0566;27.638;-256.277;-256.668;-256.856;-256.911;-255.933;0;None;1000;1000;None;2025-03-22 17:03:18.178
14;28.1114;28.0488;27.638;-256.277;-256.668;-256.864;-256.911;-255.925;0;None;1000;1000;None;2025-03-22 17:03:18.684
15;28.1036;28.0488;27.638;-256.277;-256.668;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:19.185
16;28.1114;28.0488;27.638;-256.277;-256.676;-256.864;-256.915;-255.929;0;None;1000;1000;None;2025-03-22 17:03:19.685
17;28.1114;28.0488;27.638;-256.277;-256.668;-256.856;-256.907;-255.933;0;None;1000;1000;None;2025-03-22 17:03:20.186
18;28.1036;28.0488;27.638;-256.277;-256.676;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:20.684
19;28.1036;28.0488;27.6458;-256.277;-256.668;-256.864;-256.911;-255.933;0;None;1000;1000;None;2025-03-22 17:03:21.185
20;28.0879;28.0449;27.6458;-256.269;-256.676;-256.856;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:21.685
21;28.0957;28.0449;27.638;-256.277;-256.668;-256.872;-256.907;-255.933;0;None;1000;1000;None;2025-03-22 17:03:22.186
22;28.1036;28.0449;27.638;-256.269;-256.661;-256.864;-256.911;-255.929;0;None;1000;1000;None;2025-03-22 17:03:25.301
