Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
51;28.0723;27.9823;27.6223;-256.285;-256.676;-256.841;-256.927;-255.937;0;None;1000;1000;None;16:49:24.300
52;28.0723;27.9901;27.6223;-256.293;-256.676;-256.848;-256.927;-255.941;0;None;1000;1000;None;16:49:24.794
53;28.0801;27.9823;27.6145;-256.285;-256.684;-256.841;-256.919;-255.937;0;None;1000;1000;None;16:49:25.297
54;28.0723;27.9901;27.6145;-256.285;-256.676;-256.848;-256.919;-255.937;0;None;1000;1000;None;16:49:25.803
55;28.0644;27.9823;27.6145;-256.293;-256.676;-256.841;-256.919;-255.941;0;None;1000;1000;None;16:49:26.296
56;28.0644;27.9901;27.6145;-256.285;-256.676;-256.841;-256.919;-255.941;0;None;1000;1000;None;16:49:26.803
57;28.0801;27.9979;27.6223;-256.285;-256.668;-256.848;-256.919;-255.937;0;None;1000;1000;None;16:49:27.300
58;28.0723;27.9901;27.6223;-256.285;-256.676;-256.841;-256.915;-255.933;0;None;1000;1000;None;16:49:27.797
59;28.0801;27.9979;27.6301;-256.285;-256.668;-256.848;-256.919;-255.937;0;None;1000;1000;None;16:49:28.300
60;28.0723;27.9979;27.6223;-256.293;-256.676;-256.841;-256.919;-255.933;0;None;1000;1000;None;16:49:28.802
61;28.0644;27.9901;27.6145;-256.285;-256.668;-256.848;-256.927;-255.933;0;None;1000;1000;None;16:49:29.303
62;28.0723;27.9979;27.6223;-256.293;-256.676;-256.841;-256.927;-255.937;0;None;1000;1000;None;16:49:29.802
63;28.0723;27.9901;27.6301;-256.285;-256.676;-256.841;-256.919;-255.933;0;None;1000;1000;None;16:49:30.304
64;28.0644;27.9901;27.6223;-256.293;-256.676;-256.841;-256.931;-255.933;0;None;1000;1000;None;16:49:30.802
65;28.0723;27.9979;27.6223;-256.285;-256.684;-256.841;-256.919;-255.937;6.363;None;200;100;30;16:49:31.302
66;28.0723;27.9901;27.6223;-256.285;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:49:31.802
67;28.0723;27.9901;27.6223;-256.293;-256.676;-256.841;-256.927;-255.933;6.363;400;200;100;30;16:49:32.295
68;28.0801;27.9979;27.6301;-256.285;-256.684;-256.833;-256.927;-255.933;6.363;400;200;100;30;16:49:32.801
69;28.0723;27.9979;27.6223;-256.293;-256.684;-256.833;-256.919;-255.933;6.363;400;200;100;30;16:49:33.302
70;28.0801;27.9901;27.6301;-256.293;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:33.797
71;28.0801;27.9979;27.6301;-256.285;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:49:34.301
72;28.0723;27.9979;27.6301;-256.285;-256.676;-256.841;-256.915;-255.929;6.363;400;200;100;30;16:49:34.797
73;28.0723;27.9901;27.638;-256.285;-256.676;-256.841;-256.927;-255.933;6.363;400;200;100;30;16:49:35.302
74;28.0723;27.9979;27.6223;-256.293;-256.684;-256.841;-256.919;-255.929;6.363;400;200;100;30;16:49:35.804
75;28.0723;27.9901;27.638;-256.285;-256.676;-256.841;-256.927;-255.933;6.363;400;200;100;30;16:49:36.299
76;28.0723;27.9979;27.638;-256.285;-256.676;-256.841;-256.919;-255.929;6.363;400;200;100;30;16:49:36.796
77;28.0723;27.9979;27.6223;-256.285;-256.676;-256.841;-256.927;-255.933;6.363;400;200;100;30;16:49:37.302
78;28.0723;27.9979;27.6301;-256.285;-256.676;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:49:37.803
79;28.0801;27.9979;27.6223;-256.285;-256.676;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:38.303
80;28.0723;27.9979;27.638;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:38.803
81;28.0723;27.9979;27.6301;-256.285;-256.676;-256.848;-256.927;-255.933;6.363;400;200;100;30;16:49:39.301
82;28.0723;27.9979;27.638;-256.285;-256.676;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:49:39.795
83;28.0723;27.9979;27.6223;-256.293;-256.676;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:40.301
84;28.0723;27.9979;27.6223;-256.285;-256.684;-256.841;-256.927;-255.937;6.363;400;200;100;30;16:49:40.802
85;28.0723;27.9979;27.6301;-256.285;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:41.296
86;28.0723;27.9901;27.6301;-256.293;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:41.799
87;28.0723;27.9901;27.638;-256.285;-256.668;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:49:42.300
88;28.0723;27.9979;27.6301;-256.285;-256.676;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:42.796
89;28.0723;27.9979;27.6301;-256.293;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:49:43.300
90;28.0644;27.9979;27.6223;-256.285;-256.676;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:43.805
91;28.0723;27.9979;27.638;-256.285;-256.684;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:49:44.301
92;28.0644;27.9901;27.6223;-256.293;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:44.802
93;28.0723;27.9901;27.6301;-256.285;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:49:45.294
94;28.0723;27.9979;27.638;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:45.798
