Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
9;46.8132;45.9681;22.0587;-256.277;-256.684;-256.895;-256.958;-255.964;0;None;1000;None;13:05:15.584
10;46.8132;45.9603;22.0548;-256.269;-256.684;-256.895;-256.95;-255.964;0;None;1000;None;13:05:16.083
11;46.7897;45.9524;22.0587;-256.262;-256.676;-256.895;-256.958;-255.964;0;None;1000;None;13:05:16.583
12;46.7819;45.9368;22.0626;-256.269;-256.684;-256.903;-256.95;-255.964;0;None;1000;None;13:05:17.082
13;46.7741;45.929;22.0705;-256.262;-256.676;-256.895;-256.958;-255.956;0;None;1000;None;13:05:17.583
14;46.7662;45.9133;22.0626;-256.269;-256.684;-256.888;-256.942;-255.964;0;None;1000;None;13:05:18.083
15;46.7428;45.9055;22.0626;-256.262;-256.684;-256.895;-256.95;-255.964;0;None;1000;None;13:05:18.582
16;46.7349;45.8898;22.0783;-256.262;-256.692;-256.895;-256.958;-255.964;0;None;1000;None;13:05:19.082
17;46.7193;45.882;22.0626;-256.269;-256.684;-256.903;-256.966;-255.956;0;None;1000;None;13:05:19.582
18;46.6958;45.8585;22.0626;-256.262;-256.684;-256.895;-256.966;-255.964;0;None;1000;None;13:05:20.082
19;46.688;45.8507;22.0626;-256.269;-256.684;-256.903;-256.958;-255.964;0;None;1000;None;13:05:20.583
20;46.6723;45.8429;22.0666;-256.262;-256.684;-256.895;-256.966;-255.964;0;None;1000;None;13:05:21.083
21;46.6645;45.8194;22.0626;-256.269;-256.684;-256.903;-256.958;-255.964;0;None;1000;None;13:05:21.583
22;46.641;45.8077;22.0626;-256.269;-256.684;-256.888;-256.95;-255.964;0;None;1000;None;13:05:22.084
23;46.6254;45.8038;22.0626;-256.269;-256.692;-256.895;-256.95;-255.964;0;None;1000;None;13:05:22.583
24;46.6176;45.7959;22.0626;-256.269;-256.692;-256.895;-256.958;-255.956;0;None;1000;None;13:05:23.083
25;46.6136;45.7842;22.0626;-256.269;-256.684;-256.895;-256.95;-255.964;0;None;1000;None;13:05:23.584
26;46.5823;45.7685;22.0626;-256.277;-256.692;-256.895;-256.95;-255.964;0;None;1000;None;13:05:24.084
27;46.5823;45.7607;22.0626;-256.269;-256.684;-256.895;-256.95;-255.964;0;None;1000;None;13:05:24.583
28;46.551;45.7372;22.0587;-256.269;-256.692;-256.88;-256.958;-255.964;0;None;1000;None;13:05:25.082
29;46.5354;45.7138;22.0705;-256.277;-256.692;-256.895;-256.958;-255.964;0;None;1000;None;13:05:25.582
30;46.5197;45.7059;22.0626;-256.269;-256.684;-256.888;-256.958;-255.956;0;None;1000;None;13:05:26.083
31;46.5119;45.6746;22.0626;-256.277;-256.692;-256.895;-256.958;-255.964;0;None;1000;None;13:05:26.583
32;46.4806;45.6668;22.0626;-256.269;-256.684;-256.888;-256.958;-255.972;0;None;1000;None;13:05:27.083
33;46.4728;45.6512;22.0587;-256.269;-256.692;-256.895;-256.958;-255.956;0;None;1000;None;13:05:27.591
34;46.4493;45.6355;22.0548;-256.277;-256.684;-256.903;-256.966;-255.964;0;None;1000;None;13:05:28.083
35;46.4258;45.6199;22.0548;-256.277;-256.684;-256.888;-256.958;-255.956;0;None;1000;None;13:05:28.583
36;46.4141;45.612;22.0587;-256.277;-256.692;-256.895;-256.966;-255.964;0;None;1000;None;13:05:29.083
37;46.4063;45.5925;22.0548;-256.269;-256.692;-256.888;-256.95;-255.964;0;None;1000;None;13:05:29.583
38;46.3906;45.5886;22.0587;-256.277;-256.692;-256.895;-256.958;-255.964;0;None;1000;None;13:05:30.083
39;46.3672;45.5807;22.0587;-256.277;-256.684;-256.895;-256.95;-255.964;0;None;1000;None;13:05:30.582
40;46.3515;45.569;22.0587;-256.277;-256.684;-256.895;-256.958;-255.964;0;None;1000;None;13:05:31.082
41;46.3202;45.5534;22.0626;-256.269;-256.684;-256.895;-256.966;-255.964;0;None;1000;None;13:05:31.583
42;46.3124;45.5299;22.0705;-256.277;-256.692;-256.895;-256.966;-255.964;0;None;1000;None;13:05:32.082
43;46.2889;45.5064;22.0626;-256.269;-256.684;-256.888;-256.958;-255.964;0;None;1000;None;13:05:32.582
44;46.2733;45.5064;22.0626;-256.277;-256.684;-256.895;-256.966;-255.964;0;None;1000;None;13:05:33.082
45;46.2576;45.4829;22.0705;-256.277;-256.684;-256.895;-256.966;-255.964;0;None;1000;None;13:05:33.583
46;46.2341;45.4751;22.0705;-256.269;-256.684;-256.895;-256.966;-255.964;0;None;1000;None;13:05:34.082
47;46.2107;45.4595;22.0626;-256.269;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:05:34.583
48;46.195;45.436;22.0705;-256.269;-256.684;-256.895;-256.958;-255.964;0;None;1000;None;13:05:35.082
49;46.1794;45.436;22.0587;-256.262;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;13:05:35.583
50;46.1676;45.4282;22.0626;-256.262;-256.684;-256.888;-256.95;-255.964;0;None;1000;None;13:05:36.083
51;46.1441;45.4164;22.0626;-256.269;-256.684;-256.895;-256.958;-255.972;0;None;1000;None;13:05:36.583
52;46.1285;45.4164;22.0626;-256.269;-256.676;-256.888;-256.95;-255.964;0;None;1000;None;13:05:37.083
53;46.105;45.4047;22.0626;-256.277;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;13:05:37.583
54;46.0815;45.3929;22.0626;-256.269;-256.684;-256.888;-256.95;-255.964;0;None;1000;None;13:05:38.082
55;46.0581;45.3773;22.0626;-256.269;-256.676;-256.895;-256.95;-255.972;0;None;1000;None;13:05:38.581
56;46.0424;45.3616;22.0626;-256.262;-256.684;-256.895;-256.958;-255.964;0;None;1000;None;13:05:39.083
57;46.0307;45.346;22.0705;-256.269;-256.684;-256.895;-256.95;-255.964;0;None;1000;None;13:05:39.582
58;46.015;45.3303;22.0626;-256.269;-256.676;-256.888;-256.95;-255.964;0;None;1000;None;13:05:40.084
59;46.0072;45.3069;22.0626;-256.269;-256.684;-256.903;-256.958;-255.964;0;None;1000;None;13:05:40.582
60;45.9759;45.299;22.0705;-256.277;-256.684;-256.895;-256.95;-255.964;0;None;1000;None;13:05:41.083
61;45.9524;45.2834;22.0705;-256.262;-256.684;-256.903;-256.958;-255.956;0;None;1000;None;13:05:41.583
62;45.9368;45.2599;22.0705;-256.277;-256.684;-256.895;-256.958;-255.964;0;None;1000;None;13:05:42.082
63;45.9055;45.2521;22.0783;-256.269;-256.676;-256.895;-256.95;-255.964;0;None;1000;None;13:05:42.582
64;45.8977;45.2286;22.0783;-256.269;-256.684;-256.895;-256.958;-255.964;0;None;1000;None;13:05:43.083
65;45.8742;45.213;22.0705;-256.269;-256.684;-256.895;-256.95;-255.956;0;None;1000;None;13:05:43.583
66;45.8507;45.2012;22.0783;-256.269;-256.692;-256.903;-256.958;-255.964;0;None;1000;None;13:05:44.083
67;45.8351;45.1934;22.0705;-256.262;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;13:05:44.582
