Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
2;21.4053;21.4797;21.6597;-256.246;-256.692;-256.919;-256.981;-255.972;0;None;1000;None;09:48:21.645
3;21.4053;21.4719;21.6557;-256.246;-256.692;-256.911;-256.974;-255.972;0;None;1000;None;09:48:21.790
4;21.4053;21.464;21.6597;-256.25;-256.684;-256.919;-256.981;-255.964;0;None;1000;None;09:48:22.289
5;21.4053;21.4797;21.6597;-256.25;-256.692;-256.919;-256.981;-255.972;0;None;1000;None;09:48:22.786
6;21.3975;21.4719;21.6518;-256.25;-256.692;-256.919;-256.974;-255.964;0;None;1000;None;09:48:23.281
7;21.4053;21.464;21.6597;-256.246;-256.692;-256.919;-256.974;-255.972;0;None;1000;None;09:48:23.777
8;21.3975;21.4719;21.6557;-256.25;-256.692;-256.911;-256.981;-255.964;0;None;1000;None;09:48:24.288
9;21.4053;21.4719;21.6557;-256.25;-256.692;-256.919;-256.974;-255.972;0;None;1000;None;09:48:24.784
10;21.4053;21.464;21.6518;-256.246;-256.7;-256.919;-256.989;-255.972;0;None;1000;None;09:48:25.283
11;21.3975;21.4719;21.6557;-256.25;-256.692;-256.919;-256.974;-255.972;0;None;1000;None;09:48:25.775
12;21.4053;21.4719;21.6518;-256.242;-256.7;-256.919;-256.974;-255.972;0;None;1000;None;09:48:26.287
