Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
10;23.5416;23.5064;22.1644;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:35.983
11;23.5337;23.5142;22.1565;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:35.987
12;23.5337;23.5064;22.1565;-256.269;-256.692;-256.888;-256.942;-255.98;0;None;1000;None;13:59:35.990
13;23.5337;23.5064;22.1565;-256.277;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;13:59:35.991
14;23.5416;23.5064;22.1565;-256.269;-256.692;-256.888;-256.958;-255.98;0;None;1000;None;13:59:35.992
15;23.5337;23.5064;22.1565;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:35.994
16;23.5337;23.4985;22.1565;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:36.068
17;23.5416;23.5064;22.1644;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:36.569
18;23.5337;23.5064;22.1565;-256.277;-256.692;-256.888;-256.942;-255.972;0;None;1000;None;13:59:37.068
19;23.5416;23.5064;22.1487;-256.277;-256.692;-256.888;-256.942;-255.972;0;None;1000;None;13:59:37.568
20;23.5337;23.5064;22.1487;-256.285;-256.692;-256.888;-256.958;-255.972;0;None;1000;None;13:59:38.068
21;23.5337;23.5064;22.1565;-256.277;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;13:59:38.569
22;23.5337;23.4907;22.1565;-256.277;-256.692;-256.895;-256.95;-255.972;0;None;1000;None;13:59:39.068
23;23.5337;23.5064;22.1487;-256.277;-256.692;-256.888;-256.958;-255.98;0;None;1000;None;13:59:39.567
24;23.5337;23.4985;22.1409;-256.277;-256.692;-256.88;-256.942;-255.972;0;None;1000;None;13:59:40.069
25;23.5337;23.4907;22.1487;-256.285;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:40.569
26;23.5337;23.4985;22.1487;-256.277;-256.684;-256.88;-256.95;-255.98;0;None;1000;None;13:59:41.069
27;23.5337;23.4907;22.1487;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:41.568
28;23.5337;23.4985;22.1409;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:42.071
29;23.5337;23.4907;22.1487;-256.285;-256.684;-256.888;-256.942;-255.972;0;None;1000;None;13:59:42.569
30;23.5337;23.4985;22.1409;-256.277;-256.684;-256.888;-256.942;-255.972;0;None;1000;None;13:59:43.069
31;23.5259;23.5064;22.1565;-256.269;-256.692;-256.88;-256.942;-255.972;0;None;1000;None;13:59:43.569
32;23.5337;23.4985;22.1487;-256.285;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:44.071
33;23.5337;23.4985;22.1565;-256.277;-256.684;-256.888;-256.942;-255.972;0;None;1000;None;13:59:44.569
34;23.5337;23.5142;22.1565;-256.269;-256.692;-256.888;-256.942;-255.972;0;None;1000;None;13:59:45.069
35;23.5337;23.5064;22.1487;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:45.569
36;23.5259;23.4985;22.1487;-256.285;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;13:59:46.069
37;23.5259;23.5064;22.1565;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:46.569
38;23.5259;23.5064;22.1565;-256.277;-256.684;-256.888;-256.942;-255.98;0;None;1000;None;13:59:47.069
39;23.5181;23.4985;22.1565;-256.269;-256.692;-256.888;-256.942;-255.972;0;None;1000;None;13:59:47.569
40;23.5181;23.4985;22.1487;-256.277;-256.692;-256.888;-256.95;-255.964;0;None;1000;None;13:59:48.069
41;23.5181;23.4985;22.1565;-256.285;-256.684;-256.888;-256.942;-255.972;0;None;1000;None;13:59:48.569
42;23.5181;23.4985;22.1565;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:49.068
43;23.5181;23.4907;22.1565;-256.277;-256.692;-256.888;-256.95;-255.964;0;None;1000;None;13:59:49.569
44;23.5259;23.4985;22.1331;-256.277;-256.676;-256.888;-256.95;-255.972;0;None;1000;None;13:59:50.069
45;23.5181;23.4985;22.1409;-256.285;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:50.569
46;23.5181;23.4985;22.1331;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:51.070
47;23.5181;23.4907;22.1409;-256.285;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:51.569
48;23.5181;23.4985;22.1409;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:52.069
49;23.5181;23.4985;22.1409;-256.277;-256.692;-256.888;-256.95;-255.98;0;None;1000;None;13:59:52.569
50;23.5181;23.4907;22.1331;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;13:59:53.068
51;23.5181;23.4985;22.1409;-256.285;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:53.569
52;23.5181;23.4985;22.1409;-256.277;-256.692;-256.88;-256.95;-255.972;0;None;1000;None;13:59:54.070
53;23.5181;23.4907;22.1409;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:54.568
54;23.5181;23.4907;22.1409;-256.277;-256.684;-256.888;-256.95;-255.956;0;None;1000;None;13:59:55.069
55;23.5103;23.4907;22.1331;-256.277;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;13:59:55.569
56;23.5181;23.4907;22.1331;-256.285;-256.684;-256.888;-256.95;-255.964;0;None;1000;None;13:59:56.069
57;23.5103;23.4907;22.1331;-256.285;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:56.568
58;23.5181;23.4907;22.1409;-256.277;-256.684;-256.88;-256.942;-255.964;0;None;1000;None;13:59:57.069
59;23.5181;23.4907;22.1331;-256.285;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:57.569
60;23.5103;23.4907;22.1331;-256.285;-256.676;-256.88;-256.95;-255.972;0;None;1000;None;13:59:58.069
61;23.5181;23.4907;22.1409;-256.277;-256.692;-256.888;-256.958;-255.964;0;None;1000;None;13:59:58.569
62;23.5103;23.4907;22.1487;-256.285;-256.692;-256.888;-256.958;-255.972;0;None;1000;None;13:59:59.066
63;23.5181;23.4907;22.1409;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;13:59:59.569
64;23.5103;23.4907;22.1487;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:00.069
65;23.5024;23.4907;22.1487;-256.285;-256.684;-256.888;-256.942;-255.972;0;None;1000;None;14:00:00.569
66;23.5024;23.4985;22.1409;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:01.069
67;23.5103;23.4907;22.1331;-256.285;-256.684;-256.888;-256.942;-255.972;0;None;1000;None;14:00:01.569
68;23.5103;23.4907;22.1409;-256.277;-256.684;-256.895;-256.942;-255.972;0;None;1000;None;14:00:02.069
69;23.5103;23.4985;22.1409;-256.277;-256.684;-256.88;-256.95;-255.972;0;None;1000;None;14:00:02.567
70;23.5024;23.4907;22.1409;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:03.067
71;23.5103;23.4907;22.1487;-256.277;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;14:00:03.568
72;23.5103;23.4907;22.1409;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:04.067
73;23.5103;23.4907;22.1331;-256.277;-256.692;-256.888;-256.95;-255.964;0;None;1000;None;14:00:04.569
74;23.5103;23.4829;22.1409;-256.277;-256.692;-256.888;-256.958;-255.98;0;None;1000;None;14:00:05.069
75;23.5103;23.4907;22.1409;-256.277;-256.684;-256.88;-256.958;-255.972;0;None;1000;None;14:00:05.567
76;23.5103;23.4907;22.1409;-256.277;-256.684;-256.888;-256.958;-255.98;0;None;1000;None;14:00:06.067
77;23.5103;23.4907;22.1409;-256.269;-256.692;-256.88;-256.958;-255.972;0;None;1000;None;14:00:06.569
78;23.5103;23.4829;22.1409;-256.269;-256.684;-256.888;-256.95;-255.98;0;None;1000;None;14:00:07.069
79;23.5103;23.4829;22.1409;-256.269;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:07.569
80;23.5103;23.4829;22.1331;-256.285;-256.692;-256.895;-256.95;-255.972;0;None;1000;None;14:00:08.069
81;23.5181;23.4829;22.1409;-256.277;-256.684;-256.888;-256.942;-255.98;0;None;1000;None;14:00:08.569
82;23.5103;23.4829;22.1331;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:09.068
83;23.5103;23.4829;22.1409;-256.285;-256.692;-256.888;-256.958;-255.98;0;None;1000;None;14:00:09.569
84;23.5103;23.4829;22.1331;-256.277;-256.692;-256.88;-256.95;-255.972;0;None;1000;None;14:00:10.068
85;23.5181;23.4751;22.1409;-256.269;-256.684;-256.895;-256.958;-255.972;0;None;1000;None;14:00:10.567
86;23.5103;23.4829;22.1409;-256.277;-256.692;-256.88;-256.95;-255.972;0;None;1000;None;14:00:11.081
87;23.5181;23.4829;22.1409;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:11.569
88;23.5024;23.4829;22.1331;-256.277;-256.684;-256.895;-256.95;-255.98;0;None;1000;None;14:00:12.069
89;23.5103;23.4907;22.1331;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:12.569
90;23.5181;23.4829;22.1252;-256.277;-256.684;-256.888;-256.942;-255.972;0;None;1000;None;14:00:13.069
91;23.5103;23.4829;22.1331;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:13.573
92;23.5181;23.4829;22.1331;-256.277;-256.7;-256.88;-256.95;-255.972;0;None;1000;None;14:00:14.069
93;23.5024;23.4829;22.1331;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:14.569
94;23.5024;23.4829;22.1252;-256.277;-256.692;-256.888;-256.95;-255.98;0;None;1000;None;14:00:15.069
95;23.5103;23.4829;22.1252;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:15.569
96;23.5024;23.4907;22.1331;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:16.068
97;23.5103;23.4829;22.1252;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:16.568
98;23.5103;23.4829;22.1331;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:17.069
99;23.5024;23.4829;22.1252;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:17.569
100;23.5103;23.4829;22.1252;-256.269;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:18.068
101;23.5024;23.4829;22.1331;-256.269;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:18.568
102;23.5103;23.4751;22.1331;-256.269;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:19.069
103;23.5024;23.4829;22.1252;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:19.568
104;23.5024;23.4907;22.1331;-256.269;-256.684;-256.888;-256.966;-255.972;0;None;1000;None;14:00:20.068
105;23.5024;23.4829;22.1331;-256.269;-256.684;-256.888;-256.958;-255.964;0;None;1000;None;14:00:20.569
106;23.5024;23.4829;22.1409;-256.269;-256.684;-256.888;-256.958;-255.972;0;None;1000;None;14:00:21.068
107;23.5024;23.4829;22.1252;-256.277;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:21.568
108;23.5024;23.4751;22.1331;-256.269;-256.692;-256.888;-256.958;-255.972;0;None;1000;None;14:00:22.068
109;23.5024;23.4829;22.1331;-256.277;-256.684;-256.895;-256.95;-255.972;0;None;1000;None;14:00:22.568
110;23.5024;23.4751;22.1252;-256.269;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:23.067
111;23.5103;23.4751;22.1331;-256.277;-256.676;-256.888;-256.95;-255.972;0;None;1000;None;14:00:23.569
112;23.5024;23.4751;22.1331;-256.269;-256.692;-256.888;-256.95;-255.972;0;None;1000;None;14:00:24.068
113;23.5024;23.4672;22.1331;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:24.568
114;23.5024;23.4751;22.1252;-256.269;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:25.067
115;23.5024;23.4672;22.1331;-256.269;-256.684;-256.888;-256.958;-255.972;0;None;1000;None;14:00:25.570
116;23.5024;23.4751;22.1252;-256.277;-256.684;-256.888;-256.95;-255.98;0;None;1000;None;14:00:26.068
117;23.5024;23.4829;22.1252;-256.269;-256.692;-256.888;-256.958;-255.972;0;None;1000;None;14:00:26.566
118;23.5024;23.4751;22.1331;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:27.068
119;23.4946;23.4829;22.1252;-256.277;-256.684;-256.888;-256.958;-255.98;0;None;1000;None;14:00:27.567
120;23.5024;23.4751;22.1252;-256.269;-256.684;-256.888;-256.958;-255.98;0;None;1000;None;14:00:28.067
121;23.5024;23.4751;22.1252;-256.277;-256.684;-256.888;-256.95;-255.972;0;None;1000;None;14:00:28.567
122;23.4868;23.4751;22.1174;-256.269;-256.684;-256.888;-256.95;-255.98;0;None;1000;None;14:00:29.067
123;23.4946;23.4672;22.1252;-256.277;-256.692;-256.895;-256.942;-255.98;0;None;1000;None;14:00:29.567
124;23.4946;23.4751;22.1252;-256.269;-256.684;-256.88;-256.95;-255.972;0;None;1000;None;14:00:30.067
125;23.4946;23.4751;22.1174;-256.277;-256.692;-256.895;-256.942;-255.972;0;None;1000;None;14:00:30.568
126;23.4946;23.4672;22.1174;-256.277;-256.684;-256.88;-256.942;-255.98;0;None;1000;None;14:00:31.067
127;23.4946;23.4751;22.1252;-256.277;-256.684;-256.895;-256.95;-255.98;0;None;1000;None;14:00:31.567
