Number;Measure;Time
1;24.9188;09:40:54
17;24.8992;09:40:54
33;24.9188;09:40:54
49;24.9188;09:40:54
65;24.9188;09:40:54
1;24.8992;09:40:56
17;24.9188;09:40:56
33;24.9188;09:40:56
49;24.8992;09:40:56
1;24.9188;09:40:57
17;24.9188;09:40:57
33;24.9188;09:40:57
49;24.9188;09:40:57
1;24.9188;09:40:58
17;24.8992;09:40:58
33;24.9188;09:40:58
49;24.9188;09:40:58
1;24.9188;09:40:59
17;24.9188;09:40:59
33;24.8992;09:40:59
49;24.9188;09:40:59
1;24.9188;09:41:00
17;24.9188;09:41:00
33;24.9188;09:41:00
49;24.9188;09:41:00
1;24.9188;09:41:01
17;24.8992;09:41:01
33;24.9188;09:41:01
49;24.9188;09:41:01
1;24.9188;09:41:02
17;24.8992;09:41:02
33;24.9188;09:41:02
49;24.8992;09:41:02
65;24.9188;09:41:02
