Number;Measure;Time
1;25.4861;10:40:34
3;23.4125;10:40:34
17;25.4861;10:40:34
19;23.4125;10:40:34
33;25.4861;10:40:34
35;23.4125;10:40:34
49;25.4861;10:40:34
51;23.4125;10:40:34
65;25.4861;10:40:34
67;23.4125;10:40:34
