Number;Measure;Time
1;25.5057;10:26:18
3;23.3342;10:26:18
5;-256.743;10:26:18
17;25.5057;10:26:18
19;23.3538;10:26:18
21;-256.743;10:26:18
33;25.5252;10:26:18
35;23.3342;10:26:18
37;-256.743;10:26:18
49;25.5057;10:26:18
51;23.3342;10:26:18
53;-256.743;10:26:18
65;25.5057;10:26:18
67;23.3342;10:26:18
69;-256.743;10:26:18
1;25.5252;10:26:19
3;23.3538;10:26:19
5;-256.743;10:26:19
17;25.5057;10:26:19
19;23.3342;10:26:19
21;-256.743;10:26:19
33;25.5057;10:26:19
35;23.3538;10:26:19
37;-256.743;10:26:19
49;25.5057;10:26:19
51;23.3342;10:26:19
53;-256.743;10:26:19
1;25.5252;10:26:20
3;23.3538;10:26:20
5;-256.743;10:26:20
17;25.5057;10:26:20
19;23.3342;10:26:20
21;-256.743;10:26:20
33;25.5057;10:26:20
35;23.3342;10:26:20
37;-256.743;10:26:20
49;25.5057;10:26:20
51;23.3538;10:26:20
53;-256.743;10:26:20
1;25.5057;10:26:21
3;23.3342;10:26:21
5;-256.743;10:26:21
17;25.5057;10:26:21
19;23.3342;10:26:21
21;-256.743;10:26:21
33;25.5252;10:26:21
35;23.3342;10:26:21
37;-256.743;10:26:21
49;25.5057;10:26:21
51;23.3342;10:26:21
53;-256.743;10:26:21
1;25.5057;10:26:23
3;23.3342;10:26:23
5;-256.743;10:26:23
17;25.5057;10:26:23
19;23.3342;10:26:23
21;-256.743;10:26:23
33;25.5057;10:26:23
35;23.3342;10:26:23
37;-256.743;10:26:23
49;25.5252;10:26:23
51;23.3342;10:26:23
53;-256.743;10:26:23
1;25.5057;10:26:24
3;23.3342;10:26:24
5;-256.743;10:26:24
17;25.5252;10:26:24
19;23.3342;10:26:24
21;-256.762;10:26:24
33;25.5057;10:26:24
35;23.3342;10:26:24
37;-256.743;10:26:24
49;25.5057;10:26:24
51;23.3342;10:26:24
53;-256.743;10:26:24
1;25.5057;10:26:25
3;23.3538;10:26:25
5;-256.743;10:26:25
17;25.4861;10:26:25
19;23.3342;10:26:25
21;-256.762;10:26:25
33;25.5057;10:26:25
35;23.3538;10:26:25
37;-256.743;10:26:25
49;25.5057;10:26:25
51;23.3342;10:26:25
53;-256.743;10:26:25
1;25.5057;10:26:26
3;23.3342;10:26:26
5;-256.743;10:26:26
17;25.4861;10:26:26
19;23.3342;10:26:26
21;-256.743;10:26:26
33;25.5057;10:26:26
35;23.3342;10:26:26
37;-256.762;10:26:26
49;25.4861;10:26:26
51;23.3342;10:26:26
53;-256.743;10:26:26
1;25.5057;10:26:27
3;23.3342;10:26:27
5;-256.743;10:26:27
17;25.5057;10:26:27
19;23.3538;10:26:27
21;-256.762;10:26:27
33;25.4861;10:26:27
35;23.3342;10:26:27
37;-256.743;10:26:27
49;25.5057;10:26:27
51;23.3342;10:26:27
53;-256.743;10:26:27
1;25.4861;10:26:28
3;23.3342;10:26:28
5;-256.762;10:26:28
17;25.4861;10:26:28
19;23.3342;10:26:28
21;-256.743;10:26:28
33;25.5057;10:26:28
35;23.3538;10:26:28
37;-256.743;10:26:28
49;25.5057;10:26:28
51;23.3342;10:26:28
53;-256.743;10:26:28
1;25.4861;10:26:29
3;23.3538;10:26:29
5;-256.743;10:26:29
17;25.5057;10:26:29
19;23.3342;10:26:29
21;-256.743;10:26:29
33;25.5057;10:26:29
35;23.3538;10:26:29
37;-256.743;10:26:29
49;25.4861;10:26:29
51;23.3342;10:26:29
53;-256.743;10:26:29
1;25.5057;10:26:30
3;23.3342;10:26:30
5;-256.743;10:26:30
17;25.4861;10:26:30
19;23.3342;10:26:30
21;-256.743;10:26:30
