Number;Measure;Time
1;25.6035;10:15:15
3;23.2951;10:15:15
17;25.6035;10:15:15
19;23.2951;10:15:15
33;25.6035;10:15:15
35;23.2951;10:15:15
49;25.623;10:15:15
51;23.2951;10:15:15
65;25.6035;10:15:15
67;23.2951;10:15:15
