Number;Measure;Time
1;25.5057;10:42:02
3;23.4125;10:42:02
17;25.5057;10:42:02
19;23.4125;10:42:02
33;25.5057;10:42:02
35;23.4125;10:42:02
49;25.5252;10:42:02
51;23.4125;10:42:02
65;25.5057;10:42:02
67;23.4125;10:42:02
1;25.5057;10:42:03
3;23.4125;10:42:03
17;25.5252;10:42:03
19;23.4125;10:42:03
33;25.5252;10:42:03
35;23.4125;10:42:03
49;25.5057;10:42:03
51;23.4125;10:42:03
1;25.5057;10:42:04
3;23.4125;10:42:04
17;25.5252;10:42:04
19;23.3929;10:42:04
33;25.5057;10:42:04
35;23.4125;10:42:04
49;25.5057;10:42:04
51;23.3929;10:42:04
