Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
2;24.5314;24.4806;-256.751;-256.25;-256.7;-256.911;-256.958;-255.949;13:04:32
3;24.5236;24.4806;-256.747;-256.246;-256.7;-256.911;-256.958;-255.956;13:04:33
4;24.5236;24.4884;-256.751;-256.25;-256.692;-256.911;-256.966;-255.949;13:04:33
5;24.5314;24.4884;-256.747;-256.246;-256.7;-256.911;-256.966;-255.949;13:04:34
6;24.5236;24.4884;-256.751;-256.246;-256.7;-256.911;-256.966;-255.949;13:04:34
7;24.5236;24.4806;-256.747;-256.246;-256.7;-256.911;-256.958;-255.956;13:04:35
8;24.5314;24.4884;-256.747;-256.246;-256.7;-256.911;-256.966;-255.949;13:04:35
9;24.5314;24.4884;-256.751;-256.246;-256.7;-256.911;-256.966;-255.956;13:04:36
10;24.5236;24.4962;-256.747;-256.246;-256.7;-256.903;-256.958;-255.956;13:04:36
11;24.5314;24.4884;-256.751;-256.246;-256.692;-256.911;-256.966;-255.956;13:04:37
12;24.5236;24.4884;-256.747;-256.246;-256.7;-256.911;-256.958;-255.956;13:04:37
13;24.5314;24.4806;-256.747;-256.246;-256.7;-256.911;-256.966;-255.956;13:04:38
14;24.5314;24.4884;-256.747;-256.25;-256.708;-256.911;-256.958;-255.949;13:04:38
15;24.5236;24.4806;-256.743;-256.242;-256.7;-256.911;-256.966;-255.956;13:04:39
16;24.5314;24.4806;-256.747;-256.246;-256.708;-256.903;-256.958;-255.949;13:04:39
17;24.5314;24.4806;-256.747;-256.246;-256.708;-256.911;-256.958;-255.956;13:04:40
18;24.5236;24.4806;-256.747;-256.242;-256.708;-256.903;-256.958;-255.956;13:04:40
19;24.5314;24.4806;-256.747;-256.242;-256.7;-256.911;-256.958;-255.956;13:04:41
20;24.5314;24.4884;-256.747;-256.242;-256.7;-256.903;-256.958;-255.956;13:04:41
21;24.5393;24.4806;-256.747;-256.246;-256.708;-256.903;-256.966;-255.956;13:04:42
22;24.5314;24.4884;-256.747;-256.246;-256.7;-256.911;-256.966;-255.956;13:04:42
23;24.5393;24.4728;-256.743;-256.242;-256.7;-256.911;-256.966;-255.949;13:04:43
24;24.5314;24.4884;-256.747;-256.25;-256.7;-256.911;-256.958;-255.949;13:04:43
25;24.5393;24.4884;-256.747;-256.246;-256.7;-256.911;-256.974;-255.956;13:04:44
26;24.5393;24.4728;-256.747;-256.242;-256.708;-256.911;-256.966;-255.956;13:04:44
27;24.5314;24.4884;-256.743;-256.246;-256.7;-256.911;-256.966;-255.956;13:04:45
28;24.5393;24.4884;-256.747;-256.242;-256.7;-256.911;-256.966;-255.956;13:04:45
29;24.5393;24.4884;-256.747;-256.246;-256.708;-256.911;-256.974;-255.964;13:04:46
30;24.5393;24.4884;-256.747;-256.242;-256.7;-256.919;-256.966;-255.956;13:04:46
31;24.5314;24.4884;-256.747;-256.246;-256.708;-256.911;-256.974;-255.949;13:04:47
32;24.5393;24.4806;-256.743;-256.246;-256.708;-256.911;-256.958;-255.949;13:04:47
33;24.5471;24.4884;-256.751;-256.242;-256.7;-256.911;-256.966;-255.964;13:04:48
34;24.5314;24.4806;-256.743;-256.242;-256.7;-256.911;-256.966;-255.949;13:04:48
35;24.5393;24.4806;-256.747;-256.246;-256.7;-256.911;-256.966;-255.956;13:04:49
36;24.5314;24.4884;-256.743;-256.242;-256.7;-256.903;-256.958;-255.956;13:04:49
37;24.5393;24.4884;-256.747;-256.246;-256.708;-256.911;-256.966;-255.949;13:04:50
38;24.5393;24.4806;-256.743;-256.242;-256.692;-256.903;-256.966;-255.956;13:04:50
39;24.5393;24.4884;-256.747;-256.246;-256.7;-256.903;-256.966;-255.956;13:04:51
40;24.5314;24.4806;-256.747;-256.242;-256.7;-256.903;-256.966;-255.949;13:04:51
41;24.5393;24.4884;-256.747;-256.242;-256.7;-256.911;-256.958;-255.956;13:04:52
42;24.5314;24.4884;-256.747;-256.246;-256.7;-256.903;-256.966;-255.956;13:04:52
