Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
7;29.6177;28.6943;-256.755;-256.246;-256.708;-256.927;-256.942;-255.964;14:21:45
8;29.6177;28.6943;-256.755;-256.25;-256.7;-256.927;-256.935;-255.964;14:21:46
9;29.6255;28.7022;-256.751;-256.25;-256.7;-256.919;-256.942;-255.964;14:21:46
10;29.6255;28.6943;-256.755;-256.254;-256.692;-256.927;-256.942;-255.956;14:21:47
11;29.6255;28.6943;-256.755;-256.25;-256.7;-256.927;-256.935;-255.964;14:21:47
12;29.6255;28.6943;-256.755;-256.25;-256.7;-256.919;-256.942;-255.964;14:21:48
13;29.6255;28.6943;-256.755;-256.246;-256.708;-256.927;-256.942;-255.956;14:21:48
14;29.6255;28.6943;-256.751;-256.25;-256.7;-256.919;-256.942;-255.964;14:21:49
15;29.6177;28.6787;-256.755;-256.246;-256.708;-256.919;-256.942;-255.972;14:21:49
16;29.6099;28.6787;-256.751;-256.25;-256.7;-256.927;-256.935;-255.972;14:21:50
17;29.6021;28.6709;-256.755;-256.246;-256.708;-256.919;-256.95;-255.964;14:21:50
18;29.6021;28.663;-256.751;-256.25;-256.7;-256.919;-256.942;-255.964;14:21:51
19;29.5786;28.6552;-256.751;-256.246;-256.692;-256.919;-256.942;-255.964;14:21:51
20;29.5708;28.6513;-256.747;-256.25;-256.7;-256.919;-256.95;-255.964;14:21:52
21;29.5551;28.6435;-256.747;-256.246;-256.692;-256.919;-256.95;-255.964;14:21:52
22;29.5395;28.6435;-256.743;-256.246;-256.7;-256.919;-256.942;-255.972;14:21:53
23;29.5316;28.6357;-256.743;-256.246;-256.692;-256.919;-256.95;-255.964;14:21:53
24;29.516;28.6278;-256.747;-256.246;-256.7;-256.919;-256.942;-255.964;14:21:54
25;29.5082;28.6122;-256.747;-256.246;-256.708;-256.927;-256.942;-255.972;14:21:54
26;29.4925;28.6122;-256.743;-256.25;-256.7;-256.919;-256.95;-255.964;14:21:55
27;29.469;28.5965;-256.743;-256.246;-256.7;-256.927;-256.942;-255.964;14:21:55
28;29.4534;28.5887;-256.743;-256.246;-256.7;-256.919;-256.942;-255.964;14:21:56
29;29.4456;28.5731;-256.743;-256.25;-256.7;-256.927;-256.935;-255.964;14:21:56
30;29.4299;28.5574;-256.743;-256.246;-256.7;-256.919;-256.942;-255.964;14:21:57
