Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
4;31.5974;31.2805;-256.747;-256.254;-256.692;-256.927;-256.958;-255.964;13:25:19
5;31.5974;31.2805;-256.747;-256.25;-256.692;-256.927;-256.95;-255.972;13:25:20
6;31.5974;31.2883;-256.739;-256.254;-256.7;-256.927;-256.958;-255.964;13:25:20
7;31.5896;31.2805;-256.747;-256.25;-256.692;-256.919;-256.958;-255.964;13:25:21
8;31.5896;31.2805;-256.743;-256.254;-256.684;-256.919;-256.966;-255.964;13:25:21
9;31.5896;31.2805;-256.747;-256.254;-256.7;-256.919;-256.958;-255.964;13:25:22
10;31.5896;31.2805;-256.743;-256.258;-256.692;-256.919;-256.95;-255.972;13:25:22
11;31.5818;31.2805;-256.743;-256.25;-256.7;-256.919;-256.958;-255.972;13:25:23
12;31.5818;31.2727;-256.747;-256.254;-256.7;-256.919;-256.95;-255.964;13:25:23
13;31.5818;31.2805;-256.743;-256.254;-256.692;-256.919;-256.95;-255.972;13:25:24
14;31.574;31.2727;-256.743;-256.262;-256.7;-256.919;-256.95;-255.964;13:25:24
15;31.574;31.2727;-256.743;-256.25;-256.692;-256.919;-256.958;-255.972;13:25:25
16;31.5661;31.2649;-256.743;-256.254;-256.7;-256.919;-256.95;-255.972;13:25:25
17;31.5661;31.2649;-256.747;-256.262;-256.692;-256.919;-256.966;-255.964;13:25:26
18;31.5583;31.2727;-256.743;-256.25;-256.692;-256.911;-256.95;-255.964;13:25:26
19;31.5661;31.2649;-256.747;-256.25;-256.692;-256.919;-256.958;-255.972;13:25:27
20;31.5583;31.2649;-256.743;-256.25;-256.692;-256.919;-256.95;-255.964;13:25:27
21;31.5583;31.2649;-256.747;-256.25;-256.7;-256.919;-256.958;-255.964;13:25:28
22;31.5505;31.2649;-256.743;-256.254;-256.692;-256.919;-256.958;-255.964;13:25:28
23;31.5505;31.2649;-256.743;-256.25;-256.692;-256.919;-256.95;-255.972;13:25:29
24;31.5505;31.2649;-256.743;-256.246;-256.692;-256.911;-256.95;-255.964;13:25:29
25;31.5505;31.257;-256.747;-256.25;-256.684;-256.927;-256.95;-255.964;13:25:30
26;31.5427;31.257;-256.743;-256.254;-256.692;-256.911;-256.95;-255.964;13:25:30
27;31.5505;31.257;-256.743;-256.25;-256.684;-256.919;-256.95;-255.972;13:25:31
28;31.5427;31.2531;-256.747;-256.246;-256.684;-256.911;-256.95;-255.964;13:25:31
29;31.5348;31.257;-256.743;-256.25;-256.684;-256.927;-256.95;-255.972;13:25:32
30;31.5427;31.2531;-256.743;-256.25;-256.684;-256.919;-256.95;-255.964;13:25:32
31;31.5348;31.2492;-256.743;-256.25;-256.692;-256.919;-256.95;-255.964;13:25:33
32;31.5348;31.2492;-256.743;-256.25;-256.692;-256.919;-256.958;-255.964;13:25:33
33;31.5348;31.2492;-256.743;-256.25;-256.692;-256.919;-256.95;-255.972;13:25:34
34;31.5348;31.2531;-256.747;-256.25;-256.684;-256.911;-256.95;-255.972;13:25:34
35;31.527;31.2453;-256.743;-256.254;-256.692;-256.911;-256.95;-255.964;13:25:35
36;31.5348;31.2492;-256.747;-256.25;-256.692;-256.919;-256.95;-255.964;13:25:35
37;31.527;31.2492;-256.743;-256.254;-256.692;-256.911;-256.942;-255.964;13:25:36
38;31.527;31.2453;-256.743;-256.25;-256.692;-256.919;-256.95;-255.972;13:25:36
39;31.527;31.2453;-256.743;-256.246;-256.692;-256.911;-256.942;-255.964;13:25:37
40;31.527;31.2453;-256.743;-256.25;-256.7;-256.919;-256.95;-255.964;13:25:37
41;31.5192;31.2453;-256.743;-256.25;-256.692;-256.911;-256.958;-255.964;13:25:38
42;31.5192;31.2414;-256.743;-256.25;-256.7;-256.911;-256.95;-255.964;13:25:38
43;31.5114;31.2414;-256.735;-256.25;-256.692;-256.911;-256.958;-255.964;13:25:39
44;31.5192;31.2414;-256.743;-256.25;-256.692;-256.911;-256.958;-255.964;13:25:39
45;31.5114;31.2375;-256.743;-256.254;-256.692;-256.919;-256.958;-255.964;13:25:40
46;31.5114;31.2375;-256.743;-256.25;-256.692;-256.919;-256.958;-255.964;13:25:40
47;31.5114;31.2375;-256.735;-256.25;-256.692;-256.919;-256.958;-255.964;13:25:41
48;31.5074;31.2297;-256.743;-256.25;-256.7;-256.919;-256.958;-255.964;13:25:41
49;31.5074;31.2375;-256.743;-256.25;-256.7;-256.919;-256.966;-255.964;13:25:42
50;31.5074;31.2297;-256.735;-256.25;-256.692;-256.911;-256.966;-255.972;13:25:42
51;31.5035;31.2297;-256.743;-256.25;-256.692;-256.919;-256.958;-255.956;13:25:43
52;31.5035;31.2218;-256.735;-256.254;-256.692;-256.919;-256.958;-255.964;13:25:43
53;31.5035;31.2218;-256.743;-256.25;-256.692;-256.919;-256.958;-255.964;13:25:44
54;31.5035;31.2218;-256.735;-256.25;-256.684;-256.919;-256.958;-255.964;13:25:44
55;31.5035;31.2218;-256.735;-256.254;-256.692;-256.919;-256.95;-255.964;13:25:45
