Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
4;33.4715;33.092;27.5675;-256.277;-256.692;-256.856;-256.935;-255.964;0;None;1000;1000;None;2025-24-23 11:24:33.589
5;33.4793;33.0842;27.5675;-256.277;-256.684;-256.864;-256.927;-255.956;0;None;1000;1000;None;2025-24-23 11:24:33.593
6;33.4872;33.092;27.5597;-256.269;-256.692;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:33.594
7;33.5028;33.0998;27.5675;-256.269;-256.684;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:33.725
8;33.5106;33.0998;27.5597;-256.277;-256.684;-256.856;-256.927;-255.956;0;None;1000;1000;None;2025-24-23 11:24:34.219
9;33.5185;33.1077;27.5675;-256.277;-256.684;-256.856;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:34.726
10;33.5263;33.1077;27.5675;-256.277;-256.684;-256.864;-256.935;-255.964;0;None;1000;1000;None;2025-24-23 11:24:35.224
11;33.5341;33.1155;27.5754;-256.277;-256.684;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:35.726
12;33.5341;33.1155;27.5597;-256.285;-256.684;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:36.216
13;33.5498;33.1233;27.5675;-256.269;-256.684;-256.864;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:36.725
14;33.5498;33.1311;27.5675;-256.277;-256.684;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:37.225
15;33.5654;33.139;27.5597;-256.277;-256.676;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-24-23 11:24:37.718
16;33.5654;33.1468;27.5675;-256.285;-256.676;-256.864;-256.935;-255.964;0;None;1000;1000;None;2025-24-23 11:24:38.222
17;33.5693;33.1546;27.5754;-256.277;-256.684;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-24-23 11:24:38.722
18;33.5732;33.1624;27.5597;-256.277;-256.684;-256.856;-256.942;-255.972;0;None;1000;1000;None;2025-24-23 11:24:39.224
19;33.5732;33.1624;27.5675;-256.277;-256.692;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-24-23 11:24:39.725
20;33.5772;33.1624;27.5597;-256.285;-256.684;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-24-23 11:24:40.226
21;33.5772;33.1703;27.5597;-256.277;-256.684;-256.856;-256.935;-255.972;0;None;1000;1000;None;2025-24-23 11:24:40.721
22;33.5811;33.1624;27.5597;-256.285;-256.684;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:41.225
23;33.5772;33.1781;27.5597;-256.269;-256.684;-256.856;-256.919;-255.964;0;None;1000;1000;None;2025-24-23 11:24:41.721
24;33.5811;33.1703;27.5597;-256.285;-256.684;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:42.225
25;33.5811;33.1703;27.5675;-256.285;-256.684;-256.856;-256.919;-255.972;0;None;1000;1000;None;2025-24-23 11:24:42.723
26;33.5772;33.1781;27.5675;-256.285;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:43.224
27;33.5811;33.1703;27.5597;-256.285;-256.676;-256.856;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:43.725
28;33.5772;33.1703;27.5597;-256.277;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:44.221
29;33.5772;33.1624;27.5675;-256.285;-256.684;-256.856;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:44.719
30;33.5772;33.1624;27.5675;-256.277;-256.676;-256.864;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:45.219
31;33.5732;33.1546;27.5597;-256.277;-256.676;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-24-23 11:24:45.719
32;33.5693;33.1624;27.5597;-256.285;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:46.226
33;33.5732;33.1546;27.5675;-256.277;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:46.721
34;33.5693;33.1703;27.5675;-256.285;-256.668;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:47.216
35;33.5693;33.1624;27.5597;-256.277;-256.676;-256.864;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:47.726
36;33.5693;33.1624;27.5597;-256.285;-256.676;-256.856;-256.935;-255.964;0;None;1000;1000;None;2025-24-23 11:24:48.224
37;33.5576;33.1546;27.5597;-256.285;-256.684;-256.864;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:48.725
38;33.5654;33.1546;27.5675;-256.285;-256.676;-256.856;-256.927;-255.956;0;None;1000;1000;None;2025-24-23 11:24:49.226
39;33.5498;33.1546;27.5675;-256.285;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:49.722
40;33.5576;33.1468;27.5675;-256.285;-256.684;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:50.219
41;33.5498;33.1468;27.5675;-256.285;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:50.724
42;33.5498;33.1468;27.5754;-256.285;-256.676;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:51.220
43;33.5498;33.1468;27.5675;-256.285;-256.676;-256.864;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:51.721
44;33.5498;33.139;27.5597;-256.285;-256.684;-256.864;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:52.221
45;33.5341;33.1468;27.5675;-256.285;-256.676;-256.856;-256.927;-255.964;0;None;1000;1000;None;2025-24-23 11:24:52.721
46;33.5419;33.139;27.5675;-256.285;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:53.221
47;33.5341;33.1468;27.5675;-256.277;-256.684;-256.856;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:53.717
48;33.5263;33.139;27.5597;-256.285;-256.676;-256.856;-256.935;-255.964;0;None;1000;1000;None;2025-24-23 11:24:54.225
49;33.5263;33.139;27.5675;-256.277;-256.684;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-24-23 11:24:54.718
50;33.5185;33.1311;27.5597;-256.277;-256.684;-256.856;-256.927;-255.964;6.363;None;200;100;35;2025-24-23 11:24:55.221
51;33.5185;33.139;27.5597;-256.285;-256.684;-256.856;-256.927;-255.964;6.363;400;200;100;35;2025-24-23 11:24:55.723
52;33.5106;33.1311;27.5597;-256.285;-256.676;-256.856;-256.927;-255.964;6.363;400;200;100;35;2025-24-23 11:24:56.221
53;33.5185;33.1311;27.5519;-256.277;-256.676;-256.856;-256.927;-255.972;6.363;400;200;100;35;2025-24-23 11:24:56.722
54;33.5106;33.1311;27.5597;-256.285;-256.676;-256.856;-256.927;-255.964;6.363;400;200;100;35;2025-24-23 11:24:57.220
55;33.5028;33.1311;27.5519;-256.285;-256.676;-256.864;-256.927;-255.972;6.363;400;200;100;35;2025-24-23 11:24:57.720
56;33.5028;33.1233;27.5597;-256.285;-256.676;-256.864;-256.919;-255.972;6.363;400;200;100;35;2025-24-23 11:24:58.221
57;33.5106;33.1311;27.5675;-256.277;-256.684;-256.856;-256.919;-255.964;6.363;400;200;100;35;2025-24-23 11:24:58.725
58;33.5028;33.1233;27.5519;-256.285;-256.676;-256.856;-256.927;-255.972;6.363;400;200;100;35;2025-24-23 11:24:59.224
59;33.5106;33.1233;27.5519;-256.277;-256.684;-256.864;-256.927;-255.972;6.363;400;200;100;35;2025-24-23 11:24:59.720
60;33.5028;33.1311;27.5441;-256.285;-256.684;-256.856;-256.919;-255.972;6.363;400;200;100;35;2025-25-23 11:25:00.220
61;33.5106;33.1311;27.5519;-256.285;-256.676;-256.856;-256.935;-255.964;6.363;400;200;100;35;2025-25-23 11:25:00.721
62;33.5185;33.139;27.5519;-256.293;-256.676;-256.864;-256.927;-255.964;6.363;400;200;100;35;2025-25-23 11:25:01.219
63;33.5185;33.1311;27.5519;-256.285;-256.676;-256.864;-256.927;-255.964;6.363;400;200;100;35;2025-25-23 11:25:01.718
64;33.5185;33.139;27.5519;-256.285;-256.684;-256.856;-256.927;-255.972;6.363;400;200;100;35;2025-25-23 11:25:02.218
65;33.5263;33.139;27.5519;-256.293;-256.676;-256.864;-256.919;-255.964;6.363;400;200;100;35;2025-25-23 11:25:02.719
66;33.5341;33.139;27.5519;-256.285;-256.668;-256.856;-256.927;-255.964;6.363;400;200;100;35;2025-25-23 11:25:03.220
67;33.5498;33.1468;27.5597;-256.285;-256.668;-256.864;-256.923;-255.956;6.363;400;200;100;35;2025-25-23 11:25:03.721
68;33.5498;33.1546;27.5441;-256.277;-256.684;-256.856;-256.919;-255.972;6.363;400;200;100;35;2025-25-23 11:25:04.222
69;33.5576;33.1624;27.5597;-256.293;-256.668;-256.864;-256.935;-255.964;6.363;400;200;100;35;2025-25-23 11:25:04.721
