Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
1;27.8649;27.8062;27.5167;-256.285;-256.676;-256.856;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:20.557
2;27.8649;27.8062;27.5167;-256.285;-256.676;-256.856;-256.935;-255.964;0;None;1000;1000;None;2025-05-23 11:05:20.650
3;27.8649;27.814;27.5206;-256.285;-256.692;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:21.144
4;27.8649;27.8062;27.5206;-256.285;-256.676;-256.856;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:21.649
5;27.8649;27.8062;27.5167;-256.285;-256.684;-256.856;-256.935;-255.98;0;None;1000;1000;None;2025-05-23 11:05:22.150
6;27.8727;27.8062;27.5206;-256.285;-256.684;-256.856;-256.927;-255.972;0;None;1000;1000;None;2025-05-23 11:05:22.648
7;27.8649;27.814;27.5206;-256.285;-256.676;-256.856;-256.935;-255.98;0;None;1000;1000;None;2025-05-23 11:05:23.149
8;27.8727;27.8062;27.5284;-256.293;-256.684;-256.864;-256.935;-255.98;0;None;1000;1000;None;2025-05-23 11:05:23.649
9;27.8727;27.8062;27.5167;-256.285;-256.684;-256.856;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:24.150
10;27.8727;27.8062;27.5206;-256.285;-256.676;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:24.645
11;27.8727;27.7984;27.5167;-256.285;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-05-23 11:05:25.141
12;27.8727;27.8062;27.5167;-256.285;-256.684;-256.856;-256.927;-255.972;0;None;1000;1000;None;2025-05-23 11:05:25.640
13;27.8649;27.8062;27.5167;-256.277;-256.684;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-05-23 11:05:26.148
14;27.8805;27.8062;27.5206;-256.277;-256.684;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:26.649
15;27.8727;27.8062;27.5167;-256.277;-256.676;-256.864;-256.927;-255.972;0;None;1000;1000;None;2025-05-23 11:05:27.150
16;27.8727;27.7984;27.5206;-256.285;-256.684;-256.856;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:27.647
17;27.8727;27.8062;27.5167;-256.285;-256.684;-256.864;-256.927;-255.964;0;None;1000;1000;None;2025-05-23 11:05:28.144
18;27.8727;27.8062;27.5245;-256.285;-256.676;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:28.645
19;27.8649;27.8062;27.5128;-256.285;-256.676;-256.856;-256.927;-255.98;0;None;1000;1000;None;2025-05-23 11:05:29.148
20;27.8649;27.814;27.5167;-256.285;-256.684;-256.856;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:29.643
21;27.8727;27.814;27.5128;-256.285;-256.676;-256.864;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:30.146
22;27.8727;27.8062;27.5167;-256.285;-256.684;-256.856;-256.935;-255.972;0;None;1000;1000;None;2025-05-23 11:05:30.645
23;27.8727;27.814;27.5167;-256.285;-256.684;-256.864;-256.935;-255.964;0;None;1000;1000;None;2025-05-23 11:05:31.143
24;27.8649;27.814;27.5128;-256.293;-256.676;-256.872;-256.935;-255.964;0;None;1000;1000;None;2025-05-23 11:05:31.641
