Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
4;23.8154;23.8741;22.6182;-225.157;-320.125;-343.111;-332.348;-214.636;0;None;1000;None;14:21:09
5;23.8076;23.8741;22.6182;-214.848;-337.747;-343.111;-343.37;-196.439;0;None;1000;None;14:21:09
6;23.8076;23.8741;22.6104;-205.117;-345.029;-343.111;-343.385;-177.898;0;None;1000;None;14:21:09
7;23.8076;23.8663;22.6104;-195.895;-345.029;-343.111;-343.385;-159.169;0;None;1000;None;14:21:10
8;23.8037;23.8741;22.6026;-187.006;-345.029;-343.111;-343.385;-140.279;0;None;1000;None;14:21:10
9;23.8037;23.8741;22.5947;-178.356;-345.029;-343.111;-343.385;-121.17;0;None;1000;None;14:21:11
10;23.8115;23.8741;22.6104;-169.862;-345.029;-343.111;-343.385;-101.796;0;None;1000;None;14:21:11
11;23.8115;23.882;22.6026;-161.461;-345.029;-343.111;-343.385;-82.0219;0;None;1000;None;14:21:12
12;23.8115;23.882;22.6026;-170.163;-333.565;-343.111;-291.357;-72.2328;0;None;1000;None;14:21:12
13;23.8076;23.8741;22.6026;-256.375;-256.586;-302.476;-256.884;-256.058;0;None;1000;None;14:21:13
14;23.8076;23.8741;22.5947;-256.316;-256.622;-256.833;-256.911;-256.011;0;None;1000;None;14:21:13
15;23.8076;23.882;22.5947;-256.301;-256.645;-256.864;-256.919;-255.988;0;None;1000;None;14:21:14
16;23.8115;23.882;22.5869;-256.293;-256.645;-256.872;-256.927;-255.98;0;None;1000;None;14:21:14
17;23.8076;23.882;22.5869;-256.285;-256.653;-256.872;-256.927;-255.988;0;None;1000;None;14:21:15
18;23.8115;23.882;22.5869;-256.277;-256.661;-256.88;-256.942;-255.988;0;None;1000;None;14:21:15
19;23.8076;23.882;22.5869;-256.277;-256.661;-256.88;-256.935;-255.972;0;None;1000;None;14:21:16
20;23.8076;23.882;22.5869;-256.277;-256.661;-256.888;-256.942;-255.972;0;None;1000;None;14:21:16
21;23.8076;23.8741;22.5791;-256.269;-256.661;-256.888;-256.95;-255.972;0;None;1000;None;14:21:17
22;23.8076;23.882;22.5713;-256.277;-256.653;-256.895;-256.942;-255.98;0;None;1000;None;14:21:17
23;23.8037;23.882;22.5634;-256.277;-256.661;-256.888;-256.95;-255.972;0;None;1000;None;14:21:18
24;23.8076;23.882;22.5634;-256.269;-256.668;-256.888;-256.942;-255.972;0;None;1000;None;14:21:18
25;23.8076;23.882;22.5556;-256.269;-256.668;-256.895;-256.95;-255.972;0;None;1000;None;14:21:19
26;23.8076;23.882;22.5556;-256.277;-256.661;-256.895;-256.95;-255.964;0;None;1000;None;14:21:19
27;23.8076;23.8741;22.5478;-256.262;-256.668;-256.888;-256.95;-255.972;0;None;1000;None;14:21:20
28;23.8076;23.882;22.5478;-256.269;-256.661;-256.895;-256.958;-255.964;0;None;1000;None;14:21:20
