Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
2;23.8702;23.968;-347.591;-256.277;-256.676;-256.903;-256.966;-255.98;0;None;1000;None;14:19:04
3;23.878;23.968;-347.591;-256.269;-256.668;-256.903;-256.966;-255.98;0;None;1000;None;14:19:04
4;23.878;23.968;-347.591;-256.285;-256.668;-256.903;-256.966;-255.988;0;None;1000;None;14:19:05
5;23.878;23.9837;-347.591;-256.277;-256.676;-256.903;-256.958;-255.98;0;None;1000;None;14:19:05
6;23.8859;23.9759;-347.591;-256.277;-256.668;-256.903;-256.958;-255.98;0;None;1000;None;14:19:06
7;23.8702;23.9759;-347.591;-256.277;-256.676;-256.911;-256.958;-255.98;0;None;1000;None;14:19:06
8;23.8702;23.968;-347.591;-256.269;-256.676;-256.903;-256.958;-255.98;0;None;1000;None;14:19:07
9;23.8702;23.9759;-347.591;-256.277;-256.676;-256.903;-256.95;-255.98;0;None;1000;None;14:19:07
10;23.8702;23.968;-347.591;-256.277;-256.676;-256.903;-256.958;-255.98;0;None;1000;None;14:19:08
