Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
5;28.3266;27.5206;22.2426;-256.269;-256.684;-256.911;-256.95;-255.941;0;None;1000;None;14:34:07
6;28.3344;27.5206;22.2348;-256.262;-256.684;-256.911;-256.942;-255.949;0;None;1000;None;14:34:08
7;28.3266;27.5128;22.227;-256.262;-256.692;-256.911;-256.935;-255.941;0;None;1000;None;14:34:08
8;28.3187;27.5206;22.2191;-256.269;-256.692;-256.903;-256.942;-255.949;0;None;1000;None;14:34:09
9;28.3344;27.5206;22.2191;-256.269;-256.684;-256.911;-256.942;-255.937;0;None;1000;None;14:34:09
10;28.3266;27.5206;22.2191;-256.262;-256.692;-256.903;-256.942;-255.949;0;None;1000;None;14:34:10
11;28.3344;27.5284;22.2113;-256.277;-256.684;-256.903;-256.942;-255.949;0;None;1000;None;14:34:10
12;28.3422;27.5362;22.2113;-256.269;-256.684;-256.911;-256.942;-255.941;0;None;1000;None;14:34:11
13;28.3422;27.5362;22.2035;-256.269;-256.692;-256.903;-256.95;-255.949;0;None;1000;None;14:34:11
14;28.35;27.5362;22.2035;-256.269;-256.692;-256.911;-256.95;-255.941;0;None;1000;None;14:34:12
15;28.35;27.5362;22.2035;-256.269;-256.692;-256.903;-256.95;-255.941;0;None;1000;None;14:34:12
16;28.3422;27.5362;22.2113;-256.277;-256.692;-256.895;-256.942;-255.941;0;None;1000;None;14:34:13
17;28.3422;27.5441;22.2035;-256.269;-256.692;-256.911;-256.95;-255.941;0;None;1000;None;14:34:13
18;28.3422;27.5362;22.2113;-256.269;-256.692;-256.903;-256.942;-255.941;0;None;1000;None;14:34:14
19;28.3422;27.5441;22.2035;-256.269;-256.692;-256.911;-256.942;-255.949;0;None;1000;None;14:34:14
20;28.3422;27.5519;22.2113;-256.262;-256.692;-256.903;-256.942;-255.949;0;None;1000;None;14:34:15
21;28.3344;27.5519;22.1957;-256.269;-256.692;-256.903;-256.95;-255.956;0;None;1000;None;14:34:15
22;28.3422;27.5519;22.2035;-256.277;-256.692;-256.911;-256.942;-255.956;0;None;1000;None;14:34:16
23;28.35;27.5519;22.1957;-256.262;-256.692;-256.903;-256.95;-255.956;0;None;1000;None;14:34:16
24;28.3422;27.5519;22.1957;-256.269;-256.684;-256.903;-256.95;-255.956;0;None;1000;None;14:34:17
