Number;Measure;Time
1;28.1857;11:39:11
3;27.9118;11:39:11
17;28.1857;11:39:11
19;27.9314;11:39:11
33;28.1857;11:39:11
35;27.9314;11:39:11
49;28.1857;11:39:11
51;27.951;11:39:11
65;28.2053;11:39:11
67;27.9314;11:39:11
1;28.2053;11:39:12
3;27.951;11:39:12
17;28.2053;11:39:12
19;27.951;11:39:12
33;28.2053;11:39:12
35;27.951;11:39:12
49;28.2248;11:39:12
51;27.951;11:39:12
1;28.2248;11:39:13
3;27.951;11:39:13
17;28.2248;11:39:13
19;27.951;11:39:13
33;28.2444;11:39:13
35;27.951;11:39:13
49;28.2444;11:39:13
51;27.951;11:39:13
1;28.2444;11:39:14
3;27.951;11:39:14
17;28.2248;11:39:14
19;27.9705;11:39:14
33;28.2444;11:39:14
35;27.9705;11:39:14
49;28.2444;11:39:14
51;27.9705;11:39:14
1;28.2444;11:39:15
3;27.9705;11:39:15
17;28.2444;11:39:15
19;27.9901;11:39:15
33;28.2444;11:39:15
35;27.9901;11:39:15
49;28.264;11:39:15
51;27.9901;11:39:15
1;28.264;11:39:16
3;27.9901;11:39:16
17;28.264;11:39:16
19;27.9901;11:39:16
33;28.264;11:39:16
35;27.9901;11:39:16
49;28.2835;11:39:16
51;27.9901;11:39:16
1;28.2835;11:39:17
3;27.9901;11:39:17
17;28.2835;11:39:17
19;28.0097;11:39:17
33;28.2835;11:39:17
35;28.0097;11:39:17
49;28.3031;11:39:17
51;28.0097;11:39:17
1;28.3031;11:39:18
3;28.0097;11:39:18
17;28.2835;11:39:18
19;28.0292;11:39:18
33;28.3031;11:39:18
35;28.0292;11:39:18
49;28.3031;11:39:18
51;28.0292;11:39:18
1;28.3031;11:39:19
3;28.0488;11:39:19
17;28.3031;11:39:19
19;28.0292;11:39:19
33;28.3031;11:39:19
35;28.0488;11:39:19
49;28.3031;11:39:19
51;28.0488;11:39:19
1;28.3031;11:39:20
3;28.0488;11:39:20
17;28.3031;11:39:20
19;28.0488;11:39:20
33;28.3227;11:39:20
35;28.0488;11:39:20
49;28.3227;11:39:20
51;28.0488;11:39:20
1;28.3227;11:39:21
3;28.0488;11:39:21
17;28.3422;11:39:21
19;28.0683;11:39:21
33;28.3422;11:39:21
35;28.0488;11:39:21
49;28.3422;11:39:21
51;28.0488;11:39:21
1;28.3422;11:39:22
3;28.0683;11:39:22
17;28.3618;11:39:22
19;28.0683;11:39:22
33;28.3618;11:39:22
35;28.0683;11:39:22
49;28.3618;11:39:22
51;28.0683;11:39:22
1;28.3618;11:39:23
3;28.0879;11:39:23
17;28.3813;11:39:23
19;28.0879;11:39:23
33;28.3813;11:39:23
35;28.0879;11:39:23
49;28.3813;11:39:23
51;28.0879;11:39:23
1;28.3813;11:39:24
3;28.0879;11:39:24
17;28.3813;11:39:24
