Number;Measure;Time
1;27.638;11:04:02
3;27.5793;11:04:02
17;27.638;11:04:02
19;27.5597;11:04:02
33;27.6184;11:04:02
35;27.5793;11:04:02
49;27.638;11:04:02
51;27.5597;11:04:02
65;27.638;11:04:02
67;27.5793;11:04:02
1;27.638;11:04:03
3;27.5597;11:04:03
17;27.6184;11:04:03
19;27.5793;11:04:03
33;27.638;11:04:03
35;27.5597;11:04:03
49;27.6184;11:04:03
51;27.5793;11:04:03
1;27.638;11:04:04
3;27.5597;11:04:04
17;27.6184;11:04:04
19;27.5793;11:04:04
33;27.638;11:04:04
35;27.5597;11:04:04
49;27.6184;11:04:04
51;27.5597;11:04:04
1;27.6184;11:04:05
3;27.5597;11:04:05
17;27.6184;11:04:05
19;27.5793;11:04:05
33;27.6184;11:04:05
35;27.5402;11:04:05
49;27.638;11:04:05
51;27.5597;11:04:05
1;27.6184;11:04:06
3;27.5597;11:04:06
17;27.6184;11:04:06
19;27.5597;11:04:06
33;27.6184;11:04:06
35;27.5597;11:04:06
49;27.6184;11:04:06
51;27.5597;11:04:06
1;27.6184;11:04:07
3;27.5597;11:04:07
17;27.6184;11:04:07
19;27.5597;11:04:07
33;27.638;11:04:07
35;27.5597;11:04:07
49;27.5988;11:04:07
51;27.5402;11:04:07
1;27.6184;11:04:08
3;27.5597;11:04:08
17;27.6184;11:04:08
19;27.5597;11:04:08
33;27.5988;11:04:08
35;27.5402;11:04:08
49;27.6184;11:04:08
51;27.5597;11:04:08
1;27.5988;11:04:09
3;27.5597;11:04:09
17;27.6184;11:04:09
19;27.5402;11:04:09
33;27.6184;11:04:09
35;27.5597;11:04:09
49;27.5988;11:04:09
51;27.5597;11:04:09
1;27.6184;11:04:10
3;27.5597;11:04:10
17;27.6184;11:04:10
19;27.5402;11:04:10
33;27.6184;11:04:10
35;27.5597;11:04:10
49;27.6184;11:04:10
51;27.5402;11:04:10
1;27.5988;11:04:11
3;27.5402;11:04:11
17;27.6184;11:04:11
19;27.5402;11:04:11
33;27.5988;11:04:11
35;27.5402;11:04:11
49;27.5988;11:04:11
51;27.5402;11:04:11
1;27.6184;11:04:12
3;27.5402;11:04:12
17;27.6184;11:04:12
19;27.5597;11:04:12
33;27.5988;11:04:12
35;27.5402;11:04:12
49;27.6184;11:04:12
51;27.5402;11:04:12
1;27.5988;11:04:13
3;27.5402;11:04:13
17;27.5988;11:04:13
19;27.5402;11:04:13
33;27.5988;11:04:13
35;27.5597;11:04:13
49;27.5988;11:04:13
51;27.5206;11:04:13
1;27.5988;11:04:14
3;27.5402;11:04:14
17;27.5988;11:04:14
19;27.5402;11:04:14
33;27.5988;11:04:14
35;27.5206;11:04:14
49;27.5988;11:04:14
51;27.5206;11:04:14
1;27.5988;11:04:15
3;27.5402;11:04:15
17;27.5988;11:04:15
19;27.5402;11:04:15
33;27.5988;11:04:15
35;27.5206;11:04:15
49;27.5988;11:04:15
51;27.5402;11:04:15
1;27.5988;11:04:16
3;27.5206;11:04:16
17;27.5988;11:04:16
19;27.5206;11:04:16
33;27.5988;11:04:16
35;27.5206;11:04:16
49;27.5988;11:04:16
51;27.5402;11:04:16
1;27.5988;11:04:17
3;27.5206;11:04:17
17;27.5988;11:04:17
19;27.5206;11:04:17
33;27.5988;11:04:17
35;27.5206;11:04:17
49;27.5988;11:04:17
51;27.5206;11:04:17
1;27.5988;11:04:18
3;27.5206;11:04:18
17;27.5988;11:04:18
19;27.5402;11:04:18
33;27.5988;11:04:18
35;27.5206;11:04:18
49;27.5988;11:04:18
51;27.5206;11:04:18
