Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
1;23.9093;23.9367;-256.747;-256.254;-256.692;-256.935;-256.981;-255.972;11:10:41
2;23.9093;23.9446;-256.751;-256.254;-256.7;-256.935;-256.981;-255.964;11:10:41
3;23.9172;23.9446;-256.747;-256.254;-256.692;-256.935;-256.981;-255.972;11:10:42
4;23.9093;23.9446;-256.751;-256.254;-256.692;-256.927;-256.981;-255.972;11:10:42
5;23.9093;23.9446;-256.747;-256.254;-256.7;-256.935;-256.974;-255.972;11:10:43
6;23.925;23.9446;-256.747;-256.254;-256.7;-256.942;-256.974;-255.972;11:10:43
7;23.9172;23.9524;-256.751;-256.254;-256.692;-256.927;-256.981;-255.972;11:10:44
8;23.925;23.9524;-256.751;-256.254;-256.692;-256.935;-256.989;-255.972;11:10:44
9;23.9093;23.9524;-256.747;-256.254;-256.692;-256.935;-256.974;-255.972;11:10:45
10;23.9172;23.9524;-256.747;-256.254;-256.692;-256.935;-256.981;-255.964;11:10:45
11;23.9172;23.9524;-256.747;-256.254;-256.692;-256.935;-256.974;-255.972;11:10:46
12;23.925;23.9524;-256.747;-256.254;-256.684;-256.935;-256.989;-255.972;11:10:46
13;23.9172;23.9524;-256.743;-256.254;-256.692;-256.935;-256.981;-255.972;11:10:47
14;23.9172;23.9602;-256.751;-256.254;-256.692;-256.935;-256.989;-255.98;11:10:47
15;23.9172;23.9602;-256.743;-256.258;-256.692;-256.942;-256.989;-255.972;11:10:48
16;23.9328;23.9602;-256.747;-256.254;-256.692;-256.935;-256.997;-255.972;11:10:48
17;23.925;23.9602;-256.747;-256.258;-256.692;-256.935;-256.989;-255.972;11:10:49
18;23.9328;23.9602;-256.743;-256.262;-256.692;-256.935;-256.989;-255.98;11:10:49
19;23.9328;23.968;-256.743;-256.254;-256.7;-256.927;-256.997;-255.972;11:10:50
20;23.9328;23.968;-256.743;-256.254;-256.692;-256.935;-256.989;-255.972;11:10:50
21;23.925;23.968;-256.743;-256.254;-256.692;-256.935;-256.989;-255.972;11:10:51
22;23.9328;23.968;-256.743;-256.254;-256.7;-256.935;-256.981;-255.972;11:10:51
