Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
7;26.1434;26.1082;17.4967;-256.269;-256.684;-256.888;-256.915;-255.937;0;None;1000;None;11:03:39
8;26.1434;26.1082;17.4967;-256.269;-256.676;-256.895;-256.923;-255.933;0;None;1000;None;11:03:39
9;26.1434;26.1004;17.4967;-256.269;-256.684;-256.888;-256.919;-255.937;0;None;1000;None;11:03:39
10;26.1434;26.1082;17.5046;-256.269;-256.676;-256.895;-256.919;-255.941;0;None;1000;None;11:03:40
11;26.1434;26.1082;17.5124;-256.277;-256.684;-256.888;-256.919;-255.937;0;None;1000;None;11:03:40
12;26.1512;26.1082;17.5124;-256.269;-256.684;-256.895;-256.919;-255.937;0;None;1000;None;11:03:41
13;26.1512;26.1082;17.5046;-256.277;-256.684;-256.888;-256.927;-255.941;0;None;1000;None;11:03:41
14;26.1434;26.1004;17.5124;-256.277;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:03:42
15;26.1434;26.0925;17.5124;-256.269;-256.684;-256.888;-256.927;-255.941;0;None;1000;None;11:03:42
16;26.1434;26.1082;17.5124;-256.277;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:03:43
17;26.1512;26.0925;17.5124;-256.269;-256.684;-256.888;-256.927;-255.941;0;None;1000;None;11:03:43
18;26.1434;26.1004;17.5124;-256.277;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:03:44
19;26.1434;26.0925;17.5202;-256.269;-256.676;-256.888;-256.927;-255.941;0;None;1000;None;11:03:44
20;26.1434;26.0925;17.5046;-256.277;-256.676;-256.888;-256.927;-255.941;0;None;1000;None;11:03:45
21;26.1434;26.0925;17.5124;-256.269;-256.684;-256.888;-256.923;-255.937;0;None;1000;None;11:03:45
22;26.1434;26.0925;17.5202;-256.269;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:03:46
23;26.1512;26.0925;17.5124;-256.277;-256.676;-256.88;-256.935;-255.941;0;None;1000;None;11:03:46
24;26.1434;26.0847;17.5202;-256.269;-256.676;-256.895;-256.919;-255.933;0;None;1000;None;11:03:47
25;26.1434;26.0925;17.5124;-256.269;-256.684;-256.888;-256.919;-255.941;0;None;1000;None;11:03:47
26;26.1434;26.1004;17.5124;-256.269;-256.676;-256.888;-256.927;-255.933;0;None;1000;None;11:03:48
27;26.1434;26.0925;17.5124;-256.269;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:03:48
28;26.1434;26.1004;17.5202;-256.269;-256.684;-256.895;-256.927;-255.937;0;None;1000;None;11:03:49
29;26.1434;26.0925;17.5202;-256.269;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:03:49
30;26.1512;26.0925;17.528;-256.269;-256.684;-256.888;-256.919;-255.941;0;None;1000;None;11:03:50
31;26.159;26.0925;17.5202;-256.269;-256.676;-256.895;-256.927;-255.937;0;None;1000;None;11:03:50
32;26.159;26.0925;17.5359;-256.269;-256.684;-256.895;-256.927;-255.937;0;None;1000;None;11:03:51
33;26.1512;26.1004;17.5359;-256.269;-256.684;-256.888;-256.919;-255.941;0;None;1000;None;11:03:51
34;26.159;26.0925;17.528;-256.269;-256.676;-256.895;-256.919;-255.941;0;None;1000;None;11:03:52
35;26.1512;26.1004;17.5359;-256.269;-256.676;-256.88;-256.919;-255.937;0;None;1000;None;11:03:52
36;26.1512;26.1082;17.5437;-256.269;-256.676;-256.888;-256.927;-255.933;0;None;1000;None;11:03:53
37;26.159;26.1082;17.5437;-256.262;-256.684;-256.888;-256.919;-255.937;0;None;1000;None;11:03:53
38;26.1512;26.1082;17.5359;-256.269;-256.676;-256.895;-256.927;-255.941;0;None;1000;None;11:03:54
39;26.1512;26.1004;17.5437;-256.269;-256.684;-256.888;-256.927;-255.937;0;None;1000;None;11:03:54
40;26.159;26.1082;17.5359;-256.277;-256.684;-256.888;-256.927;-255.937;0;None;1000;None;11:03:55
41;26.1512;26.1082;17.5437;-256.277;-256.668;-256.888;-256.927;-255.937;0;None;1000;None;11:03:55
42;26.1512;26.1082;17.5437;-256.269;-256.676;-256.895;-256.915;-255.937;0;None;1000;None;11:03:56
43;26.159;26.1082;17.5437;-256.269;-256.684;-256.888;-256.919;-255.937;0;None;1000;None;11:03:56
44;26.159;26.1082;17.5359;-256.277;-256.676;-256.88;-256.927;-255.937;0;None;1000;None;11:03:57
45;26.159;26.116;17.5437;-256.277;-256.684;-256.888;-256.927;-255.933;0;None;1000;None;11:03:57
46;26.1669;26.116;17.5437;-256.277;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:03:58
47;26.159;26.116;17.5437;-256.277;-256.684;-256.888;-256.919;-255.937;0;None;1000;None;11:03:58
48;26.159;26.1238;17.5359;-256.285;-256.676;-256.888;-256.919;-255.933;0;None;1000;None;11:03:59
49;26.1669;26.116;17.5359;-256.269;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:03:59
50;26.159;26.1238;17.5359;-256.277;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:00
51;26.159;26.1317;17.5359;-256.277;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:00
52;26.159;26.1317;17.5359;-256.269;-256.684;-256.895;-256.923;-255.933;0;None;1000;None;11:04:01
53;26.1669;26.1238;17.5359;-256.262;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:01
54;26.159;26.1317;17.5437;-256.269;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:02
55;26.1669;26.1238;17.5437;-256.269;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:04:02
56;26.1669;26.1238;17.5515;-256.269;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:04:03
57;26.1669;26.1317;17.5437;-256.269;-256.684;-256.88;-256.919;-255.933;0;None;1000;None;11:04:03
58;26.1669;26.1238;17.5515;-256.277;-256.676;-256.88;-256.927;-255.937;0;None;1000;None;11:04:04
59;26.1669;26.1238;17.5515;-256.269;-256.676;-256.88;-256.919;-255.937;0;None;1000;None;11:04:04
60;26.1669;26.1238;17.5515;-256.277;-256.684;-256.88;-256.935;-255.937;0;None;1000;None;11:04:05
61;26.1669;26.1238;17.5593;-256.277;-256.684;-256.88;-256.927;-255.937;0;None;1000;None;11:04:05
62;26.1669;26.1317;17.5515;-256.269;-256.676;-256.88;-256.919;-255.937;0;None;1000;None;11:04:06
63;26.1669;26.1238;17.5515;-256.277;-256.676;-256.888;-256.919;-255.937;0;None;1000;None;11:04:06
64;26.1669;26.1238;17.5593;-256.277;-256.676;-256.88;-256.919;-255.933;0;None;1000;None;11:04:07
65;26.1669;26.1317;17.5515;-256.269;-256.684;-256.88;-256.927;-255.937;0;None;1000;None;11:04:07
66;26.1669;26.1395;17.5593;-256.277;-256.676;-256.88;-256.927;-255.937;0;None;1000;None;11:04:08
67;26.1669;26.1317;17.5515;-256.277;-256.676;-256.872;-256.935;-255.937;0;None;1000;None;11:04:08
68;26.1747;26.1395;17.5515;-256.277;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:09
69;26.1669;26.1317;17.5515;-256.269;-256.676;-256.872;-256.919;-255.937;0;None;1000;None;11:04:09
70;26.1747;26.1317;17.5515;-256.277;-256.668;-256.88;-256.919;-255.937;0;None;1000;None;11:04:10
71;26.1669;26.1238;17.5515;-256.269;-256.684;-256.88;-256.919;-255.937;0;None;1000;None;11:04:10
72;26.1669;26.1317;17.5437;-256.269;-256.676;-256.88;-256.919;-255.941;0;None;1000;None;11:04:11
73;26.1825;26.1395;17.5515;-256.277;-256.676;-256.88;-256.919;-255.937;0;None;1000;None;11:04:11
74;26.1669;26.1395;17.5437;-256.269;-256.676;-256.88;-256.927;-255.937;0;None;1000;None;11:04:12
75;26.1747;26.1395;17.5515;-256.269;-256.684;-256.88;-256.927;-255.937;0;None;1000;None;11:04:12
76;26.1747;26.1317;17.5593;-256.269;-256.684;-256.88;-256.927;-255.937;0;None;1000;None;11:04:13
77;26.1825;26.1395;17.5593;-256.277;-256.676;-256.88;-256.927;-255.941;0;None;1000;None;11:04:13
78;26.1825;26.1473;17.5593;-256.269;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:14
79;26.1825;26.1395;17.5515;-256.269;-256.676;-256.888;-256.919;-255.941;0;None;1000;None;11:04:14
80;26.1747;26.1473;17.5672;-256.277;-256.676;-256.888;-256.919;-255.941;0;None;1000;None;11:04:15
81;26.1825;26.1395;17.5672;-256.269;-256.684;-256.888;-256.927;-255.941;0;None;1000;None;11:04:15
82;26.1825;26.1473;17.5672;-256.269;-256.676;-256.888;-256.935;-255.941;0;None;1000;None;11:04:16
83;26.1903;26.1473;17.5672;-256.269;-256.676;-256.888;-256.935;-255.941;0;None;1000;None;11:04:16
84;26.1825;26.1473;17.5593;-256.269;-256.676;-256.888;-256.935;-255.937;0;None;1000;None;11:04:17
85;26.1825;26.1551;17.5672;-256.262;-256.676;-256.88;-256.927;-255.941;0;None;1000;None;11:04:17
86;26.1825;26.1473;17.5672;-256.269;-256.676;-256.888;-256.927;-255.941;0;None;1000;None;11:04:18
87;26.1903;26.1551;17.5672;-256.277;-256.684;-256.88;-256.927;-255.941;0;None;1000;None;11:04:18
88;26.1825;26.1551;17.5672;-256.269;-256.676;-256.88;-256.927;-255.937;0;None;1000;None;11:04:19
89;26.1825;26.1473;17.5672;-256.269;-256.684;-256.888;-256.927;-255.937;0;None;1000;None;11:04:19
90;26.1825;26.163;17.575;-256.269;-256.668;-256.88;-256.927;-255.941;0;None;1000;None;11:04:20
91;26.1982;26.1551;17.575;-256.269;-256.676;-256.888;-256.927;-255.945;0;None;1000;None;11:04:20
92;26.1903;26.163;17.575;-256.269;-256.676;-256.88;-256.919;-255.941;0;None;1000;None;11:04:21
93;26.1903;26.163;17.5672;-256.269;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:21
94;26.1982;26.163;17.575;-256.269;-256.668;-256.88;-256.935;-255.941;0;None;1000;None;11:04:22
95;26.1903;26.1708;17.575;-256.269;-256.668;-256.888;-256.927;-255.937;0;None;1000;None;11:04:22
96;26.1982;26.163;17.575;-256.269;-256.676;-256.888;-256.935;-255.941;0;None;1000;None;11:04:23
97;26.1982;26.1708;17.575;-256.277;-256.668;-256.888;-256.927;-255.941;0;None;1000;None;11:04:23
98;26.1903;26.1708;17.5828;-256.269;-256.676;-256.88;-256.927;-255.937;0;None;1000;None;11:04:24
99;26.206;26.1708;17.575;-256.269;-256.676;-256.888;-256.927;-255.941;0;None;1000;None;11:04:24
100;26.1982;26.1708;17.5867;-256.269;-256.676;-256.888;-256.927;-255.937;0;None;1000;None;11:04:25
101;26.206;26.1708;17.5828;-256.269;-256.668;-256.88;-256.919;-255.941;0;None;1000;None;11:04:25
102;26.1982;26.1708;17.5867;-256.269;-256.684;-256.888;-256.927;-255.941;0;None;1000;None;11:04:26
103;26.206;26.1786;17.5828;-256.269;-256.668;-256.888;-256.927;-255.945;0;None;1000;None;11:04:26
104;26.1982;26.1786;17.5867;-256.269;-256.676;-256.88;-256.919;-255.941;0;None;1000;None;11:04:27
105;26.206;26.1786;17.5867;-256.269;-256.676;-256.88;-256.919;-255.941;0;None;1000;None;11:04:27
106;26.206;26.1786;17.5906;-256.269;-256.676;-256.888;-256.927;-255.941;0;None;1000;None;11:04:28
107;26.206;26.1864;17.5867;-256.269;-256.676;-256.888;-256.927;-255.949;0;None;1000;None;11:04:28
108;26.2138;26.1864;17.5867;-256.269;-256.676;-256.88;-256.935;-255.941;0;None;1000;None;11:04:29
