Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;K_int;T_stab;Time
46;31.527;31.4644;30.9714;-256.285;-256.653;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:29.815
47;31.5348;31.4644;30.9714;-256.277;-256.653;-256.848;-256.903;-255.972;0;None;1000;1000;None;2025-05-12 11:11:30.315
48;31.527;31.4605;30.9753;-256.285;-256.653;-256.856;-256.911;-255.964;0;None;1000;1000;None;2025-05-12 11:11:30.814
49;31.527;31.4644;30.9714;-256.277;-256.653;-256.848;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:31.315
50;31.527;31.4605;30.9753;-256.285;-256.653;-256.848;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:31.814
51;31.527;31.4644;30.9793;-256.285;-256.653;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:32.315
52;31.5348;31.4644;30.9793;-256.285;-256.653;-256.856;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:32.815
53;31.527;31.4644;30.9793;-256.285;-256.661;-256.856;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:33.315
54;31.5348;31.4683;30.9753;-256.277;-256.653;-256.856;-256.911;-255.964;0;None;1000;1000;None;2025-05-12 11:11:33.815
55;31.5348;31.4683;30.9793;-256.285;-256.661;-256.856;-256.911;-255.964;0;None;1000;1000;None;2025-05-12 11:11:34.315
56;31.5427;31.4644;30.9793;-256.277;-256.653;-256.856;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:34.815
57;31.527;31.4683;30.9753;-256.285;-256.661;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:35.315
58;31.5348;31.4644;30.9793;-256.277;-256.653;-256.856;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:35.815
59;31.5348;31.4644;30.9753;-256.277;-256.661;-256.856;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:36.314
60;31.527;31.4644;30.9753;-256.277;-256.645;-256.864;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:36.815
61;31.527;31.4644;30.9714;-256.277;-256.653;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:37.315
62;31.5348;31.4644;30.9753;-256.269;-256.653;-256.856;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:37.815
63;31.527;31.4644;30.9753;-256.285;-256.653;-256.856;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:38.314
64;31.527;31.4644;30.9753;-256.285;-256.653;-256.856;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:38.815
65;31.527;31.4644;30.9675;-256.277;-256.645;-256.864;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:39.315
66;31.5348;31.4683;30.9714;-256.285;-256.653;-256.856;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:39.815
67;31.5348;31.4644;30.9753;-256.277;-256.653;-256.864;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:40.315
68;31.5348;31.4683;30.9753;-256.277;-256.653;-256.856;-256.903;-255.972;0;None;1000;1000;None;2025-05-12 11:11:40.815
69;31.527;31.4644;30.9753;-256.285;-256.645;-256.864;-256.907;-255.964;0;None;1000;1000;None;2025-05-12 11:11:41.315
70;31.527;31.4683;30.9753;-256.269;-256.653;-256.856;-256.903;-255.964;0;None;1000;1000;None;2025-05-12 11:11:41.815
71;31.527;31.4644;30.9753;-256.269;-256.653;-256.864;-256.907;-255.972;0;None;1000;1000;None;2025-05-12 11:11:42.315
