Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
2;31.6131;31.4292;-256.755;-256.25;-256.692;-256.895;-256.95;-255.972;12:43:36
3;31.6131;31.437;-256.751;-256.254;-256.692;-256.895;-256.95;-255.988;12:43:36
4;31.6131;31.4292;-256.755;-256.254;-256.7;-256.895;-256.942;-255.98;12:43:37
5;31.6131;31.437;-256.755;-256.254;-256.692;-256.903;-256.935;-255.988;12:43:37
6;31.6053;31.4292;-256.755;-256.254;-256.692;-256.895;-256.942;-255.98;12:43:38
7;31.6053;31.4292;-256.755;-256.254;-256.692;-256.895;-256.942;-255.988;12:43:38
8;31.5974;31.4214;-256.755;-256.254;-256.692;-256.895;-256.942;-255.98;12:43:39
9;31.6053;31.4214;-256.755;-256.25;-256.692;-256.903;-256.935;-255.98;12:43:39
10;31.5974;31.4135;-256.755;-256.254;-256.684;-256.903;-256.942;-255.988;12:43:40
11;31.5974;31.4135;-256.751;-256.254;-256.692;-256.903;-256.942;-255.996;12:43:40
12;31.5974;31.4135;-256.758;-256.25;-256.692;-256.903;-256.942;-255.988;12:43:41
13;31.5896;31.4135;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:41
14;31.5818;31.4135;-256.751;-256.254;-256.692;-256.903;-256.942;-255.988;12:43:42
15;31.5818;31.4135;-256.755;-256.25;-256.692;-256.903;-256.942;-255.988;12:43:42
16;31.574;31.4057;-256.751;-256.25;-256.692;-256.903;-256.95;-255.98;12:43:43
17;31.574;31.3979;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:43
18;31.574;31.3979;-256.755;-256.254;-256.692;-256.903;-256.942;-255.988;12:43:44
19;31.5661;31.3901;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:44
20;31.5661;31.3901;-256.751;-256.262;-256.692;-256.903;-256.942;-255.98;12:43:45
21;31.5661;31.3901;-256.755;-256.254;-256.7;-256.903;-256.935;-255.988;12:43:45
22;31.5583;31.3901;-256.755;-256.254;-256.692;-256.903;-256.942;-255.988;12:43:46
23;31.5661;31.3901;-256.755;-256.254;-256.692;-256.903;-256.95;-255.98;12:43:46
24;31.5583;31.3822;-256.755;-256.254;-256.692;-256.903;-256.935;-255.972;12:43:47
25;31.5583;31.3744;-256.751;-256.254;-256.7;-256.903;-256.942;-255.98;12:43:47
26;31.5583;31.3744;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:48
27;31.5505;31.3666;-256.755;-256.254;-256.684;-256.903;-256.942;-255.972;12:43:48
28;31.5505;31.3588;-256.755;-256.262;-256.692;-256.903;-256.942;-255.98;12:43:49
29;31.5505;31.3588;-256.755;-256.258;-256.692;-256.895;-256.942;-255.988;12:43:49
30;31.527;31.3509;-256.755;-256.262;-256.684;-256.903;-256.935;-255.988;12:43:50
31;31.527;31.3431;-256.755;-256.254;-256.692;-256.895;-256.95;-255.98;12:43:50
32;31.5114;31.3275;-256.751;-256.254;-256.692;-256.895;-256.95;-255.988;12:43:51
33;31.5035;31.3196;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:51
34;31.4996;31.2962;-256.755;-256.254;-256.692;-256.895;-256.942;-255.988;12:43:52
35;31.4918;31.2805;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:52
36;31.4761;31.2531;-256.755;-256.25;-256.692;-256.903;-256.942;-255.972;12:43:53
37;31.4683;31.2492;-256.755;-256.262;-256.684;-256.903;-256.935;-255.988;12:43:53
38;31.4527;31.2297;-256.751;-256.254;-256.692;-256.903;-256.95;-255.972;12:43:54
39;31.437;31.214;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:54
40;31.4214;31.1827;-256.755;-256.254;-256.692;-256.903;-256.95;-255.988;12:43:55
41;31.3979;31.1671;-256.755;-256.25;-256.684;-256.895;-256.95;-255.98;12:43:55
42;31.3744;31.1436;-256.755;-256.254;-256.692;-256.903;-256.942;-255.98;12:43:56
43;31.3588;31.1123;-256.751;-256.254;-256.692;-256.903;-256.95;-255.98;12:43:56
44;31.3431;31.0888;-256.755;-256.25;-256.684;-256.903;-256.95;-255.988;12:43:57
45;31.3353;31.0732;-256.751;-256.254;-256.692;-256.895;-256.942;-255.98;12:43:57
46;31.3118;31.0653;-256.755;-256.25;-256.684;-256.903;-256.95;-255.98;12:43:58
47;31.2923;31.0458;-256.755;-256.25;-256.684;-256.895;-256.942;-255.98;12:43:58
48;31.2883;31.0379;-256.758;-256.254;-256.692;-256.895;-256.942;-255.988;12:43:59
49;31.2805;31.0066;-256.755;-256.25;-256.684;-256.903;-256.942;-255.98;12:43:59
50;31.2688;30.9988;-256.751;-256.25;-256.692;-256.903;-256.942;-255.98;12:44:00
51;31.2531;30.9675;-256.758;-256.254;-256.684;-256.895;-256.935;-255.988;12:44:00
52;31.2375;30.9519;-256.758;-256.25;-256.692;-256.903;-256.942;-255.98;12:44:01
53;31.2218;30.9284;-256.755;-256.254;-256.692;-256.895;-256.935;-255.98;12:44:01
54;31.1984;30.9127;-256.758;-256.254;-256.692;-256.903;-256.942;-255.988;12:44:02
55;31.1905;30.8971;-256.755;-256.25;-256.7;-256.895;-256.935;-255.98;12:44:02
56;31.1749;30.8814;-256.751;-256.25;-256.692;-256.903;-256.942;-255.972;12:44:03
57;31.1592;30.8697;-256.755;-256.254;-256.692;-256.895;-256.942;-255.98;12:44:03
58;31.1436;30.8619;-256.751;-256.25;-256.684;-256.903;-256.935;-255.98;12:44:04
59;31.1436;30.8541;-256.751;-256.25;-256.692;-256.903;-256.942;-255.98;12:44:04
60;31.1279;30.8501;-256.751;-256.254;-256.684;-256.903;-256.935;-255.98;12:44:05
61;31.1358;30.8462;-256.755;-256.254;-256.676;-256.903;-256.935;-255.98;12:44:05
62;31.1436;30.8462;-256.751;-256.254;-256.692;-256.903;-256.935;-255.98;12:44:06
63;31.1358;30.8462;-256.751;-256.254;-256.684;-256.895;-256.935;-255.972;12:44:06
64;31.1514;30.8462;-256.751;-256.254;-256.684;-256.903;-256.935;-255.98;12:44:07
65;31.1514;30.8384;-256.751;-256.254;-256.676;-256.895;-256.927;-255.98;12:44:07
