Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time;;DT8;DT7
533;34.3949;33.0685;-256.758;-256.246;-256.692;-256.911;-256.966;-255.972;12:31:35;;;
534;34.3714;33.0607;-256.755;-256.25;-256.692;-256.911;-256.966;-255.98;12:31:36;;;
535;34.3636;33.049;-256.758;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:36;;;
536;34.3479;33.049;-256.755;-256.246;-256.692;-256.911;-256.974;-255.972;12:31:37;;;
537;34.3479;33.0411;-256.758;-256.25;-256.692;-256.911;-256.974;-255.972;12:31:37;;;
538;34.3401;33.0411;-256.755;-256.25;-256.692;-256.911;-256.974;-255.972;12:31:38;;;
539;34.3479;33.049;-256.758;-256.25;-256.692;-256.903;-256.981;-255.972;12:31:38;;;
540;34.3558;33.0411;-256.755;-256.25;-256.692;-256.911;-256.974;-255.972;12:31:39;;;
541;34.3558;33.049;-256.762;-256.25;-256.684;-256.911;-256.974;-255.972;12:31:39;;;
542;34.3636;33.049;-256.755;-256.246;-256.692;-256.911;-256.974;-255.972;12:31:40;;;
543;34.3714;33.049;-256.758;-256.25;-256.692;-256.911;-256.966;-255.98;12:31:40;;;
544;34.3792;33.0607;-256.758;-256.25;-256.692;-256.911;-256.966;-255.964;12:31:41;;;
545;34.391;33.0607;-256.758;-256.25;-256.692;-256.903;-256.966;-255.972;12:31:41;;;
546;34.391;33.0685;-256.758;-256.25;-256.692;-256.911;-256.974;-255.972;12:31:42;;;
547;34.4027;33.0724;-256.758;-256.246;-256.692;-256.911;-256.974;-255.972;12:31:42;;;
548;34.4027;33.0724;-256.758;-256.246;-256.7;-256.903;-256.958;-255.972;12:31:43;;;
549;34.4223;33.092;-256.762;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:43;;;
550;34.4457;33.092;-256.758;-256.25;-256.692;-256.919;-256.958;-255.972;12:31:44;;;
551;34.4614;33.1077;-256.758;-256.25;-256.7;-256.903;-256.966;-255.972;12:31:44;;;
552;34.477;33.1155;-256.758;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:45;;;
553;34.5005;33.139;-256.758;-256.25;-256.692;-256.911;-256.966;-255.98;12:31:45;;;
554;34.5162;33.139;-256.758;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:46;;;
555;34.5318;33.1624;-256.758;-256.25;-256.692;-256.919;-256.966;-255.98;12:31:46;;;
556;34.5553;33.1703;-256.758;-256.25;-256.692;-256.919;-256.974;-255.972;12:31:47;;;
557;34.5709;33.1937;-256.758;-256.25;-256.684;-256.911;-256.974;-255.98;12:31:47;;;
558;34.5944;33.2094;-256.758;-256.246;-256.692;-256.919;-256.966;-255.98;12:31:48;;;
559;34.6101;33.225;-256.755;-256.246;-256.7;-256.911;-256.974;-255.972;12:31:48;;;
560;34.6218;33.2329;-256.758;-256.25;-256.692;-256.919;-256.974;-255.98;12:31:49;;;
561;34.6531;33.2485;-256.755;-256.25;-256.692;-256.911;-256.974;-255.972;12:31:49;;;
562;34.6688;33.272;-256.758;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:50;;;
563;34.6922;33.2798;-256.758;-256.246;-256.7;-256.919;-256.966;-255.98;12:31:50;;;
564;34.7235;33.2837;-256.758;-256.246;-256.692;-256.919;-256.966;-255.972;12:31:51;;;
565;34.747;33.2994;-256.758;-256.25;-256.684;-256.919;-256.958;-255.98;12:31:51;;;
566;34.7705;33.3072;-256.758;-256.254;-256.7;-256.919;-256.966;-255.972;12:31:52;;;
567;34.794;33.3228;-256.755;-256.25;-256.692;-256.919;-256.966;-255.972;12:31:52;;;
568;34.8213;33.3385;-256.758;-256.25;-256.7;-256.919;-256.966;-255.98;12:31:53;;;
569;34.8331;33.3463;-256.755;-256.25;-256.692;-256.919;-256.958;-255.972;12:31:53;;;
570;34.8683;33.3698;-256.758;-256.25;-256.692;-256.919;-256.958;-255.972;12:31:54;;;
571;34.8839;33.3933;-256.755;-256.25;-256.7;-256.927;-256.958;-255.98;12:31:54;;;
572;34.9074;33.4011;-256.758;-256.246;-256.692;-256.911;-256.966;-255.972;12:31:55;;;
573;34.9387;33.4246;-256.758;-256.25;-256.692;-256.919;-256.966;-255.98;12:31:55;;;
574;34.9622;33.4402;-256.755;-256.254;-256.692;-256.911;-256.974;-255.972;12:31:56;;;
575;34.9778;33.4637;-256.758;-256.25;-256.7;-256.911;-256.966;-255.98;12:31:56;;;
576;35.0013;33.4715;-256.758;-256.254;-256.692;-256.911;-256.966;-255.98;12:31:57;;;
577;35.0131;33.4911;-256.758;-256.25;-256.692;-256.911;-256.958;-255.972;12:31:57;;;
578;35.0365;33.4989;-256.755;-256.254;-256.692;-256.911;-256.958;-255.98;12:31:58;;;
579;35.0678;33.5106;-256.758;-256.25;-256.7;-256.911;-256.966;-255.972;12:31:58;;;
580;35.0835;33.5146;-256.758;-256.25;-256.692;-256.919;-256.966;-255.972;12:31:59;;;
581;35.1148;33.538;-256.758;-256.25;-256.692;-256.911;-256.966;-255.972;12:31:59;;;
582;35.1461;33.5537;-256.762;-256.246;-256.692;-256.911;-256.966;-255.972;12:32:00;;;
583;35.1696;33.5693;-256.762;-256.246;-256.684;-256.911;-256.966;-255.972;12:32:00;;;
584;35.1852;33.5928;-256.758;-256.25;-256.692;-256.919;-256.974;-255.964;12:32:01;;;
585;35.2048;33.6006;-256.758;-256.246;-256.692;-256.911;-256.966;-255.98;12:32:01;;;
586;35.2165;33.6085;-256.758;-256.246;-256.692;-256.911;-256.958;-255.972;12:32:02;;;
587;35.2243;33.6085;-256.758;-256.25;-256.684;-256.919;-256.966;-255.98;12:32:02;;;
588;35.2243;33.6163;-256.758;-256.25;-256.692;-256.919;-256.966;-255.972;12:32:03;;;
589;35.2243;33.6085;-256.758;-256.254;-256.684;-256.919;-256.981;-255.98;12:32:03;;;
590;35.2282;33.6085;-256.762;-256.25;-256.7;-256.919;-256.966;-255.972;12:32:04;;;
591;35.2204;33.6006;-256.758;-256.25;-256.684;-256.927;-256.966;-255.972;12:32:04;;;
592;35.2204;33.5928;-256.766;-256.254;-256.692;-256.919;-256.966;-255.972;12:32:05;;;
593;35.2087;33.585;-256.77;-256.25;-256.684;-256.927;-256.966;-255.972;12:32:05;;;
594;35.2087;33.5693;-256.758;-256.25;-256.692;-256.927;-256.974;-255.98;12:32:06;;;
595;35.2009;33.5615;-256.758;-256.246;-256.692;-256.919;-256.966;-255.972;12:32:06;;;
596;35.1852;33.5537;-256.758;-256.25;-256.684;-256.919;-256.966;-255.972;12:32:07;;;
597;35.1774;33.5615;-256.758;-256.254;-256.684;-256.919;-256.966;-255.972;12:32:07;;;
598;35.1696;33.5537;-256.762;-256.25;-256.692;-256.927;-256.966;-255.98;12:32:08;;;
599;35.1774;33.5537;-256.758;-256.254;-256.7;-256.919;-256.966;-255.988;12:32:08;;;
600;35.1852;33.5615;-256.762;-256.25;-256.7;-256.919;-256.958;-255.972;12:32:09;;;
601;35.1774;33.5615;-256.758;-256.254;-256.7;-256.927;-256.974;-255.988;12:32:09;;;
602;35.1852;33.5772;-256.758;-256.254;-256.692;-256.919;-256.958;-255.972;12:32:10;;;
603;35.2009;33.5772;-256.762;-256.254;-256.7;-256.919;-256.974;-255.98;12:32:10;;;
604;35.2087;33.585;-256.758;-256.254;-256.692;-256.919;-256.974;-255.98;12:32:11;;;
605;35.2126;33.6006;-256.758;-256.254;-256.692;-256.919;-256.966;-255.98;12:32:11;;;
606;35.2204;33.6085;-256.755;-256.25;-256.692;-256.919;-256.966;-255.98;12:32:12;;;
607;35.2243;33.6085;-256.758;-256.258;-256.692;-256.927;-256.966;-255.972;12:32:12;;;
608;35.2282;33.6241;-256.758;-256.25;-256.684;-256.919;-256.966;-255.98;12:32:13;;;
609;35.2517;33.6476;-256.755;-256.25;-256.692;-256.919;-256.958;-255.98;12:32:13;;;
610;35.2595;33.6554;-256.755;-256.25;-256.684;-256.919;-256.966;-255.98;12:32:14;;;
611;35.2752;33.6632;-256.758;-256.25;-256.692;-256.919;-256.958;-255.98;12:32:14;;;
612;35.2908;33.6711;-256.755;-256.25;-256.692;-256.919;-256.958;-255.98;12:32:15;;;
613;35.3065;33.6789;-256.755;-256.25;-256.692;-256.919;-256.966;-255.972;12:32:15;;;
614;35.3221;33.6828;-256.755;-256.25;-256.692;-256.911;-256.966;-255.98;12:32:16;;;
615;35.3378;33.6984;-256.758;-256.25;-256.692;-256.919;-256.966;-255.98;12:32:16;;;
616;35.3534;33.7141;-256.758;-256.25;-256.692;-256.911;-256.966;-255.972;12:32:17;;;
617;35.3847;33.7219;-256.758;-256.25;-256.692;-256.919;-256.958;-255.972;12:32:17;;;
618;35.4004;33.7297;-256.758;-256.254;-256.692;-256.919;-256.958;-255.972;12:32:18;;;
619;35.42;33.7454;-256.758;-256.25;-256.692;-256.919;-256.966;-255.964;12:32:18;;;
620;35.4317;33.761;-256.758;-256.25;-256.692;-256.919;-256.966;-255.964;12:32:19;;;
621;35.4513;33.7689;-256.762;-256.25;-256.692;-256.919;-256.958;-255.972;12:32:19;;;
622;35.4669;33.7767;-256.758;-256.25;-256.692;-256.911;-256.958;-255.972;12:32:20;;;
623;35.4904;33.7923;-256.758;-256.25;-256.7;-256.919;-256.966;-255.972;12:32:20;;;
624;35.5139;33.8002;-256.758;-256.25;-256.7;-256.919;-256.958;-255.964;12:32:21;;;
625;35.5295;33.8236;-256.758;-256.254;-256.7;-256.911;-256.966;-255.972;12:32:21;;;
626;35.553;33.8315;-256.751;-256.254;-256.692;-256.919;-256.958;-255.972;12:32:22;;;
627;35.5686;33.8471;-256.751;-256.254;-256.7;-256.911;-256.958;-255.972;12:32:22;;;
628;35.5999;33.8628;-256.758;-256.254;-256.7;-256.919;-256.966;-255.972;12:32:23;;;
629;35.6234;33.8784;-256.755;-256.25;-256.692;-256.919;-256.958;-255.964;12:32:23;;;
630;35.643;33.8823;-256.755;-256.246;-256.692;-256.919;-256.958;-255.972;12:32:24;;;
631;35.6508;33.8902;-256.755;-256.246;-256.7;-256.919;-256.958;-255.972;12:32:24;;;
632;35.6664;33.898;-256.758;-256.246;-256.7;-256.919;-256.958;-255.964;12:32:25;;;
633;35.6821;33.9058;-256.758;-256.25;-256.692;-256.919;-256.95;-255.964;12:32:25;;;
634;35.6977;33.9293;-256.758;-256.25;-256.692;-256.919;-256.966;-255.964;12:32:26;;;
635;35.729;33.9449;-256.755;-256.25;-256.692;-256.927;-256.966;-255.972;12:32:26;;;
636;35.7525;33.9606;-256.758;-256.25;-256.7;-256.919;-256.966;-255.964;12:32:27;;;
637;35.7603;33.9841;-256.755;-256.25;-256.7;-256.919;-256.966;-255.972;12:32:27;;;
638;35.7838;33.9919;-256.758;-256.25;-256.692;-256.919;-256.966;-255.972;12:32:28;;;
639;35.7995;33.9997;-256.758;-256.25;-256.7;-256.919;-256.958;-255.964;12:32:28;;;
640;35.8151;34.0154;-256.755;-256.246;-256.7;-256.919;-256.958;-255.972;12:32:29;;;
641;35.8386;34.0467;-256.758;-256.25;-256.692;-256.919;-256.958;-255.972;12:32:29;;;
642;35.8621;34.0545;-256.758;-256.246;-256.7;-256.911;-256.958;-255.964;12:32:30;;;
643;35.8777;34.0701;-256.758;-256.246;-256.7;-256.919;-256.966;-255.972;12:32:30;;;
644;35.8895;34.0858;-256.758;-256.25;-256.692;-256.919;-256.95;-255.964;12:32:31;;;
645;35.9129;34.0975;-256.762;-256.25;-256.692;-256.911;-256.958;-255.98;12:32:31;;;
646;35.9286;34.1014;-256.758;-256.25;-256.7;-256.919;-256.958;-255.964;12:32:32;;;
647;35.9442;34.1053;-256.762;-256.25;-256.692;-256.911;-256.95;-255.964;12:32:32;;;
648;35.9677;34.1132;-256.758;-256.25;-256.692;-256.919;-256.958;-255.972;12:32:33;;;
649;35.9677;34.1093;-256.758;-256.25;-256.692;-256.911;-256.958;-255.964;12:32:33;;;
650;35.9912;34.121;-256.755;-256.25;-256.692;-256.911;-256.958;-255.964;12:32:34;;;
651;35.9834;34.1132;-256.758;-256.25;-256.692;-256.919;-256.95;-255.972;12:32:34;;;
652;35.9755;34.1093;-256.755;-256.25;-256.692;-256.911;-256.95;-255.964;12:32:35;;;
653;35.9677;34.1053;-256.758;-256.25;-256.692;-256.919;-256.958;-255.964;12:32:35;;;
654;35.9599;34.1014;-256.755;-256.254;-256.692;-256.919;-256.958;-255.972;12:32:36;;;
655;35.9521;34.1014;-256.758;-256.25;-256.692;-256.911;-256.95;-255.972;12:32:36;;;
656;35.9364;34.0936;-256.751;-256.254;-256.7;-256.911;-256.95;-255.964;12:32:37;;;
657;35.9208;34.0858;-256.755;-256.25;-256.692;-256.919;-256.958;-255.964;12:32:37;;;
658;35.9051;34.0701;-256.755;-256.25;-256.692;-256.911;-256.95;-255.964;12:32:38;;;
659;35.8973;34.0623;-256.755;-256.254;-256.7;-256.919;-256.95;-255.964;12:32:38;;;
660;35.8973;34.0623;-256.755;-256.25;-256.692;-256.919;-256.95;-255.964;12:32:39;;;
661;35.8816;34.0623;-256.755;-256.25;-256.692;-256.919;-256.95;-255.964;12:32:39;;;
662;35.8816;34.0701;-256.758;-256.25;-256.692;-256.911;-256.958;-255.964;12:32:40;;;
663;35.8816;34.0623;-256.758;-256.246;-256.7;-256.919;-256.95;-255.964;12:32:40;;;
664;35.8895;34.0701;-256.755;-256.25;-256.692;-256.919;-256.958;-255.956;12:32:41;;;
665;35.8895;34.078;-256.758;-256.246;-256.692;-256.919;-256.958;-255.964;12:32:41;;;
666;35.8973;34.078;-256.758;-256.246;-256.692;-256.919;-256.95;-255.956;12:32:42;;;
667;35.9208;34.0858;-256.751;-256.246;-256.692;-256.919;-256.958;-255.964;12:32:42;;;
668;35.9208;34.0936;-256.755;-256.246;-256.692;-256.919;-256.958;-255.956;12:32:43;;;
669;35.9442;34.1014;-256.758;-256.246;-256.692;-256.919;-256.958;-255.964;12:32:43;;;
670;35.9442;34.1053;-256.758;-256.246;-256.692;-256.927;-256.95;-255.964;12:32:44;;;
671;35.9521;34.1093;-256.758;-256.246;-256.692;-256.919;-256.95;-255.964;12:32:44;;;
672;35.9755;34.1288;-256.758;-256.246;-256.692;-256.927;-256.958;-255.964;12:32:45;;;
673;35.9834;34.1366;-256.758;-256.246;-256.692;-256.919;-256.958;-255.972;12:32:45;;;
674;36.0068;34.1445;-256.758;-256.246;-256.692;-256.919;-256.95;-255.972;12:32:46;;;
675;36.0147;34.1601;-256.755;-256.242;-256.692;-256.927;-256.95;-255.964;12:32:46;;;
676;36.0303;34.1679;-256.758;-256.246;-256.7;-256.919;-256.95;-255.972;12:32:47;;;
677;36.0225;34.1758;-256.755;-256.246;-256.692;-256.919;-256.95;-255.972;12:32:47;;;
678;36.0303;34.1993;-256.758;-256.246;-256.692;-256.911;-256.95;-255.972;12:32:48;;;
679;36.0381;34.1993;-256.762;-256.246;-256.692;-256.919;-256.958;-255.972;12:32:48;;;
680;36.042;34.2149;-256.758;-256.246;-256.692;-256.911;-256.95;-255.972;12:32:49;;;
681;36.042;34.2149;-256.758;-256.246;-256.692;-256.911;-256.958;-255.972;12:32:49;;;
682;36.042;34.2149;-256.758;-256.246;-256.692;-256.911;-256.958;-255.972;12:32:50;;;
683;36.046;34.2227;-256.751;-256.246;-256.692;-256.911;-256.958;-255.972;12:32:50;;;
684;36.0381;34.2071;-256.755;-256.246;-256.692;-256.911;-256.95;-255.964;12:32:51;;;
